name,trans
はづき,Hazuki
店員,Employee
めぐるの友達,Meguru's Friend
めぐる＆恋鐘＆咲耶,Meguru&Kogane&Sakuya
めぐる,Meguru
カメラマン,Cameraman
スタイリスト,Stylist
スタッフＡ,Staff A
スタッフＢ,Staff B
スタッフ,Staff
ステージ主催者,Stage Organizer
テロップ,Teleprompter
ファン１,Fan 1
ファン２,Fan 2
ファン3,Fan 3
ファンA,Fan A
ファンB,Fan B
プロデューサー,Producer
一同,Everyone
今週ボーカルレッスンがしたいです,I want to do a vocal lesson this week
凛世,Rinze
千雪＆プロデューサー,Chiyuki&Producer
千雪,Chiyuki
周囲の女の子たち,Surrounding Girls
咲耶＆結華＆霧子,Sakuya&Yuika&Kiriko
咲耶＆結華,Sakuya&Yuika
咲耶,Sakuya
夏葉,Natsuha
女の子,Girl
幽霊？,Ghost?
恋鐘＆咲耶＆果穂,Kogane&Sakuya&Kaho
恋鐘＆咲耶＆結華,Kogane&Sakuya&Yuika
恋鐘＆咲耶,Kogane&Sakuya
恋鐘＆摩美々＆咲耶,Kogane&Mamimi&Sakuya
恋鐘＆摩美々＆結華,Kogane&Mamimi&Yuika
恋鐘＆摩美々＆霧子,Kogane&Mamimi&Kiriko
恋鐘＆摩美々,Kogane&Mamimi
恋鐘＆樹里,Kogane&Juri
恋鐘＆甘奈,Kogane&Amana
恋鐘＆霧子,Kogane&Kiriko
恋鐘,Kogane
摩美々＆咲耶＆結華,Mamimi&Sakuya&Yuika
摩美々＆結華,Mamimi&Yuika
摩美々＆霧子,Mamimi&Kiriko
摩美々,Mamimi
撮影スタッフ,Photoshoot Staff
智代子＆夏葉,Chiyoko&Natsuha
智代子＆樹里＆夏葉,Choco&Juri&Natsuha
智代子＆樹里,Chiyoko&Juri
智代子,Chiyoko
智代子&凛世,Chiyoko&Rinze
果穂＆樹里＆凛世,Kaho&Juri&Rinze
果穂＆凛世,Kaho&Rinze
果穂＆夏葉＆千雪,Kaho&Natsuha&Chiyuki
果穂＆夏葉,Kaho&Natsuha
果穂＆智代子＆夏葉,Kaho&Choco&Natsuha
果穂＆智代子＆樹里,Kaho&Choco&Juri
果穂＆智代子,Kaho&Chiyoko
果穂＆樹里＆夏葉,Kaho&Juri&Natsuha
果穂＆樹里,Kaho&Juri
智代子＆凛世,Chiyoko&Rinze
果穂＆甜花,Kaho&Tenka
果穂,Kaho
樹里・夏葉,Juri·Natsuha
樹里＆凛世＆夏葉,Juri&Rinze&Natsuha
樹里＆凛世,Juri&Rinze
樹里＆智代子,Juri&Chiyoko
樹里,Juri
灯織＆めぐる,Hiori&Meguru
灯織,Hiori
甘奈・甜花,Amana·Tenka
甘奈＆千雪,Amana&Chiyuki
甘奈＆甜花,Amana&Tenka
甜花＆千雪,Tenka&Chiyuki
甘奈,Amana
甜花,Tenka
男性,Male
番組スタッフ,TV Staff
監督,Supervisor
真乃＆めぐる,Mano&Meguru
真乃＆恋鐘＆結華,Mano&Kogane&Yuika
真乃＆灯織＆めぐる,Mano&Hiori&Meguru
真乃＆灯織,Mano&Hiori
真乃,Mano
社長,President
結華＆摩美々,Yuika&Mamimi
結華＆霧子,Yuika&Kiriko
結華,Yuika
観客,Judge
記者,Reporter
赤ちゃん,Baby
霧子,Kiriko
３、２、１──,"3, 2, 1──"
アイドル,Idol
イベント関係者,Event Staff
愛依,Mei
通行人,Passerby
冬優子,Fuyuko
あさひ,Asahi
めぐる＆プロデューサー,Meguru&Producer
真乃＆プロデューサー,Mano&Producer
灯織＆プロデューサー,Hiori&Producer
凛世＆プロデューサー,Rinze&Producer
男性１,Male 1
男性２,Male 2
女性１,Woman 1
智代子＆プロデューサー,Chiyoko&Producer
ナレーション,Narration
スタッフ１,Staff 1
スタッフ２,Staff 2
スタッフ３,Staff 3
スタッフ４,Staff 4
クラスメイト,Classmate
カホ＆ジュリ＆ナツハ,Kaho&Juri&Natsuha
カホ＆ジュリ,Kaho&Juri
カホ＆チヨコ＆ジュリ,Kaho&Chiyoko&Juri
カホ＆チヨコ,Kaho&Chiyoko
カホ＆ナツハ,Kaho&Natsuha
カホ＆リンゼ＆ナツハ,Kaho&Rinze&Natsuha
カホ,Kaho
ジュリ＆ナツハ,Juri&Natsuha
ジュリ,Juri
チヨコ＆ジュリ,Chiyoko&Juri
チヨコ,Chiyoko
ナツハ,Natsuha
リンゼ,Rinze
リーダーの少女,Leader Girl
校長,Principal
あさひ＆冬優子,Asahi&Fuyuko
あさひ＆愛依,Asahi&Mei
冬優子＆愛依,Fuyuko&Mei
司会者,Host
女性の観客,Female Judge
男性の観客,Male Judge
観客１,Judge 1
観客２,Judge 2
観客３,Judge 3
責任者,Manager
白うさぎ,White Rabbit
恋鐘&咲耶&結華,Kogane&Sakuya&Yuika
結華＆霧子,Yuika&Kiriko
おばあさん,Grandma
美容師,Hairdresser
同級生１＆２,Classmate 1&2
同級生１,Classmate 1
同級生２,Classmate 2
子どもたち,Children
不審な男,Suspicious Man
仔馬,Pony
果穂＆甘奈＆千雪,Kaho&Amana&Chiyuki
賞金稼ぎ,Bounty Hunter
乗務員一同,Transport Crew
智代子＆凛世＆夏葉,Chiyoko&Rinze&Natsuha
生徒会長,S. Council President
副会長,Vice President
コーチ,Coach
校内放送,School Broadcast
ラジオ番組,Radio Program
生徒,Student
オニ,Demon
ゲーム画面,Game Screen
真乃＆霧子＆甜花,Mano&Kiriko&Tenka
無線連絡,Wireless
透,Toru
小糸,Koito
円香,Madoka
雛菜,Hinana
透＆円香＆小糸＆雛菜,All of Noctchill
円香＆プロデューサー,Madoka&Producer
TV局職員,TV Staff
ADふうの女性,Director Woman
番組ディレクター,Program Director
芸能人ふうの男性,Celebrity Guy
モデルふうの女性,Model
トレーナー,Trainer
女子高生,Highschool Girl
コンビニ店員,Sales Clerk
街頭モニター,Street Monitor
つけっぱなしのテレビ,TV that was left on
テレビの音声,Voices from the TV
メッセージ,Message
女の子,Girl
男の子,Boy
男の子＆女の子,Both
女生徒,Schoolgirl
主人公,Protagonist
作業員,Worker
摩美々&プロヂューサー,Mamimi&Producer
智代子＆樹里＆凛世,Choco&Juri&Rinze
少女,Little Girl
学生,Student
少女＆透,Girl&Toru
