id,name,text,trans
6014003010010,甘奈,──……,ー.....
0000000000000,プロデューサー,……甘奈？,.....Amana?
6014003010020,甘奈,"あっ、プロデューサーさん！
……えへへ、やっぱりちょっと緊張しちゃうね","Ah, Producer-san!
.....Ehehe, I think I might be a little nervous."
6014003010030,甘奈,"でもね、大丈夫☆　甘奈、これまでやってきたことを
ちゃんと発揮してくるから！","But I'm sure I'll do great☆
After all, I've been practicing a lot and can't wait to
show you everything I've learned!"
6014003010040,甘奈,"甘奈が勝ち残れるように、
プロデューサーさんも応援よろしくね！","So I can make it through the performance, I'm really
counting on your support, Producer-san!"
0000000000000,プロデューサー,"ああ、それはもちろんだけど……
…………","Yeah, you can definitely count on that...
......It's a given afterall."
6014003010050,甘奈,？,Hm?
0000000000000,プロデューサー,"……いや。なんでもないよ
精一杯頑張ってこい、甘奈","....Don't worry about what I said.
Just focus on doing your best, Amana."
6014003010060,甘奈,はーい☆,Okay～☆
info,produce_events/601400301.json,
Translator,Yuzukicchi,
