id,name,text,trans
5004004030010,甘奈,────みんな～！,────Hey everyone～!
5004004030020,甘奈,"アルストロメリアのワンマンライブ──
楽しんでくれてますか～？","How are you all enjoying Alstroemeria's one man
concert～?"
5004004030021,甜花＆千雪,わぁ……！,Woah......!
5004004030030,千雪,"今日が来るのを
待ってたよ、って人──？",Who here was waiting just for this day......!?
5004004030040,千雪,"ふふっ
私も、今日の日を待ってました……！","Fufu, I was waiting for this day too......!"
5004004030050,甜花,"甜花たちに……
会いたかったよ、って人……！",Who here... missed the three of us......!?
5004004030060,甜花,"にへへ……
嬉しい……",Nihehe...... Thanks......
5004004030070,甘奈,"えへへっ
甘奈たちも、み～んなも、同じ気持ちみたい！",Ehehe. It looks like we all had the same feelings!
5004004030080,甜花,あ……じゃあ……,Oh...... So then......
5004004030090,甜花,"甜花たちの、気持ち……
もうちょっと、みんなにお話、しよ……？","Maybe we should... talk to you all a little more... about
our feelings......?"
info,produce_events/500400403.json,
Translator,kotonekotoP,
