id,name,text,trans
0000000000000,プロデューサー,なんだか気合入ってるな,You seem determined.
1014001001410010,甘奈,"ファンのみんなの存在って、
すごく大事だなっていつも思うんだ","I always think that the existence of all the fans
is important."
1014001001410020,甘奈,だから裏切らないように、がんばりたい！,"That's why, I want to do my best so that they
won't be disappointed!"
0000000000000,プロデューサー,（しっかりファンに意識が向いているようだな）,(Seems she is thinking of her fans.)
select,,"パフォーマンスを、
どんどん磨こう","Let's keep
improving your
performance."
select,,"外でも
人の目を意識して
行動しよう","People see you
out there. Let's
behave."
select,,"無理は
しすぎないようにな",Don't overdo it.
1014001001410030,甘奈,"だよね！　いつまでも成長し続けないと、
ファンのみんなの期待に応えられないもんね！","I know right! If I'm not improving, I may not be able
to meet fans' expectations!"
1014001001410040,甘奈,よーっし、今日もがんばっちゃお☆,Okaay! Let's do our best too for today☆
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1014001001410050,甘奈,"いつでもファンのみんなの目があると思うと、
気が引き締まるよね！","Whenever I think the fans are looking at me, I always
feel very self-conscious!"
1014001001410060,甘奈,一応、鏡見ておこうっと,I'm going to take a look at the mirror.
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1014001001410070,甘奈,"えへへ、
心配してくれてありがと、プロデューサーさん","Ehehe. Thank you for your concern,
Producer-san."
1014001001410080,甘奈,でも、今はちょっと無理をするくらいがちょうどいいんだ,"But, it's fine to overdo it this time."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/101400100141.json,
Translator,,
