id,name,text,trans
1014001020010,甘奈,"わぁーすごい
この子たち、みーんなアイドルなんだぁ","Wow, this is amazing.
All these girls here are idols."
0000000000000,プロデューサー,"甘奈と似たような立場の、新人アイドル達だな
今日は新人ユニットが何組も出るライブイベントなんだ","Just like you, they're all rookie idols. It seems that there are also several groups who'll be in today's live event."
0000000000000,プロデューサー,"とはいえ
『W.I.N.G.』ほどじゃないから、緊張するなよ","Although, this isn't at the level of ""W.I.N.G."", so you don't have to be nervous."
1014001020020,甘奈,『W.I.N.G.』って……？,"""W.I.N.G.""?"
1014001020021,甘奈,ああ！　それって、あのすごいやつのことだよね！,"Oh! You're referring to that really big one, right!"
1014001020030,甘奈,ちゃーんと、わかってるよ！,I totally know about it!
0000000000000,プロデューサー,"（良かった、緊張してないようで……
甘奈、リラックスできているみたいだな）","(I'm glad to see that Amana's not feeling nervous.
It seems that she managed to calm herself.)"
0000000000000,スタッフ,次、大崎甘奈さん、お願いしまーす！,"Oosaki Amana, you're next. Please come up!"
0000000000000,プロデューサー,"ほら甘奈、出番だ
元気よく行ってこい！","Amana, it's your turn.
Go out there in high spirits!"
1014001020040,甘奈,うん！　プロデューサーさん、行ってくるね！,"Will do! I'll be going now, Producer!"
1014001020050,甘奈,"みんなー！　今日は、よっろしくー！
楽しんでいこうねー！","Hello everyone! I'm so glad to be here today!
Let's have a good time, shall we?"
1014001020060,甘奈,"えへ、ありがとー！
甘奈もみんなのこと、大好きだよー！","Ehe, thank you!
I love all of you too!"
0000000000000,プロデューサー,"（甘奈、堂々としているな
うん、お客さんにちゃんとレスもできている）","(Amana's doing great.
Yes, even the audience are responding to her.)"
0000000000000,プロデューサー,"（デビューしたてで、
イベントにもまだ不慣れなはずなのに、すごいぞ）","(Considering that she has just made her debut and has little experience performing in events, she's quite amazing.)"
1014001020070,甘奈,プロデューサーさん、たっだいまー！,"I'm back, Producer-san！"
0000000000000,プロデューサー,"甘奈、お疲れ様！
良かったぞ！","Good work, Amana！
That was great！"
0000000000000,プロデューサー,"これからがすごく楽しみだ！
この調子でがんばれば『W.I.N.G.』も夢じゃない！","I really can't wait to see your progress in future！If you keep this up, W.I.N.G wouldn't just be a dream！"
1014001020080,甘奈,"えへへ、ありがと！
ステージ、すっごく楽しかったー！","Ehehe, thank you！
The live was really fun！"
1014001020090,甘奈,"お客さんもめっちゃ応援してくれたんだー
うれしかったぁ","The audiences really cheered hard for me,
so I'm really happy. "
0000000000000,プロデューサー,そうか、それなら良かった,"I see, that's good for you."
0000000000000,プロデューサー,"ステージが楽しめるっていうのは、
アイドルとして大事なことだからな","As an idol, it's important for you to be able to enjoy your lives as well."
1014001020100,甘奈,えへへ、そうなんだー,"Ehehe, is that so～"
1014001020110,甘奈,"アイドルとして大事なこと、かぁ
う～ん……","It's an important thing for idol, huh. 
Hmm～……"
0000000000000,プロデューサー,どうした？,What's wrong？
1014001020120,甘奈,"ね、プロデューサーさん
甘奈、どうかな？","Hey、Producer-san.
What do you think, about Amana？"
0000000000000,プロデューサー,"（……どうかなって、どういうことだろう
さっき褒めたけど、それじゃだめだったのか……？）","（……Why is she suddenly asking about this? She was just getting praised, I wonder what's wrong……？）"
0000000000000,プロデューサー,……すまん、どういう意味だ？,"……Sorry, what do you mean?"
1014001020130,甘奈,えっと……甘奈、アイドルできそうかな？,Well…… can Amana really be able to be an idol？
select,,"甘奈なら、
きっとできるよ","If it's Amana,
she sure 
can do it."
select,,"充分スタート地点に
立てている","You're enough to
start standing up."
select,,"何か不安に思うことが
あるのか","Is there something
you're worried
about？"
0000000000000,プロデューサー,ルックスとダンス、それに歌,"Your looks, dance, and also song."
0000000000000,プロデューサー,"新人アイドルとは思えないほどのものを、
甘奈はちゃんと持っている","Not every rookie idol have all of those, but Amana surely has it with her. "
1014001020140,甘奈,"プロデューサーさんってば、褒めすぎだよ～
えへ、でも嬉しい。ありがとっ！","Producer-san, you're praising me too much～
Ehe, but I'm glad. Thank you！"
0000000000000,プロデューサー,事実を言ったまでだ,I'm just stating the facts.
0000000000000,プロデューサー,"だけど、急にどうしたんだ？
ステージで何かあったのか？","However, why did you ask that suddenly？
Did something happened onstage？"
1014001020150,甘奈,"えっ……？
うーん……特別、何かあったってわけじゃないよー？","Eh……？Hmm…… well, there aren't really special meaning about it, you know？"
1014001020160,甘奈,"ただ、他の子たちの頑張りを見てると
本当にやっていけるのかなって心配しちゃって","However, when I looked at other girl's efforts,
I wondered whether I can really do it or not."
1014001020170,甘奈,"でも、プロデューサーさんが大丈夫って言うなら
安心したかも！　うん、ありがとっ！","But, when Producer-san assured me about it,
I feel a bit relieved！Yeah, thanks again！"
0000000000000,プロデューサー,"あぁ、甘奈はいいアイドルになれる
自信を持っていこう！","Yeah, for Amana to become a great idol,
you have to be more confident！"
1014001020180,甘奈,ホント？,Really？
0000000000000,プロデューサー,"あぁ、本当だ
俺は今日のステージを見て、安心したよ","Aah, that's right.
When I looked at your live today, I felt relieved."
0000000000000,プロデューサー,"甘奈は問題なくアイドルとしてやっていけそうだし
何も心配ないなって","Amana's been able to do idol jobs without hitch so far,
so don't worry too much about it."
1014001020190,甘奈,"プロデューサーさん、そんなふうに思ってくれてたんだ
でもね、甘奈は……","Producer-san, even if you think like that,
the truth is, Amana……"
0000000000000,プロデューサー,大丈夫だ,"It'll be alright. "
1014001020200,甘奈,え？,Eh？
0000000000000,プロデューサー,甘奈には、甜花がいるじゃないか,"After all, Amana has Tenka with her. "
1014001020210,甘奈,"あ、そっか
甘奈には甜花ちゃんが……","Ah, that's right.
Amana is together with Tenka-chan……"
0000000000000,プロデューサー,"それに千雪だっているしな
それでも、アイドルやっていくのは不安に思うか？","And you also have Chiyuki as well. How about it, are you still worried at being an idol？"
1014001020220,甘奈,……ううん、思わないかも,"……No, I don't think so."
1014001020230,甘奈,"そうだよね、
みんなと一緒に頑張っていければ大丈夫だよね！","That's right,
if I do my best with others, it'll all be alright！"
0000000000000,プロデューサー,"あぁ、もちろんだ！
これから頑張っていこうな、甘奈！","Yeah, that's right！
Let's do our best from now on, Amana！"
0000000000000,プロデューサー,"さっきのステージ、
立派にこなせていたじゃないか","It seems you just handled the live just now pretty well. "
1014001020240,甘奈,不安っていうほどじゃないんだけどねー,"It's not like that I'm really anxious, but..."
1014001020250,甘奈,"周りのアイドルたちのすっごいやる気を見てたら……
甘奈、それについていけるのかなって","When Amana looked around at all the idols who are so amazing…… can Amana really follows their lead, or something like that. "
0000000000000,プロデューサー,"（甘奈……そんなことを思っていたのか……
これは、もっとちゃんと話を聞いた方がいいな）","（Amana…… think something like that, huh……
It'll be better to hear more about this）"
0000000000000,プロデューサー,"甘奈
この後、事務所に行かないか？","Amana. 
After this, do you want to back to the office？"
