id,name,text,trans
0000000000000,プロデューサー,よし、いい感じだな……！,"Alright, looking good...!"
0000000000000,プロデューサー,あとはこれを冷蔵庫で冷やして……,Now I just need to let this chill in the fridge...
2014011110010,甘奈,～♪,～♪
0000000000000,プロデューサー,甘奈、お待ちどうさま,"Amana, sorry to keep you waiting!"
2014011110020,甘奈,"わー！　すごい！
めっちゃ美味しそう！","Wow! It looks amazing!
It smells so good!"
2014011110030,甘奈,もう食べていい！？,Can I start eating right now!?
0000000000000,プロデューサー,"ああ、できたてで熱いと思うから
少し冷ましてからでもいいぞ","Yeah, but it's fresh off the stove, so it's probably
really hot. You might want to let it cool down a bit."
2014011110040,甘奈,"ううん！　大丈夫！
もし熱かったら、ふーふーして食べるから","Nope! I'll be fine!
If it's too hot, I'll just blow on it!"
0000000000000,プロデューサー,はは、そうか,"Haha, fair enough."
2014011110050,甘奈,じゃあ、プロデューサーさん、いただきます！,"Then, Producer-san...
Let's eat!"
0000000000000,プロデューサー,"ああ、召し上がれ
俺もいただきます","Yeah, let's dig in."
2014011110060,甘奈,……,.....
0000000000000,プロデューサー,……,.....
2014011110070,甘奈,"めっちゃ美味しいよ～！
プロデューサーさん！","This is SO delicious, Producer-san!!"
0000000000000,プロデューサー,おお、そうか！,"Oh, really? I'm glad!"
2014011110080,甘奈,うん！　いくらでも食べられちゃいそう☆,Yeah! I feel like I could eat this forever! ☆
0000000000000,プロデューサー,そこまで言ってもらえると嬉しいな,I'm really happy to hear you say that.
2014011110090,甘奈,"えへへ、
時々お願いしちゃいたいくらい☆","Ehehe... I might have to start making requests for
this more often! ☆"
2014011110100,甘奈,"美味しかった～！
プロデューサーさん、ごちそうさま！","That was amazing!
Producer-san, thanks for the meal!"
0000000000000,プロデューサー,おそまつさまでした,You're very welcome.
0000000000000,プロデューサー,"っと、そうだ甘奈
まだお腹に余裕あるか？","Oh, that's right...
Amana, do you still have room for more?"
2014011110110,甘奈,？　うん、まだ少しなら大丈夫だよ～！,"Hmm? Yeah, I can handle a little more～!"
0000000000000,プロデューサー,じゃあ、ちょっと待っててもらってもいいかな,Then... would you mind waiting just a moment for me?
0000000000000,プロデューサー,うん、いい感じに固まってる,"(Nice, it set perfectly...)"
2014011110120,甘奈,～♪,～♪
0000000000000,プロデューサー,お待たせ、甘奈,"Sorry for the wait, Amana."
2014011110130,甘奈,"わ！　デザートだ！
写真撮っていい？","Wow! Dessert!
Can I take a picture!?"
0000000000000,プロデューサー,"簡単なプリンだけだから
あまり映えないかもしれないけどな","Of course. It's just a simple pudding though, so it
might not that fancy..."
2014011110140,甘奈,"プロデューサーさんが作ってくれたものだから
記念に残しておきたいの～","But it's special because you made it for me!
I want to keep this memory forever～"
0000000000000,プロデューサー,"ありがとう
じゃあ、写しやすいように、並べるぞ","That means a lot, Amana. Thank you.
Here, let me move these so you can get the perfect
shot."
2014011110150,甘奈,えへへ、綺麗に撮れた！,"Ehehe, I got a great shot!"
2014011110160,甘奈,あとでプロデューサーさんにも送るね☆,"I'll send it to you later, okay? ☆"
2014011110170,甘奈,"『プロデューサーさん、今日は
美味しいごはん、ありがと！』","""Producer-san, thank you so much for the delicious
dinner today!"""
2014011110180,甘奈,"『デザートもたくさん食べてお腹いっぱい！
今、めっちゃ幸せな気分だよ！』","""I ate so much dessert, I'm totally stuffed! I feel so
incredibly happy right now!"""
2014011110190,甘奈,"『おかげでエネルギー満タン！
明日からも、しっかり頑張るね！』","""Thanks to you, my heart is 100% recharged! I'm going
to give it my absolute all starting tomorrow!"""
2014011110200,甘奈,『☆追伸☆』,☆ P.S. ☆
2014011110210,甘奈,『デザートの写真、ちょっと加工してみたよっ！』,"""I played around with some filters on the pudding
photo!"""
0000000000000,off,甘奈 が写真を送信しました,Amana sent a photo.
2014011110220,甘奈,"『Very delicious and sweet time
made by Producer san☆』","『Very delicious and sweet time
made by Producer san☆』"
info,produce_events/201401111.json,
Translator,Yuzukicchi,
