id,name,text,trans
3014003010010,甘奈,ワン・ツー……,"One, Two..."
3014003010020,甜花,す、スリー……,T-Three...
3014003010030,甘奈,ここでターン！,"And now, a turn!"
3014003010040,甜花,"あぅ！
うう……また転んじゃった","Awh!
Uuh... Tenka has fallen again."
3014003010050,甘奈,甜花ちゃん！　大丈夫？,"Are you alright, Tenka?"
3014003010060,甜花,大丈夫……,Yes...
3014003010070,甜花,"ゴメンね、なーちゃん……
レッスン……付き合ってくれてるのに……","Tenka's really sorry, Na-chan...
She asked you... to do lessons together and yet..."
3014003010080,甘奈,"ううん、甘奈もレッスンしたかったんだ
それに、甜花ちゃんと一緒ならもっと頑張れるし！","It's okay, I wanted to do some lessons myself.
Besides, if I'm doing it with you, I'll be able work even harder!"
3014003010090,甜花,うん……,Okay...
3014003010100,甘奈,"じゃあ、今のところ
もう１回やろ！","So, how about we give this one more try!"
3014003010110,甘奈,甘奈も頑張っちゃうよ！,I'll do my best too!
3014003010120,甜花,"あ、あわわ……
またタイミングがずれて……","A-Awawah...
Tenka messed up the timing again..."
3014003010130,甘奈,甜花ちゃん、へーき？,"Are you alright, Tenka?"
3014003010140,甜花,"うん……今度は、転ばなかったけど……
ターン、じょうずにできない……","Yes... Tenka didn't fall this time but...
she can't get the turn right..."
3014003010150,甘奈,"だいじょーぶ、少しずつできるようになってるよ
キレだってはじめより、めっちゃ良くなってるもん！","It'll be just fine. You'll starting to get the hang of it.
Like your dancing's becoming more defined now!"
3014003010160,甜花,でも、もう何10回もやってるのに……,"But, Tenka's been doing this a dozen times..."
3014003010170,甘奈,"あきらめなかったらきっとできるようになるって！
もう少しだけ一緒にやってみよ！","You'll get it right if you don't give up on it!
Let's do a few more, okay!"
3014003010180,甜花,うん……なーちゃん……甜花……がんばる……,Yes... Na-chan... Tenka will do her best...
3014003010190,甘奈,えへへっ、じゃあ早速再開しよっ！,"Ehehe, alright, let's get back to doing it!"
3014003010200,甘奈,"でも、やり方を変えることも大事だよね～
何かいい方法ないかなぁ～","But, it's important to change up things.
I wonder if there's a good way to do it."
3014003010210,甘奈,うーん……,Hm...
3014003010220,甘奈,"あ！
ねぇ、ビデオカメラ使ってみない？","Ah!
Say, why won't we use a video camera?"
3014003010230,甜花,ビデオ……カメラ……？,A video... camera?
3014003010240,甘奈,"うん！　いつもレッスンのとき、
ダンスしてるとこ撮るでしょー？","Yes! Whenever we do our lessons,
our dancing's being recorded, right?"
3014003010250,甘奈,"客観的に見たら、なんでターンがずれるか
わかるかも？","If we were to watch our dancing objectively, we might be able to figure out why you can't get the turn right.
"
3014003010260,甜花,"うん……
じゃあ、やってみよう……","Yes...
So, let's do that..."
3014003010270,甘奈,カメラを三脚に付けて、と……,"Putting the camera on the tripod...
"
3014003010280,甜花,なーちゃん……できそう……？,Na-chan... Do you think you can do that?
3014003010290,甘奈,"うん、いけそう！
えへへ、おっ映ってる映ってる！","Yeah, seems like it.
Ehehe  Oh, you're showing on it now!"
3014003010300,甜花,えっ……えっ……,Eh... Eh...
3014003010310,甘奈,甜花ちゃん、カメラ映りいーね！,"You're looking good on camera, Tenka!"
3014003010320,甜花,え、えっと……,U-Umm...
3014003010330,甘奈,"ねぇねぇ、ピント合わせたいから
ちょっとポーズ取ってみてー","Say, I want to this to focus on you so, could you try doing a pose?
"
3014003010340,甜花,ぽ、ぽーず……？,P-Pose?
3014003010350,甘奈,"えっとね、ピースを作って、
それをほっぺにくっつける！","Well, try making a peace sign and put it close to your cheek!
"
3014003010360,甜花,こ、こう……？,L-Like this?
3014003010370,甘奈,"うん、そうそう！
で、ちょっと首傾げてみて？","Yeah, like that!
Also, try putting your head to the side."
3014003010380,甜花,こう……かな？,Like... this?
3014003010390,甘奈,"うんうん、いい感じ！
甜花ちゃん、めっちゃかわいー！","Yeah, you're doing great!
You are so cute, Tenka!"
3014003010400,甜花,"か、かわいい……なんて……
そんなこと……ないよ……",C-Cute... That's not... true...
3014003010410,甘奈,"ホントだってー
甜花ちゃんなら１番のアイドルになれるよ！","It is.
I'm sure that you can even become the best idol!"
3014003010420,甜花,"な、なーちゃん……そんなに……褒めないで……
恥ずかしい……から……","N-Na-chan... Don't praise Tenka... that much...
It makes her flustered..."
3014003010430,甘奈,えへへ、ごめんね,"Ehehe, sorry about that."
3014003010440,甘奈,……うん、やっぱ、甜花ちゃんはかわいーなぁ,"...Aah, Tenka's so cute."
3014003010450,甘奈,"（このかわいさをみんなに知ってもらえるように、
甘奈がもっと頑張らなくっちゃ……！）",(I have to put in more effort so that everyone will know about this cuteness!)
3014003010460,甘奈,"（そうと決まったら、まずは目の前の苦手克服から
しっかりとやっていかないとだよね）","(Which means, I have to find a way to overcome this problem that's right in our eyes now.)"
3014003010470,甘奈,"甜花ちゃん！　ありがとー！
おかげでしっかりカメラの準備できたよ！","Thanks, Tenka!
I've finally set up the camera with your help!"
3014003010480,甘奈,"これでバッチリあとでチェックできると思うから
もう１回最初から通してみよ？","I'm sure that it can record well enough now for us to check later so,
how about doing everything from the top one more time?"
3014003010490,甜花,う、うん……これで……できるように……なる,"O-Okay... With this... Tenka would be able to... do this well... "
3014003010500,甘奈,甜花ちゃん……！,Tenka...
3014003010510,甘奈,"よーっし、じゃあレッスン頑張ろー！
おー！","Alright, let's do our best for this lesson!
Yeah!"
3014003010520,甜花,おー……！,Yeah...!
info,produce_events/301400301.json,
译者,,
