id,name,text,trans
3014006010010,甘奈,わぁ～……,Aah...
3014006010020,甘奈,"甜花ちゃん、見て見て！
こことか超良い景色だよ～！","Tenka, look! This one has a really great view!"
3014006010030,甜花,"わあ……
すごい、自然だね……綺麗……","Aah... Amazing, it has a pictureque view... It's beautiful..."
3014006010040,甘奈,"だよねだよね！　……あっ！
落ち葉を使って焼き芋もできるんだって～","I know, right? Ah! It says that we can roast some sweet potatoes using the fallen leaves."
3014006010050,甜花,"焼き芋……！
甜花、焼き芋食べたい……！",Roast sweet potato? Tenka would want to eat one!
3014006010060,甘奈,"めっちゃ甘いって書いてあるよ～
これ、絶っ対、やろうね！","It also mentions that it's really sweet! We should do this, right!"
3014006010070,甜花,"うん……！
にへへ……美味しく、できるといいな……",Yes! Nihehe... It'd be nice... if the ones we make turn out delicious...
3014006010080,甘奈,えへへ、ママなら上手に焼いてくれそうだね☆,Ehehe... Mama's probably able to make them nicely.
3014006010090,甜花,"うん……
にへへ……",That's true... Nihehe...
3014006010100,甘奈,あっ……！　噂をすればママからだよ！,"Ah! Speaking of which, it is her!"
3014006010110,甘奈,"もしもし……うん、甜花ちゃんも隣にいるよ？
どうしたのー？","Hello. Yes, Tenka's right beside me. Is something wrong?"
3014006010120,甘奈,"…………
うん、そっか","...Oh, I see."
3014006010130,甘奈,"……ううん、謝らないで！
パパ、今忙しいもんね！","...No, it's alright! Papa's busy too, right?"
3014006010140,甘奈,むしろ、パパとママも楽しみにしてたから残念……,It's really a shame since you two were also looking forward to it.
3014006010150,甘奈,"わかった！　甜花ちゃんにも伝えておくね！
バイバイ！",Okay! I'll tell Tenka! Bye-bye!
3014006010160,甘奈,…………,......
3014006010170,甜花,"えっと……
もしかして、旅行の話、だった……？",Umm... was that about the trip?
3014006010180,甘奈,……うん,...Yeah.
3014006010190,甘奈,"でも、お仕事だもん……しょうがないよね！
ふたりが行けないなら、今回は中止かな","But, it's work... So, there's nothing much we can do about it! If they won't be able to come, I guess we should put this off for now."
3014006010200,甘奈,甘奈たちだけで楽しんじゃったら悪いもんね……,It won't be right if it'll be just the two of us enjoying that trip.
3014006010210,甘奈,甜花ちゃん、代わりにどっか行こっか！,"Tenka, how about we go somewhere else instead?"
3014006010220,甜花,なーちゃん……,Na-chan...
3014006010230,甘奈,甘奈、ちょっと気になってたとこがあって……,There's this place that I kinda want to check out.
3014006010240,甜花,あ、あのね……なーちゃん……！,U-Umm... Na-chan...
3014006010250,甘奈,……甜花ちゃん？,Tenka?
3014006010260,甜花,"甜花も、みんなで……旅行、行きたかったから……
パパとママ……行けなくて、ちょっと、がっかり……",Tenka really... wants to go on a trip... Hearing Papa and Mama not being able to make it... is a little disappointing...
3014006010270,甜花,"なーちゃんも、すごく楽しみにしてたの、
甜花も……見てた、から……えと、その……","Tenka sees that... you're also really... looking forward to this... so, umm..."
3014006010280,甜花,なーちゃんと甜花だけで……行ってみる……？,Would you like to go... with just Tenka there?
3014006010290,甘奈,えっ……？,Eh?
3014006010300,甜花,ふたりだけだと……心配されると……思うけど……,Although... Tenka thinks Papa and Mama would get worried...  about the idea of just us going on a trip...
3014006010310,甜花,"て、甜花……
パパとママに……お願いしてみる！",T-Tenka... will try asking... them about this!
3014006010320,甘奈,甜花ちゃん……！,Tenka...
3014006010330,甘奈,"えへへ、ありがと！
でも、それならお願いは一緒にしてみよ！","Ehehe, thanks! But, let's try asking them together!"
3014006010340,甜花,うん,Okay.
3014006010350,甘奈,じゃあ、今夜帰ってきたら聞いてみよっか！,Let's try asking them once they come back home tonight!
3014006010360,甘奈,おはよう、千雪さん！,"Good morning, Chiyuki!"
3014006010370,甜花,おはよう……千雪さん,Good morning... Chiyuki.
3014006010380,千雪,甘奈ちゃん甜花ちゃん、おはよう,"Amana, Tenka, good morning."
3014006010390,甘奈,ねえ、千雪さん次のオフ空いてる！？,"Say, Chiyuki, are you free on the next day-off?"
3014006010400,千雪,"？　特に予定は決めてないけど……
どうかしたの？",I don't really have any plans yet. What's the matter?
3014006010410,甘奈,一緒に旅行行こう！,Let's go on a trip!
3014006010420,千雪,……？　旅行？,A trip?
3014006010430,千雪,"なるほど……そういうことだったの
ご両親がお仕事で、旅行に行けなくなってしまったのね","I see. So, that's what happened. Because of your parents' work, they won't be able to join you two for the trip."
3014006010440,甘奈,うん！　心配されそうだからダメだと思ったんだけどね,Yes! I thought that they won't approve since it going to make them worry.
3014006010450,甘奈,"ふたりの都合で甘奈たちの楽しみがなくなっちゃうのは
悪いからって、オッケーしてくれたんだ！","But, they felt bad that the trip we've been looking forward to will turn for naught, so they're okay with the idea!"
3014006010460,千雪,ふふ、優しいご両親ね,"Fufu, my, what nice parents."
3014006010470,甜花,パパ、広いお部屋取ってたから……,Papa booked a wide room so...
3014006010480,甘奈,"お世話になってる千雪さんも誘ったら？　
って言ってくれたの☆",He suggested that we invite you too since you're always taking good care of us.
3014006010490,甘奈,だから、一緒に行こう！　千雪さん！,"So, let's go there together, Chiyuki!"
3014006010500,甜花,"千雪さんとなら……
きっと、もっと……楽しい……",If you were with us... Tenka thinks that... the trip will be more fun...
3014006010510,千雪,"……ふたりがそう言ってくれるなら、
お言葉に甘えちゃおうかな","Hearing that from the two of us, I guess I'll take up your offer then."
3014006010520,千雪,素敵なお誘い、ありがとう。とっても嬉しい,Thank you for this. I'm really happy you invited me.
3014006010521,甘奈&甜花,やった！,Yeah!
3014006010530,甘奈,決まりだね☆　今からめっちゃ楽しみだよ～,It's settled then. I really can't wait for it.
info,produce_events/301400601.json,
译者,,
