id,name,text,trans
1017001000810010,あさひ,うーん……,Hmm...
0000000000000,プロデューサー,難しい顔をしているな,What's with the serious expression?
1017001000810020,あさひ,"宇宙について考えてたら
どんどんわからなくなってきたんすよ","When I think about the universe,
I just get more and more confused..."
0000000000000,プロデューサー,（それはまたずいぶんと難しいことを……）,(Now there's another deep topic...)
select,,宇宙はロマンだ,"The universe
is a romance."
select,,"倉庫の
望遠鏡を使うか","Wanna use the
telescope?"
select,,"考えたらもっと
わからなくなる","The more you think,
the more unknowns
you get."
1017001000810030,あさひ,宇宙は確かにロマンっす！,"Yeah, the universe sure is romantic!"
1017001000810040,あさひ,ロマン～♪　ロマン～♪,Romance～♪ Romance～♪
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1017001000810050,あさひ,"いいんすか！　やったっす～！
何かわかるかもしれないっすね！　そしたら！","Can I!? Yay～!
I might be able to find something out!
And then...!"
1017001000810060,あさひ,今夜は星を見るっすよ！,Tonight I'll be stargazing!
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1017001000810070,あさひ,考えるほどわからなくなるんすね……うーん……,"The more I think, the less I understand...
Hmm..."
1017001000810080,あさひ,じゃあ、そういうことにしておくっす,Then let's leave it at that.
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/101700100081.json,
Translator,Autumn Cloud,
