id,name,text,trans
5010001000220010,智代子,"プロデューサーさんごめんなさい！
原因は、思い切りのなさだったと思うんです……！","Producer, I'm sorry!
I think it's because I wasn't giving it my all...!"
5010001000220020,智代子,"私、失敗しないようにって思って、
動きが小さくなってたかもしれなくて……！","I was thinking about how I have to do my best to not lose,
and my movements might've gotten smaller...!"
5010001000220030,智代子,"合格することが目標になっちゃってました
まずはいいステージにすることが大事なのに……","My goal became passing the audution,
even though doing a good performance is more important..."
0000000000000,プロデューサー,"自力でそこまで反省してるんだ、
智代子はしっかり、今回のことを糧に成長しようとしてる","You've reflected that much.
You're using this well as a source for growth."
0000000000000,プロデューサー,その気持ちを忘れずにいれば、次はきっと大丈夫だ,"As long as you don't forget that feeling, you'll do fine next time."
5010001000220040,智代子,──はい！,──Yes!
5010001000220050,智代子,"……あの、プロデューサーさん
私、今から帰ってレッスンがしたいです！","...Um, Producer.
I want to go back and do a lesson right now!"
5010001000220060,智代子,お願いできますか？,Can you do that for me?
0000000000000,プロデューサー,ああ、もちろんだ！,"Yes, of course!"
info,produce_communication_auditions/501000100022.json,
译者,,
