id,name,text,trans
1010001000410010,智代子,"う～ん、どうしよっかなー？
……あっ、プロデューサーさん！　ちょうどいいところに！","Hm, what should I do?
...Ah, Producer! Great timing!"
0000000000000,プロデューサー,どうした？　何か聞きたいことでもあったか？,What's up? Do you have something to ask me?
1010001000410020,智代子,"その通りです！　質問させてください！
スマホの新しいストラップ、どれがいいと思いますか？","That's right! Please let me ask you this!
Which one of these new phone charms should I use?"
0000000000000,プロデューサー,（この三つの中から選ぶのか）,(I have to choose from these three?)
select,,キャンディーのヤツ,The candy one
select,,お寿司のヤツ,The sushi one
select,,猫のヤツ,The cat one
1010001000410030,智代子,"やっぱりキャンディーがいいと思いますか！？
これ、私も気に入ってるんですよ～","So you think the candy one is good after all?!
I was thinking of that one too!"
1010001000410040,智代子,"ほらっ、可愛いですよね？
……はっ、ユニットのみんなと色違いとかもいいかも！","Look, isn't it cute?
...Ah, maybe I should get this charm in different colors for the rest of my unit!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,(Alright! That went really well.)
1010001000410050,智代子,"プロデューサーさん、お目が高いです！
これ、友達からプレゼントしてもらったものなんですよ","Producer, you have a good eye!
One of my friends gave me this one."
1010001000410060,智代子,"でも、使ってて傷がついちゃうのも嫌だから、
なかなか踏み切れないんですよねぇ","But it wouldn't be good if I used it and it got scratched,
so I'm not really sure if I'll use it."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went OK.)"
1010001000410070,智代子,"あっ、ごめんなさい！
これはさっきまでつけてたヤツで……！","Ah, I'm sorry!
I was just using this one...!"
1010001000410080,智代子,えへへ、できたら違うのがいいかなって……,"Ehehe, a different one might be better, if possible..."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I screwed up. I should have said something else...)
info,produce_communications/101000100041.json,
译者,,
