id,name,text,trans
0000000000000,智代子,"勝ちました！
プロデューサーさん、勝ちましたよ！","I won!
Producer, I won!"
0000000000000,プロデューサー,"あぁ、見てたよ。おめでとう、智代子
よく頑張ったな","Yeah, I was watching. Congratulations, Chiyoko.
You did great."
0000000000000,智代子,ありがとうございます！,Thank you!
0000000000000,智代子,"でも、なんだか嘘みたいです
本当に『W.I.N.G.』の舞台に立ってたんですね、私……","But this seems like it can't be true.
I was really standing on W.I.N.G.'s stage..."
0000000000000,プロデューサー,嘘みたいって……ははっ,"It can't be true, you say... haha."
0000000000000,智代子,"えっ、なんで笑うんですか！？
私、今変なこと言ってませんよね？","Eh, why are you laughing?!
I didn't say anything weird just now, right?"
0000000000000,プロデューサー,"ごめんごめん
……ただ、次も大丈夫そうだと思っただけだよ","Sorry, sorry.
...I was just thinking that you'll be alright next time, too."
0000000000000,智代子,え？　……えへへ、そうですかね,"Eh? ...Ehehe, you're right."
0000000000000,智代子,"それじゃあ、次も同じように、いつもの私で行きますよ！
見ててくださいね、プロデューサーさん！","Well then, next time, I'll do the same thing and be myself!
Please watch me, Producer!"
info,produce_events/601000103.json,
译者,,
