id,name,text,trans
2010004040010,智代子,…………,...
0000000000000,プロデューサー,"──はい。大変申し訳ございませんでした……
はい……はい。恐れ入ります、失礼いたします──……！",──Yes. I apologize... Yes... Yes. Excuse me...!
0000000000000,プロデューサー,はぁ……,Sigh...
0000000000000,プロデューサー,"（……やらかした……なんであんなミスを……
……あそこでもっと注意しておけば──……）",(...I messed up... How did I screw this up so bad? ...Maybe if I had been more cautious...)
0000000000000,プロデューサー,"（……いや、何を思ったところで今更だよな……
…………へこむなぁ）","(...No, thinking like that won't change anything... This sucks.)"
2010004040020,智代子,──……プロデューサーさん,...Producer-san.
2010004040030,智代子,あの……,Um...
0000000000000,プロデューサー,（ああ……智代子にまで気を遣わせて──……）,(Ah... I must be making Chiyoko feel worried...)
0000000000000,プロデューサー,──ごめんな智代子。変なところを聞かせちゃって,"──Sorry, Chiyoko. You didn't need to hear that."
2010004040040,智代子,"いっ、いえ！
そんなことは、全然──",N-No! It's not──
0000000000000,プロデューサー,"いやぁ、まいったよ。ちょっとミスをしちゃってさ
情けないったらないよなぁ","No, it's bad. I made a mistake. There's nothing more shameful than that."
2010004040050,智代子,そんな、そんなこと……！,Th-That's not true...!
0000000000000,プロデューサー,はは。失敗した分、取り戻さないと,Haha. I need to recover from this failure.
0000000000000,プロデューサー,"──これから打ち合わせがあるんだ
少し早いけど出ることにするよ","──I have a meeting to go to soon. It's a little early, but I'm going to head out now."
0000000000000,プロデューサー,"智代子もすぐ出るんだろ？
この後のレッスン、頑張ってな","You should get going too, right? Good look with your lesson."
2010004040060,智代子,あ……,Ah...
2010004040070,智代子,はい……,Yeah...
0000000000000,プロデューサー,──うん。じゃあ,──Yep. See you later.
2010004040080,智代子,い、いってらっしゃい……,S-See you later...
2010004040090,智代子,……,...
2010004040100,智代子,……このままじゃダメだよね私……！,...I can't let it be like this...!
2010004040110,智代子,──……よしっ……！,──...Alright...!
0000000000000,プロデューサー,（逃げるように出てきちゃったな……）,"(I ran out of there like I'm trying to run away from something, didn't I...)"
0000000000000,プロデューサー,"（──……ああ、雨……このタイミングで降るなんて
今日は何をやっても上手くいかない……）","(──...Ah, it's raining... What's with this timing? Nothing's going right for me today...)"
2010004040120,智代子,プロデューサーさぁぁんっ！,Producer-saaan!
0000000000000,プロデューサー,えっ、な、智代子──！？,"Eh, what, Chiyoko?!"
2010004040130,智代子,"はいっ、智代子です！
追いつけて良かったぁ","Yes, it's me! Thank goodness you were still close."
0000000000000,プロデューサー,"なんで、いや、その前に傘は──
とにかくほら！　とりあえず俺のに入ってくれ","Why... wait, before that, you need an umbrella... Here! You can join me under mine for now."
2010004040140,智代子,えへへ、ありがとうございます,"Ehehe, thank you."
2010004040150,智代子,"降り出す前になんとかなるかなって思ったんですけど、
間に合いませんでしたね","I thought it'd be fine before it started raining, but I didn't make it in time."
2010004040160,智代子,"でもプロデューサーさん！
それよりもっ、忘れ物ですよ！","But Producer-san! More importantly, you forgot something!"
0000000000000,プロデューサー,"えっ、すまない！
俺何か忘れて──","Eh, I'm sorry! What did I──"
2010004040170,智代子,──プロデューサーさんは、情けなくなんかありません！,──You're not shameful at all!
0000000000000,プロデューサー,え──,What──
2010004040180,智代子,聞いてください,Please listen to me.
2010004040190,智代子,"私にとってのプロデューサーさんは、
頼りになる自慢のプロデューサーさんです",You're my reliable and proud Producer-san.
2010004040200,智代子,"それは、いつでも、どんな時でも変わりません！
……たとえば、何か失敗をしちゃった時でも",Nothing will ever change that! ...Even if you fail at something.
2010004040210,智代子,"私、次のお仕事も応援してますから！
だから──だから──……",I'll be rooting for you at whatever you work on next! So... so...
2010004040220,智代子,一緒に頑張りましょうっ、プロデューサーさん！,"Let's do our best together, Producer-san!"
0000000000000,プロデューサー,智代子……！,Chiyoko...!
select,,……ありがとう,...Thank you.
select,,"智代子には元気を
もらってばかりだ","That's only because
you always cheer
me up."
select,,"心配かけて
ごめんな","Sorry for making
you worry."
0000000000000,プロデューサー,"やっぱり智代子は真っ直ぐだな……
すごく心強いと思ったよ",You really are straightforward... You're very reassuring.
2010004040230,智代子,"……本当ですか？
私、ちゃんと励ませてました……？",...Really? Was I able to encourage you...?
0000000000000,プロデューサー,ああ,You were.
2010004040240,智代子,──良かったぁ……,──Thank goodness...
2010004040250,智代子,"プロデューサーさん、前に、私を見てると
元気がもらえるって言ってくれたことがあったから","You told me before that whenever you see me, you cheer up."
2010004040260,智代子,だから──上手くいったらいいなって思ったんです,So... I was hoping it would work this time.
2010004040270,智代子,励ませてたんだったら──成功ですねっ,As long as I was able to encourage you... I've succeeded.
0000000000000,プロデューサー,"はは……プロデューサーとしても、大人としても
格好がつかないな",Haha... I'm not too great of an adult or a producer.
2010004040280,智代子,そんなことないですよ！,That's not true!
2010004040290,智代子,"いつも私がお世話になってるからこそ、
たまには役に立てたらいいなって思ったんですから！","I'm so grateful to you, so I thought it'd be nice to return the favor once in a while!"
0000000000000,プロデューサー,智代子……,Chiyoko...
2010004040300,智代子,"私がお仕事で不安な時に、
一番近くにプロデューサーさんがいてくれたみたいに","Any time I'm nervous about work, you're right by my side."
2010004040310,智代子,"今日は私が応援する側にいるってだけです
──ね？","Today, I wanted to support you like you do for me during those times. Okay?"
0000000000000,プロデューサー,──……そうか,──...I see.
0000000000000,プロデューサー,"ありがとう、智代子……
智代子の応援、確かに受け取った","Thank you, Chiyoko... I hear your message loud and clear."
0000000000000,プロデューサー,元気が出たよ,I feel better now.
2010004040320,智代子,！　はいっ,"!
Okay."
2010004040330,智代子,元気になってもらえたなら何よりです！,That's what I wanted to hear!
0000000000000,プロデューサー,（何やってるんだか、俺は……）,(What in the world am I doing...)
0000000000000,プロデューサー,"（いつまでも引きずってちゃ、智代子にだって
申し訳が立たないだろ！　切り替え切り替え……！）","(I can't drag this out for too long, for Chiyoko's sake! I need to change how this is going now...!)"
0000000000000,プロデューサー,"──うん、もう大丈夫だ
智代子のおかげだよ、ありがとう","──Yeah, I'm fine now, thanks to you. Thank you."
2010004040340,智代子,よ、良かった……,Th-Thank goodness...
0000000000000,プロデューサー,"雨の中来させちゃってごめんな……？
帰りはこの傘を使ってくれ",Sorry for making you come out into the rain... Use this umbrella on your way back.
2010004040350,智代子,"えっ、だ、ダメですよ！
それじゃあプロデューサーさんが濡れちゃいます！","Eh, n-no way! You'll get soaked!"
0000000000000,プロデューサー,"いいんだ。……今励ましてもらったばかりだしな、
近くのコンビニまで走るぐらい余裕だよ","I'm fine... you cheered me up, after all. I can run to the nearest convinience store."
2010004040360,智代子,もう、プロデューサーさんってば,"I can't believe you, Producer-san."
2010004040370,智代子,……えへへ。でも、いつも通りですね,...Ehehe. But that's nothing out of the ordinary.
2010004040380,智代子,──じゃあ、遠慮はなしにしちゃいますよ？,"──Well, promise me you won't regret this, okay?"
0000000000000,プロデューサー,"ああ、問題ない
帰り道、気を付けてな","Yeah, it's no problem. Be careful on your way back."
2010004040390,智代子,"プロデューサーさんも、
濡れたところはちゃんと拭いてくださいね",And you make sure to dry yourself off later.
0000000000000,プロデューサー,"ありがとう
──じゃあ、また明日","Thanks, I will.
──Well then, see you tomorrow."
2010004040400,智代子,はいっ,Yeah.
2010004040410,智代子,また明日です、プロデューサーさん,"See you tomorrow, Producer-san."
info,produce_events/201000404.json,
Translator,Tamanegi Sensei,
