id,name,text,trans
2010007030010,智代子,……みんな、ありがとう……,"...Thank you, everyone..."
0000000000000,プロデューサー,──智代子、いいか？,"──Chiyoko, mind if I enter?"
2010007030020,智代子,"プロデューサーさん！
はいっ",Producer! Go ahead!
2010007030030,智代子,すみません、突然呼び出したりして──,I'm sorry for calling you so suddenly.
0000000000000,プロデューサー,いや、大丈夫だよ,"No, not a problem."
0000000000000,プロデューサー,……決着がついた、か？,Have you solved it?
2010007030040,智代子,はいっ,Yes!
2010007030050,智代子,──今日、みんなに全部聞いてもらったんです,"──Today, I had them listen everything."
2010007030060,智代子,"今までの私には、アイドルをやることに対して
どこか『遠慮』みたいなものがあったかもしれないこと","That I might have been ""holding back"" somewhere inside me about becoming an idol until now."
2010007030070,智代子,自覚はなかったんですけど──,Although I wasn't aware of it──
2010007030080,智代子,"もしかしたらその理由は、アイドルになったきっかけに
あるのかもしれないって思ったこと",That the reason might be related to how I originally became an idol.
0000000000000,プロデューサー,……オーディションのことだよな,"...The audition, right?"
2010007030090,智代子,……はい,...Yeah.
2010007030100,智代子,──私は、すごく運がよかったんだと思っています,──I think I was really lucky.
2010007030110,智代子,"たまたまオーディションに参加することができて、
友達にも、放クラのメンバーにも──","That I was able to participate in the audition by chance, that I had my friend, and the houkago members."
2010007030120,智代子,もちろん、プロデューサーさんにも恵まれて,"For course, I was also blessed to have you, Producer."
2010007030130,智代子,"──……たくさんの人に支えてもらって、
アイドルになりました","...I became an idol, being supported by so many people."
2010007030140,智代子,"だから、私がアイドルでいられることって、
すごい奇跡なんです","That's why, for me to continue being an idol has been a miracle."
0000000000000,プロデューサー,……そうか,...I see.
2010007030150,智代子,はい、なので……──頑張るぞって、思ってたんです,Yes. That's why... I thought I had to do my best.
2010007030160,智代子,"いろんな人にアイドルにしてもらったんだから
……あの子の夢を預かったんだから、頑張るぞって","That I had so many people make me an idol. ...I had to do my best, cause I was carrying her dream."
2010007030170,智代子,"でも、本当はそうじゃなくて
──今回考え直してみて、それじゃ足りないって思って","But, it really wasn't like that──After thinking about it, with that alone it's not enough."
2010007030180,智代子,"『誰かのために頑張る』んじゃなくて
誰かのために『私がアイドルでいたいから』頑張るって","That it's not to ""do my best for someone else"", but to do my best cause ""I want to continue being an idol"" for someone else."
2010007030190,智代子,"あの子からの預かりものだったアイドルを──
ちゃんと自分のものにしたいって、思ったんだって……",That the idol I was gifted by her──I wanted to make it a thing of my own...
0000000000000,プロデューサー,──ああ,──Yeah.
2010007030200,智代子,そういう話をみんなにしました,I told everyone about all that.
2010007030210,智代子,でもそれってほんとのほんとに初歩の話ですし,But that is no more than the first step.
2010007030220,智代子,"今までそんなこともわからないまま活動してて
ごめんなさいって、謝りました","I apologized to everyone, saying I'm sorry for working with them without even knowing this much myself."
0000000000000,プロデューサー,……みんなはなんて？,...What did they say?
2010007030230,智代子,はい──,Yes──
2010007030240,智代子,──ごめんなさい！,I'm sorry!
2010007030241,一同,！,Ah!
2010007030250,智代子,"もしかしたら私は、心のどこかで『みんなとは違う』って
思いながら放クラにいたのかもしれない！","It could be that I stayed in Houkago while thinking somewhere in my heart I was ""different to everyone else""!"
2010007030260,智代子,"『友達の代わりにアイドルをやってるんだ』って
思ってたのかもしれない","I might have been thinking about how I ""became an idol in place of my friend""."
2010007030270,智代子,"いつだって本気で、全力で、
真っ直ぐなみんなと一緒にいたのに","Even though I was with you all, who are always serious, doing their best and being straightforward."
