id,name,text,trans
0000000000000,プロデューサー,（うーん……どうしようかな、これ……）,(Hm... what should I do with this...)
1016001000910010,千雪,"おはようございます
……あら、プロデューサーさん、そのハンカチ……","Good morning.
...Oh? Producer-san, that handkerchief..."
0000000000000,プロデューサー,"ああ、アイドル番組のディレクターからもらったんだ
テレビ局のマスコットグッズらしいんだが……","This? I got it from the director of an idol 
TV program. It seems to be merchandise 
for a TV station's mascot, but..."
1016001000910020,千雪,"わぁ、そうなんですね……
すごく可愛い……！","Oh! I see...
It's very cute...!"
select,,"……千雪、
よかったら使うか？","...Chiyuki, do
you wanna use it?"
select,,"そんなに
気に入ったのか？","Are you that 
interested 
in it?"
select,,"俺にはあまり
わからないが……","I'm not so
sure about
that..."
1016001000910030,千雪,えっ、いいんですか？,Eh? You wouldn't mind?
1016001000910040,千雪,"きゃ～っありがとうございます！
ふふっ、今日から使っちゃいます……♪","Yay～ Thank you very much!
Fufu, I'll make sure to use it from now on...♪"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1016001000910050,千雪,"い、いえ、その……
とっても可愛いハンカチなので、つい……","N-No, it's just...
It's a really cute handkerchief, so..."
1016001000910060,千雪,"なんだか、はしゃいじゃいましたね……
恥ずかしい～……","Somehow, I just got really excited...
Ahh, I'm so embarrased～..."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1016001000910070,千雪,"ええ～
こんなに可愛いのに……","Eh～
But it's so cute..."
1016001000910080,千雪,"プロデューサーさん
そんなこと言っちゃ、この子がかわいそうですよ？","Producer-san. When you say things like that, it makes me feel bad for this little guy, you know?"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/101600100091.json,
Translator,Edits - Tuna/Doodle,
