id,name,text,trans
0000000000000,プロデューサー,千雪、なんだか楽しそうだけど,"Chiyuki, you look excited."
1016001001410010,千雪,"ええ、さっき
はづきさんとお茶の約束をしたんです","I am! A while ago, I made plans with 
Hazuki-san to go out and drink some tea."
1016001001410020,千雪,"はづきさん、素敵なお店をよく知ってるので
約束の日がすごく楽しみで……♪","She knows a lot of nice shops we could go to,
so that's why I'm looking forward to it...♪"
0000000000000,プロデューサー,へぇ、そうなんだな,"Huh, so that's it."
select,,"どんな話を
するんだ？","What kind of 
things do you 
talk about?"
select,,どこに行くんだ？,"Where are
you going?"
select,,いつ行くんだ？,"When are
you going?"
1016001001410030,千雪,"ええと、そうですね……
プロデューサーさんの話……とか？","Hmm, let me think...
We talk about you... I guess?"
1016001001410040,千雪,……なんちゃって、冗談です、ふふっ♪,"...Just joking, fufu♪"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1016001001410050,千雪,"いろんなハーブの揃ったお店です
すっごくリラックスできるらしいんです","To a shop that sells various types of herbs.
It's a place where you can really relax."
1016001001410060,千雪,"あ、でも……
はづきさん、すぐ眠くなっちゃうかも……","Ah, but...
Hazuki-san might end up falling asleep, huh..."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1016001001410070,千雪,え？　次のオフですけど……,"Eh? We're going on our next day off, but..."
1016001001410080,千雪,"ふふ、もしかして……
プロデューサーさん、気になるんですか？","Fufu, perhaps...
Producer-san, are you interested coming along?"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/101600100141.json,
Translator,Edits - Tuna/Doodle,
