id,name,text,trans
0000000000000,プロデューサー,おめでとう、千雪！　優勝だ！,"Congratulations, Chiyuki! You won!"
6016001060010,千雪,ふふ、はい,"Fufu, that's right."
0000000000000,プロデューサー,千雪が、一番たくさんの人を笑顔にしたんだ,"If anyone made them smile out there,
it was you, Chiyuki."
6016001060020,千雪,ふふ……はい,Fufu... that's right.
6016001060030,千雪,"たくさんの方が笑っていて、
でも、笑顔は一人ひとりからしか生まれない……","So many people were smiling,
even though you can only make them smile one by one..."
6016001060040,千雪,一つひとつ、笑顔も違うんです……,And each and every one of their smiles were different...
6016001060050,千雪,なにか、そんなことを思って……,"Somehow, when I think about that..."
6016001060060,千雪,"……すみません
私、もう言葉が出てこなくて……","...I'm sorry.
The words... just won't come out..."
0000000000000,プロデューサー,千雪。俺は、ステージを見て──,Chiyuki. While I was watching your performance──
0000000000000,プロデューサー,"最初に千雪の笑顔を見たときと
同じような気持ちになった","I felt the same way I did
when I first saw you smile."
0000000000000,プロデューサー,"千雪の思う通りに、やりたいことを突き通してきて
きっと、よかったんだ","To keep doing what you wanted 
in the way that you wanted...
That was definitely for the best."
0000000000000,プロデューサー,千雪は、すごいアイドルだよ,"You're an amazing idol, Chiyuki."
6016001060070,千雪,"プロデューサーさん……
全部、プロデューサーさんの、おかげです……！","Producer-san...
It's all... thanks to you...!"
info,produce_events/601600106.json,
Translator,Tuna/Doodle,
