id,name,text,trans
0000000000000,プロデューサー,今日も遅くまで悪いな、千雪,"Sorry about keeping you this late out again, Chiyuki."
2016003020010,千雪,"いえ
お疲れさまです、プロデューサーさん","No worries,
Thanks for your hard work, Producer."
0000000000000,プロデューサー,すぐ送るよ、腹減っただろ？,"I'll get you home soon, you must be starving, right?"
2016003020020,千雪,"大丈夫です。プロデューサーさんこそ、
お腹が空いてるんじゃありません？","I'm alright. How about you, Producer? 
Aren't you hungry as well?"
0000000000000,プロデューサー,鋭いな、実のところ俺もぺっこぺこなんだ……,"Good catch, as always… To be honest, I'm starving a little."
2016003020030,千雪,ふふ、でしたら、夕食をご一緒しませんか？,"Fufu, then how about we go eat dinner together?"
0000000000000,プロデューサー,"ええ？
そんなプライベートな時間まで……悪いよ","Huh?
No, you're already off-work… You don't have to."
2016003020040,千雪,いいえ～、私もぺっこぺこなんです,"Not at all, I'm really hungry as well."
0000000000000,プロデューサー,"そうか？
じゃあ……千雪は何が食べたい？","Is that so?
Then… what do you want to eat?"
2016003020050,千雪,"プロデューサーさんは、
何を召し上がるつもりだったんですか？","Producer, 
what were you planning to eat tonight?"
0000000000000,プロデューサー,"俺は、召し上がるっていうか……
牛丼でも食おうかなって","Me? Well, not planning or anything…
Maybe a beef bowl or something."
2016003020060,千雪,わぁ！　牛丼！,Oh! A beef bowl!
0000000000000,プロデューサー,……え？,…Huh?
2016003020070,千雪,私、牛丼屋さんに行きたいです！,I want to go to a beef bowl store!
0000000000000,プロデューサー,"え、いや、
せっかくならもうちょっと値の張るものをおごるよ","Huh? Wait, since we're eating together…
I should treat you to something a little more expensive."
2016003020080,千雪,"いえいえ、ダメです
もう牛丼に決まりです","No no, that won't do.
I've already decided on a beef bowl."
0000000000000,プロデューサー,で、でもな……,B-But…
2016003020082,千雪,ふふっ、お腹が鳴ってますよ〜,"Fufu, your stomach says otherwise~"
2016003020090,千雪,"プロデューサーさんのお腹も、
牛丼がいいって言ってるみたい","Looks like your stomach
Is saying it wants beef bowl for tonight."
0000000000000,プロデューサー,はは、お恥ずかしい……,"Hehe, it's kinda embarrassing…"
2016003020100,千雪,じゃあ、連れていってください♪,"Well then, please take me there♪"
0000000000000,プロデューサー,"……よし！
じゃあ、行くか！","…Alright!
Let's go!"
2016003020110,千雪,"プロデューサーさん、
ごちそうさまでした～","Producer, 
Thank you for the meal."
0000000000000,プロデューサー,"いや、気にしないでくれ。
せっかくの機会なのにファストフードだったし","You are more than welcome. 
Even though we ate it together, it ended up just being fast food."
