id,name,text,trans
0000000000000,プロデューサー,"（う～ん…………
どの方向に売り込んでいくべきか……）","(Hmm…
How should I try to promote her?)"
0000000000000,プロデューサー,"（こう、『華麗にハンドメイド』みたいな番組とか……
……安直か）","(Maybe something like a ""grand hand-made"" kind of show…
Kinda cheap.)"
0000000000000,プロデューサー,"（教育番組……
は向いてるかもしれないなぁ。考えておこう）","(A training program…
That could suit here, let's think that over.)"
0000000000000,プロデューサー,（…………千雪といえば──）,(Speaking of Chiyuki…)
0000000000000,プロデューサー,（意外と、芯が強くて）,(She's more strong-willed that I thought.)
0000000000000,プロデューサー,（──意外と、子どもっぽいところもあって）,(She's also has an unexpectedly childish side.)
0000000000000,プロデューサー,（……だけど、うちの事務所では大人のほうだし……）,"(But, in our agency, she seems to be more adult.)"
0000000000000,プロデューサー,（う～ん…………）,(…Hmm.)
0000000000000,プロデューサー,──千雪,Chiyuki.
2016006010010,千雪,はいっ,Yes?
0000000000000,プロデューサー,今日、これから時間はあるか……？,Do you have some time after this?
2016006010020,千雪,"ええ、私は大丈夫ですが──
どうかされましたか？","Yes, I do.
But is there something on your mind?"
0000000000000,プロデューサー,この後、何か食べに行かないか？,Want to go somewhere to eat?
2016006010030,千雪,えっ──,Huh?
0000000000000,プロデューサー,ああ、急にすまん……,"Oh, I'm sorry if this is all too sudden…"
0000000000000,プロデューサー,"今まで、腹を割って話せる機会も
なかったなと思ってさ",I was just thinking of how we didn't really have the chance to have a heart-to-heart talk at all.
2016006010040,千雪,"あ、あぁ……！
なるほど、そういうことでしたか……！","O-Oh…!
So, that's what you meant!"
2016006010050,千雪,でしたら……是非ご一緒させてください,"Then, yes… I'be happy to join you."
0000000000000,プロデューサー,"うん、ありがとう
それじゃあ急ぎの仕事、早く終わらせるよ","Thank you, just let me finish a bit
with the urgent work I have."
0000000000000,プロデューサー,すまん、少しだけ待っててもらえるかな,I hate to do this but could you wait for just a little while?
2016006010060,千雪,"はいっ
もちろんです……！","Yes,
I don't mind."
2016006010070,千雪,プロデューサーさん、どうぞ,"Here, Producer."
0000000000000,プロデューサー,おお、ありがとうな,"Oh, Thank you."
0000000000000,プロデューサー,"……今日、事務所で
千雪のこれからの仕事について考えてたんだ","…I was thinking of what kind of jobs
you'll be taking on from now."
2016006010080,千雪,わぁ……ありがとうございます,"Oh, thank you for that."
0000000000000,プロデューサー,"イメージに合うものとか、
向いてそうなこととかを色々考えてるうちに……","Like those that fit your image or those that might be suited for you.
As a producer,"
0000000000000,プロデューサー,"俺、プロデューサーとして
千雪について知らないこと、いっぱいあるよなって気付いて","I realized that there are a lot of things
that I don't know about you."
0000000000000,プロデューサー,"さっき
腹を割って、って話をしたけどさ","I know I said that I want to have
a heart-to-heart talk with you."
2016006010090,千雪,……はい,Yes.
0000000000000,プロデューサー,"本当は今日、この時間で
もっと千雪のことを知れたらいいと思ってるんだ","Actually, I am thinking of how nice it would be if I get to know more about you."
0000000000000,プロデューサー,"それで、今までよりも色んなところを
ファンに届けられればいいなって","And, how nice it would be if you're able to show more facets of yourself to the fans."
2016006010100,千雪,"……そうだったんですね
ええと……","So, that's how it is…
Well…"
2016006010110,千雪,"私も……もっと、
自分のことを知ってもらえるように、頑張りますね","I feel the same way. I will do my best so that they will be able to know me more. "
2016006010120,千雪,できれば……良いところを……！,"and hopefully, more of my good side!"
0000000000000,プロデューサー,"はは、そうしてくれると助かるよ
お互い、頑張ろうな","Haha, It would help me a lot if you do.
Let's both give it our all to make that happen."
2016006010130,千雪,はいっ……！,Yes!
2016006010140,千雪,それじゃあ……私も頂いちゃおうかな,Well… I guess I have some too.
0000000000000,プロデューサー,"あ、今度は俺が──
あれ、それだけでいいのか……？","Ah, I'll do the next―
Say, you sure about having only that much?"
2016006010150,千雪,……はい,Yes.
2016006010160,千雪,"私、あまり強いほうではないんです
なので……少しだけ","I'm not really strong towards alcohol.
So, I'll just have a little."
0000000000000,プロデューサー,そうだったのか……,I see…
0000000000000,プロデューサー,今日は、付き合ってくれてありがとうな,Thank you for going out with me today.
2016006010170,千雪,……いえ,"Don't mention it,"
2016006010180,千雪,"私も、こうやってプロデューサーさんとお話しができて
嬉しいんですから","I'm also happy that I am able
to talk to you like this."
2016006010190,千雪,……では、プロデューサーさん,"Well, Producer."
2016006010200,千雪,──乾杯♪,Cheers♪
info,produce_events/201600601.json,
译者,,
