id,name,text,trans
2016010020010,千雪,"ああ……
いい天気……！","Ahh... 
What good weather...!"
2016010020020,千雪,……ふふっ,...Fufu.
2016010020030,千雪,春なんだなぁ……──,"It truly is spring, huh...──"
0000000000000,プロデューサー,ああ──,Ahh──
0000000000000,プロデューサー,あったかいなぁ、今日,It sure is hot today.
2016010020040,千雪,あっ……,Ah...
2016010020050,千雪,プロデューサーさーん！,Producer-san!
0000000000000,プロデューサー,"──ん……
……あれ、千雪……！","──Hmm... 
...Eh, Chiyuki...!"
2016010020060,千雪,"……はぁ
お疲れ様ですー……！","...Haa
It's nice meeting you here...!"
2016010020070,千雪,外出されるんですね,"You're going out now, huh."
0000000000000,プロデューサー,"おう、打ち合わせがあってな
千雪もお出かけか？","Yeah, I have a meeting. 
Are you about to leave for somewhere too?"
2016010020080,千雪,"いえ、お出かけってほどじゃ
ないんですけど……","Nah, it's not like I'm going somewhere far..."
2016010020090,千雪,駅の向こうのスーパーまで,Just to the supermarket across the station.
0000000000000,プロデューサー,"お、いいなぁ
オフって感じだ","Oh, how nice. 
Feels like an off day."
0000000000000,プロデューサー,"──あれ、でも……
遠回りじゃないか？","──Huh, but... 
Isn't this way a detour?"
2016010020100,千雪,ふふっ、私もそう思いますー,"Fufu, that's what I thought too."
2016010020110,千雪,"でも、外に出たら
とっても空気が澄んでて","But when I went out, the air was so clear."
2016010020120,千雪,"陽射しも柔らかくて
木の芽のにおいがして──","The sunlight feels so soft, and the air smells of tree buds──"
2016010020130,千雪,つい、遠回りしちゃいたくなって,I couldn't help but want to take a detour.
0000000000000,プロデューサー,ああ……,Ahh...
0000000000000,プロデューサー,ははっ、そうか,"Haha, I see."
0000000000000,プロデューサー,"俺も外出て、
いい天気だなぁって思ってさ","When I went out, I also thought the weather was really nice."
0000000000000,プロデューサー,──気持ちいいなぁ……,──What a great feeling huh...
2016010020140,千雪,はい……,Yeah...
0000000000000,プロデューサー,…………,......
2016010020150,千雪,…………,......
2016010020160,千雪,"────……あっ、お引き留めしちゃってますね
ごめんなさい……！","──...Ah, I'm kind of holding you back, sorry about that...!"
0000000000000,プロデューサー,"え？　ああ
俺はそんなに急がないけど……","Eh? Ahh. 
I'm not in that much of a hurry, but..."
0000000000000,プロデューサー,そろそろ、行こうかな,I better get going.
2016010020170,千雪,はい,Yeah.
0000000000000,プロデューサー,"うん
それじゃ、俺こっちだから……","Alright. 
Well then, I'm headed this way, so..."
0000000000000,プロデューサー,またな！,See you!
2016010020180,千雪,はい、お気をつけて……！,"Yup, please take care...!"
0000000000000,プロデューサー,"──空気が澄んでて、
陽射しが柔らかくて……","──The air is clear, the sunlight feels soft..."
0000000000000,プロデューサー,"俺もさ
春だなぁって、思ったんだよ",I was just thinking that it is springtime too.
0000000000000,プロデューサー,そしたら──,And just then──
0000000000000,プロデューサー,千雪がいたんだ,There she was.
2016010020190,千雪,──プロデューサーさーん……！,──Producer-san...!
0000000000000,プロデューサー,……ん？,...Hm?
0000000000000,プロデューサー,──おお、なんだ？,"──Ohh, what is it?"
2016010020200,千雪,いってらっしゃいですー……！,Have a good day...!
0000000000000,プロデューサー,……！,......!
0000000000000,プロデューサー,ははっ,Haha.
0000000000000,プロデューサー,おう！　行ってきます,Alright! I'm off.
0000000000000,プロデューサー,春がきたんだな……,"Spring truly has arrived, huh..."
info,produce_events/201601002.json,
Translator,cloverbunz,
