id,name,text,trans
0000000000000,プロデューサー,お疲れ様、千雪,"Good work, Chiyuki."
2016012030010,千雪,ありがとうございます,Thank you very much.
0000000000000,プロデューサー,撮影、うまくいってよかったな,I’m glad the shoot went well.
0000000000000,プロデューサー,『頬を染める』シーンもちゃんとできてたし……,You did the “blushing” scene perfectly...
2016012030020,千雪,ふふ、ありがとうございます,"Fufu, thank you."
2016012030030,千雪,少し歩きませんか？　紅葉が綺麗だから,Shall we take a walk? The autumn leaves are beautiful.
2016012030040,千雪,わぁ……！　すごい……,Waa…! Amazing...
0000000000000,プロデューサー,本当だな,It really is.
2016012030050,千雪,"こんな素敵な景色……
見られて本当に良かったです","Such a wonderful view… 
I’m glad we got to see it."
0000000000000,プロデューサー,千雪が最後までやり遂げたおかげだな,It’s all thanks to Chiyuki for making it till the end.
2016012030060,千雪,ふふ、そうですか？,"Fufu, is that so?"
0000000000000,プロデューサー,うん、おかげで俺まで得しちゃったよ,"Yup, thanks to that I got something out of it too."
2016012030070,千雪,"そんなことはないですけど……
本当に――赤い……ですね","That’s not true… 
It’s really── red… isn’t it."
0000000000000,プロデューサー,"千雪の頬も
紅葉が映ったみたいだったぞ",It seems as though the autumn leaves are reflected on Chiyuki’s cheeks.
2016012030080,千雪,そ、そんな……,N-No way…
0000000000000,プロデューサー,"いや、肌に赤みが映えて
本当に千雪の絵とそっくりだった","Yeah, the redness of your skin looks really similar to your drawing."
0000000000000,プロデューサー,"絵を描いてよかったな
きっといいイメージトレーニングになった",I’m glad you drew that picture. It definitely made for a good image training.
2016012030090,千雪,そうですね……,I agree…
2016012030100,千雪,"久しぶりに絵を描いたら
自分に向き合えた気がします","It’s been so long since I drew, I felt like I could face myself."
0000000000000,プロデューサー,それで撮影がうまくいったんだな,That's why the shoot was successful.
2016012030110,千雪,はい、きっと,"Yup, definitely."
2016012030120,千雪,"絵って……
そういうものだったりも、するのかも",Drawing… maybe that’s what it was.
2016012030130,千雪,"――よく描いたなぁ……
ちょうどこのくらいの時期で","──It was drawn well… 
Just happens to be around this time of the year too."
0000000000000,プロデューサー,千雪……？,Chiyuki…?
2016012030140,千雪,いえ、ふふっ,"It’s nothing, fufu."
2016012030150,千雪,"ちょっと、センチメンタルな感じに
なっちゃいました……",I just felt a little bit sentimental.
2016012030160,千雪,きっと、この景色のせいだなぁ……！,I’m sure it’s because of this scenery…
0000000000000,プロデューサー,うん……なんか、わかるような気がするな,"Yeah… somehow, I think I get what you mean."
2016012030170,千雪,"プロデューサーさんも
センチメンタルなんです……？",Producer-san feels sentimental too…?
0000000000000,プロデューサー,え？　いや……！,Eh? Nah...!
0000000000000,プロデューサー,"俺は、そういうんじゃないんだけど
なんだろう、雰囲気というか……！","I’m not really like that, I wonder if it’s just the atmosphere…!"
2016012030180,千雪,"ふふっ
ふふふっ……！","Fufu, fufufu…!"
2016012030190,千雪,綺麗な紅葉……,The foliage is beautiful…
2016012030200,千雪,本当に……もうすっかり秋ですね,Truly… it’s already autumn.
info,produce_events/201601203.json,
Translator,cloverbunz,
