id,name,text,trans
3016003030010,甘奈,"じゃ～ん！
甜花ちゃん連れてきたよ～！","Well then!
I brought you Tenka-chan!"
3016003030020,甜花,"ま、迷っちゃって……
遅くなって、ごめんなさい……","I-I'm sorry for getting lost…
and being late…"
3016003030030,千雪,"全然いいのよ
いらっしゃい、甜花ちゃん♪","It's all alright, Tenka-chan,
no need to worry♪"
3016003030040,甜花,"ありがとう……
あ、あれ……千雪さん、その服……","Thank you…
Ah, right… Chiyuki-san, your clothes…"
3016003030050,千雪,"ふふ……
甘奈ちゃんと同じ反応するのね","Fufu…
You had the same reaction as Amana-chan."
3016003030060,甜花,"にへへ……千雪さん……いつも可愛いけど……
やっぱり……そういうのも、可愛い……","Nihehe… Chiyuki-san…
is always cute… but, this one is super cute…"
3016003030070,甜花,"なーちゃん……さっき電話で言ってた
特別、ってもしかして……","Na-chan… about the special day
you mentioned on the phone…"
3016003030080,甘奈,"そうだよーっ！　今日は
甜花ちゃんと甘奈で選んだ服を着てくれてる……","That's riiight! Today,
She's wearing those clothes we choose for Chiyuki-san…"
3016003030090,甘奈,"めーーっちゃかわいー千雪さんとお茶ができる
特別な日なのっ☆","A super special day,
where you can have tea with the super-cute Chiyuki-san☆"
3016003030100,千雪,"ええっ
そういうことだったの？","Oh, is that what you meant?"
3016003030110,千雪,もう……からかわないで……っ,"Hey… don't tease me… "
3016003030120,甘奈,"えーっ？
そんなことないよね～？　甜花ちゃんっ","Whaat?
No, you are super-cute, for real. Tenka-chan…"
3016003030130,甜花,"うん……ひとりで来るの、ちょっと怖かったけど……
甜花、来てよかった……！","Yes… Tenka was a little scared to come alone…
But… Tenka feels it was worth it…!"
3016003030140,千雪,うぅ、なんだろう……顔が熱くなってきちゃった……,"Ughh, now I feel… a little embarrassed…"
3016003030150,甘奈,"えへへ
そういうところは、いつもの千雪さんだね☆","Ehehe,
that is our usual Chiyuki-san☆"
3016003030160,千雪,もう……,"Hey… "
3016003030170,千雪,"今日はありがとう
ふたりのおかげで、とっても楽しかった♪","But, thank you both for today…
It was very fun♪"
3016003030180,千雪,今度は３人でミュージカル、観に行きましょうね,"Let's go to the musical again, with three of us."
3016003030190,甘奈,"うん、行く行く！
それで、終わった後はまたカフェでお話しよー！","Yes! We should!
So, let's talk again at the cafe after we're done too!"
3016003030200,甜花,また、素敵なお店行きたいな……,And we should go to a nice shop…
3016003030210,甘奈,"そうだ！　今日のお店は千雪さんに教えてもらったし、
次は甘奈たちが探そーよ！","That's it! Today's shop was recommended by Chiyuki-san,
and next time, us two can find a good place for her!"
3016003030220,甜花,"うん……
可愛い千雪さん、見せてもらったから……","Yes…
I got to see the super-cute Chiyuki-san… too…"
3016003030230,千雪,て、甜花ちゃんったら……,"Te, Tenka-chan please…"
3016003030240,甜花,にへへ……,Nihehe…
3016003030250,千雪,……ふふっ,Fufu…
3016003030260,千雪,"それじゃあ、またね
暗くなっちゃったから気をつけてね？","Anyway, be careful while on your way,
it'll get dark soon."
3016003030270,甘奈,"は～いっ
千雪さんも気を付けてねー！","Alriiighty,
Chiyuki-san! Be careful too!"
3016003030280,甜花,またね……,See you later…
3016003030290,甘奈,"はぁ～。やっぱり甜花ちゃんにも
ミュージカル観て欲しかったな～","Haa, I wanted Tenka-chan
to watch the musical too~"
3016003030300,甜花,"う、うん……
甜花も……次は、行ってみたい……な……","R-Right…
Tenka… wants to go together next time…"
3016003030310,甘奈,うんっ！　絶対だよ？,For real? That's awesome!
3016003030320,甘奈,"……あのね、ミュージカルのヒロインが
千雪さんみたいでかわいかったんだぁ","The heroine of the musical was
just as cute as Chiyuki-san!"
3016003030330,甘奈,……すごく、まっすぐで、凛々しくて──,"Like, for real─"
3016003030340,甜花,"そうなんだ……
見てみたかったな……","That's right…
Tenka wants to see it too…"
3016003030350,甘奈,"あ、でもこれ……千雪さんには秘密だよ？
なんか恥ずかしいからっ","Ah, but… this was supposed to be a secret between me
and Chiyuki-san… somehow, I feel embarrassed…"
3016003030360,甜花,う、うん、わかった……,"O-Okay, I understand…"
3016003030360,甘奈＆甜花,…………,……
3016003030370,甜花,"……千雪さん、服……
すっごく、似合ってたね……","And Chiyuki-san's clothes…
were so nice-looking…"
3016003030380,甘奈,"うんっ
甜花ちゃんの見立て、ばっちりだったね☆","Yeah!
Your call was just sport on☆"
3016003030390,甜花,……にへへ……,Nihehe…
3016003030400,甜花,"……でも、服……だけじゃなくて……
千雪さんも……","But, not only our clothes…
Chiyuki-san's also…"
3016003030410,甘奈,……うん、そーだねっ,"Hmm, I guess so too."
3016003030420,千雪,（……今日は色んなことがあったなぁ）,(I've done a lot of things today…)
3016003030430,千雪,"（私が、誰かの憧れに……
そんなの、想像したこともなかった……）","(But I've never imagined myself
being admired…)"
3016003030440,千雪,（……だけど──）,(However…)
3016003030450,千雪,……ふふっ,Fufu…
3016003030460,千雪,…………♪,Hmhm…♪
3016003030470,千雪,…………♪,Hmhmm…♪
3016003030480,千雪,……わぁ,"Ah,"
3016003030490,千雪,綺麗な星空……,the beautiful starry sky…
3016003030500,千雪,あの映画のラストシーンみたい……,Like the last scene of that movie…
3016003030510,千雪,"私もいつか、夢を叶えたら……
そしたら……","Someday, once I fulfill my dream…
then…"
3016003030520,千雪,"ううん
それはまだ早い……かな？","Hmm,
I think It's a little early for that…? "
3016003030530,千雪,……ふふっ♪,Fufu…♪
info,produce_events/301600303.json,
译者,,
