id,name,text,trans
3016011010010,千雪,『ぐつぐつと煮える音』,"""With the sound of something simmering"""
3016011010020,千雪,"『お野菜とお肉に
美味しくなあれって魔法をかける――』","""I'll put a spell that'll make the vegetables and meat 
tasty──"""
3016011010030,甘奈,"っ！
さむ～～い……！",Hngh! It's sooo cold...!
3016011010040,甘奈,"甜花ちゃん大丈夫？！
手とか首とか、すきま風入ってきてない……？！","Are you alright, Tenka-chan?! 
Is there a draft getting to your hands or neck...?!"
3016011010050,甜花,"うん……！
大丈夫……！",Nope...! I'm totally fine...!
3016011010060,甜花,"手袋と、マフラー……
ちゃんと装備してきた……！","Gloves, scarf──... All properly prepared...!"
3016011010070,甘奈,それなら大丈夫だね！,"That's fine, then!"
3016011010080,甘奈,"……！　あ！　甜花ちゃんちょっと待って！
マフラーが少し緩くなってるかも──","...! Ah! Hold on, Tenka-chan! 
The scarf might be kinda loose──"
3016011010090,甘奈,"──よし！
これでオッケー！",──and there we go! It's okay now!
3016011010100,甜花,"にへへ……
ありがと、なーちゃん……","Nihehe... Thank you, Naa-chan..."
3016011010110,甘奈,どういたしましてっ！,No worries!
3016011010120,甘奈,"千雪さんは……
わ！　めっちゃあったかそう！","As for Chiyuki-san... 
Waa! You look super warm!"
3016011010130,千雪,"ふふっ
うん、ばっちり","Fufu. Yup, I'm perfectly warm."
3016011010140,甘奈,えへへ、流石だねっ！,"Ehehe, as expected!"
3016011010150,千雪,わ、甘奈ちゃんに褒められちゃった,"Wow, a compliment from Amana-chan!"
3016011010160,千雪,でも、早く帰るに越したことないわ,But the both of you should really get back home early.
3016011010161,甘奈＆甜花,──……,──......
3016011010170,千雪,"……？
なんだか、静かになっちゃった",...? It feels like you've suddenly become quiet.
3016011010180,甘奈,あっ、ううん！,"Ah, it's nothing!"
3016011010190,甘奈,"今日、お父さんとお母さんの帰りが遅いんだ～
だから、夕飯どうしようかなーって","It's just that dad and mom are coming home late 
today～ So I was wondering what we should do for 
dinner."
3016011010200,千雪,わ、そうだったの……！,"Waa, so that's what it was."
3016011010210,甜花,"甜花……
あったかいもの、食べたい……",Tenka... wants to eat something warm...
3016011010220,千雪,……──！,......──!
3016011010230,千雪,……──,......──
3016011010240,千雪,"ふふっ
それじゃ、決まり……！",Fufu. Then it's decided...!
3016011010241,甘奈＆甜花,？,?
3016011010250,千雪,夕飯、私の部屋で食べて行かない？,Why don't we have dinner at my place?
3016011010251,甘奈＆甜花,え……！？,Ehh...!?
3016011010252,甘奈＆甜花,いいの！？,Are you sure!?
3016011010260,千雪,"……でもね、もしよかったら
食材は私に決めさせてほしいの────！","...But, if it's alright, I'd like it if you two let me 
choose the ingredients──!"
3016011010270,甜花,"千雪さん……
メニューは……？",Chiyuki-san... What's on the menu...?
3016011010280,千雪,"ふふっ、なんでしょう？
当ててみて？","Fufu, what could it be? Wanna take a guess?"
3016011010290,甘奈,"うーん……
豚バラと、ウインナー……ネギ……","Hmm... you have pork belly, sausages... leeks..."
3016011010300,甜花,な、なんだろ……,W-What could it be...
3016011010310,千雪,ヒントはね、みんなで食べると特に美味しいもの,"Here's a hint, it's something that's especially tasty 
if everyone eats together."
3016011010320,甜花,そのヒント、難しい……,That's a complex hint...
3016011010330,甘奈,"みんなで食べたら
全部美味しいもん！","But everything would taste good if everyone eats 
together!"
3016011010340,千雪,"ふふっ、ほんとだ
それじゃあ──","Fufu, that's true. Well then──"
3016011010350,千雪,"今カゴに入ってるものの他に……
えのきと、うどんも買っちゃおうかな？","In addition to what I have in my basket now... 
Maaaybe I'll get some enoki mushrooms and udon too?"
3016011010360,甘奈,"あ！　わかった！　焼うどん！
ウインナーとかお肉必要だもんね！","Ah! I got it! It's stir-fried udon! You'll definitely need 
sausages and meat for that!"
3016011010370,千雪,"残念……！
うどんは最後に登場です","So close...! But udon is only added at the end of this 
dish."
3016011010380,千雪,"それから、
これも忘れちゃいけないの────！","And also, we can't forget this ingredient──!"
3016011010381,甘奈＆甜花,白菜……！,Napa cabbage...!
3016011010390,甜花,"にへへ……
甜花、わかった……",Nihehe... Tenka has gotten it...
3016011010400,甘奈,うんっ、甘奈も！,"Yeah, Amana has too!"
3016011010410,千雪,"ふふふっ
それじゃ、答えをお願いします……！","Fufufu. In that case, please give your answers...!"
3016011010411,甘奈＆甜花,お鍋！,It's hotpot!
3016011010420,千雪,正解,That's right.
3016011010430,甜花,"冬のお鍋……
あったかくて、美味しい……！",Winter hotpot... is warm and delicious...!
3016011010440,甘奈,"千雪さ～ん！
めっちゃごちそうだよ～！",Chiyuuuki-san! It's gonna be such a great feast～!
3016011010450,甜花,うん……！,Yeah...!
3016011010460,千雪,"……お鍋って、
ひとりだとなかなか作れなくって","...Hotpot is something that is difficult to prepare 
alone."
3016011010470,千雪,"桑山ハウスのお鍋、
どうぞお付き合いください",Please enjoy Kuwayama House's hotpot.
info,produce_events/301601101.json,
Translator,Clover,
