id,name,text,trans
3016012010010,千雪,"こら、……ダメ
そんなとこ、くすぐったいでしょ……","Come on... That's no good. 
It tickles if you do that..."
3016012010020,千雪,"……きゃ……お腹がのっかって……
柔らかい……","...Kyaa... Climbing on my belly... 
You're so soft..."
3016012010030,甜花,にへへ……,Nihehe...
3016012010040,甜花,"みんな、もふもふで、ぽかぽか……
いっしょにお昼寝……しよ……？","You're all so fluffy and warm... 
Shall we all... take a nap together...?"
3016012010050,甘奈,"えへへ……
お口、もごもごしてるのかわいー","Ehehe... 
The way their mouths are chewing is so cuteee."
3016012010060,甘奈,ずしっとするのも、なんだか幸せだね～,It's kinda satisfying to feel their weight on me～
0000000000000,スタッフ,"千雪さん、頭に乗っかった子、
下ろして手に乗っけてもらってもいいですか？","Would it be okay if you took the one on your head 
and place it in your hands, Chiyuki-san?"
3016012010070,千雪,は、はい…………,O-Okay...
3016012010080,千雪,"……あ、…………
頭、回り込まれちゃった……、ここかな……？",...Ah... It ran around my head... Is it somewhere here...?
0000000000000,スタッフ,そこですね！,"Yes, there it is!"
0000000000000,スタッフ,"あー、指先だけじゃなくて、
そのまま手のひらできゅっと！　持っちゃってください！","Ah, squeeze it in the palm of your hands instead of 
just picking it up with your fingertips! 
Please hold it that way!"
3016012010090,千雪,きゅっと……！？,Squeeze...!?
3016012010100,千雪,"……えっと……やってみます……
指先……この辺かな……","...Umm... I'll try... I'll place my fingertips... 
Maybe somewhere around here..."
3016012010110,千雪,……きゃっ、ごめんなさい……！,"...Kyaa, I'm sorry about that...!"
3016012010120,甜花,千雪さん……？,Chiyuki-san...?
3016012010130,甘奈,"もしかして、
ハムスターとかチンチラ……苦手？","Could it be you're not good with hamsters and 
chinchillas...?"
3016012010140,千雪,ち、違うの……大好き……！,T-That's not it... I love them...!
3016012010150,千雪,"でもね、
あんまり柔らかくて、ふわふわしてるから……","But y'know, because they're so soft and fluffy..."
3016012010160,千雪,"力加減がわからなくて……
痛くしちゃわないか、心配になっちゃって……","I'm not really sure how much force I could use... 
I'm worried that they'll get hurt..."
3016012010170,千雪,"────よしよし……
痛くない……？","──There, there... does it not hurt...?"
3016012010180,甜花,"そういえば……千雪さん、
撮影前、チンチラさんにそーっと触って、笑ってた……","Come to think of it... Chiyuki-san was touching the 
chinchilla and smiling before the photoshoot..."
0000000000000,スタッフ,"なるほど……
好きだからこそ……ってことですね！","I see... So it's because you love them, right!"
0000000000000,スタッフ,"わかりました！
じゃあ、今の表情で撮っちゃいましょう！","I got it! Then, let's take a photo with 
your expression right now!"
3016012010190,千雪,……お願いします,...Please do.
3016012010200,千雪,"無理した笑顔をファンのみなさんにお届けするのも、
なんだか、嘘になっちゃうみたいで……","It would somehow feel like I'm lying if I gave my fans 
a forced smile..."
0000000000000,スタッフ,"わかります……私たちも
なるべくみなさんの魅力的な表情を撮りたいので","I understand... We also want to catch your charming 
expressions at their best."
3016012010210,千雪,"わがままを言ってしまってすみません……
よろしくお願いします","Sorry for saying something so selfish... 
Please do go ahead."
0000000000000,スタッフ,"いえいえ……
むしろ、早めに言っていただけて助かりました","Don't apologise... 
We're glad you mentioned it early on instead."
0000000000000,スタッフ,撮影再開しまーす！,Let's resume the photoshoot!
3016012010220,千雪,"甘奈ちゃん、甜花ちゃん、撮影お疲れ様
少し押しちゃってごめんなさい","Good work on the photoshoot, Amana-chan and 
Tenka-chan. Sorry I was being a little insistent 
earlier on."
3016012010230,甘奈,"全然大丈夫だよ～
帰る前に、ケーキ食べる余裕あるくらいだもん☆","That's totally fine～ We even have some time to get 
cake before going back home ☆"
3016012010240,甜花,うん……！,Yeah...!
3016012010250,甜花,"それに……その分
いっぱい、もふもふできたから……",Plus... I got to enjoy more fluffiness because of it...
3016012010260,千雪,"ふふっ
ありがとう、甘奈ちゃん、甜花ちゃん","Fufu, thanks, you two."
3016012010270,千雪,好きなのに、触るの怖いだなんて──,"Even though I loved them, I was kinda afraid to touch 
them──"
3016012010280,千雪,"なんだか面倒くさいよなーって、
自分でも思うんだけど",It somehow felt like I was being bothersome.
3016012010290,甘奈,"苦手なのかな、って最初思っちゃってごめん……！
色んな好きがあるんだね","I'm sorry for thinking you disliked them at first...! 
I guess there are different kinds of ""love"" out there."
3016012010300,甜花,う、うん……,Y-Yeah...
3016012010310,千雪,ふふっ、『色んな好き』かぁ…………,"Fufu, ""different kinds of love"", huh..."
3016012010320,千雪,『ワルいけど好き』、とか？,"For instance, ""loving it even though it's bad""?"
3016012010330,甘奈,"『ワルいけど好き』……かぁ……
例えばどんな？",Loving it even though it's bad... huh... For example?
3016012010340,甜花,"──あ
甜花、わかったかも……",──Ah. Tenka kinda gets it...
3016012010350,甜花,"深夜アニメ見ながら……
お菓子食べる、とか……？","Something like watching a late night anime... 
while eating sweets...?"
3016012010360,甘奈,"えへへ、それはめっちゃワルいね～
けど、やりたくなっちゃうのもわかるっ","Ehehe, that really is bad behaviour～ 
But I kinda get why you'd wanna do it."
3016012010370,甘奈,でも、そっか……,"But well, I see..."
3016012010380,甘奈,"それなら『怖いけど好き』とかもあるよね！
ホラー映画とか、怪談とか！","Then there's also ""loving it even though it's scary""! 
Like with horror movies and ghost stories!"
3016012010390,千雪,うんうん,That's right.
3016012010400,千雪,"逃げなきゃ、って思ってるのに惹かれちゃう……
近づきたいのに触れない、の逆みたい……！","I'm drawn to it even though I feel like I should be 
running away... It's kinda like the opposite of wanting 
to get closer but not being able to touch it...!"
3016012010410,甘奈,そっか……,I see...
3016012010420,甘奈,"『好き』で
心と体があべこべになっちゃう事もあるんだ……","Our ""love"" can sometimes make our heart and body 
go in completely different directions..."
3016012010430,千雪,"ふふっ
『嫌いなのに好き』……みたいな","Fufu. There's also something like... ""loving it even 
though I hate it""."
3016012010440,甘奈,"嫌いなのに好き……
それは本当に、想像つかないかも","Loving it even though I hate it... 
I really can't think of an example for that."
3016012010450,甜花,甜花も……わかんない……,Tenka doesn't... know either...
3016012010460,千雪,──この間、観た映画のお話なんだけどね,──It's like the plot of the movie I saw the other day.
3016012010470,千雪,"ヒロインの好きな人は、探検家なの
色々危ない場所に行くんだけど……","The person the heroine loves is an explorer that 
goes to various dangerous places..."
3016012010480,千雪,"いつもいつも、
心配で胸がつぶれそうになっちゃう彼女──","Her heart is always broken from worrying and 
worrying about them──"
3016012010490,千雪,"『こんな想いをさせる人は大嫌い！
いっそいなくなっちゃえばいいのに……！』","""I hate the kind of people that make me feel that 
way! It'd be better if they just didn't exist...!"""
3016012010500,千雪,──なんて、言っちゃうの,──That was what she said.
3016012010510,甘奈,"そ、そんなのダメだよ……！
だって、本当にその人がいなくなっちゃったら……","T-That's not right...! 
Because if that person was really gone..."
3016012010520,千雪,"うん……！
大好きなんだもん、いなくなっちゃっていいわけがないの","Yeah...! You love them so much that there's no way 
they should be gone."
3016012010530,甜花,つ……つらい……,H-How complicated...
3016012010540,甘奈,けど……なんだか心が惹かれるお話……,But... it's the kind of story I'd feel drawn to...
3016012010550,千雪,"そう
だからこの映画は、『悲しいけど好き』","I agree. So this type of movie is an example of ""loving 
it even though it's sad""."
3016012010560,甘奈,"『悲しいけど好き』かぁ……
う～ん！　やっぱり難しい……！","Loving it even though it's sad, huh... Hmm! 
Loving something really is complicated...!"
3016012010570,甜花,ね、難しい……,C-Complicated...
3016012010580,千雪,うん、難しい────,"Yeah, it's complicated──"
3016012010590,千雪,"──でも
難しいから、素敵なの","──But, it's only wonderful because it's complicated 
to begin with."
3016012010600,千雪,ふふっ,Fufu.
info,produce_events/301601201.json,
Translator,Clover,
