id,name,text,trans
3016009020010,千雪,"──はーい、お待たせ
行こう、甜花ちゃん","──Hiiii, sorry to keep you waiting! Let's go,
Tenka-chan!"
3016009020020,甜花,うん……！,Okay......!
3016009020030,千雪,"ごめんね、一回うち寄ってもらって
あんなに資料渡されるなんて、思ってなくて……！","Sorry that this was your first time visiting,
I didn't expect them to hand over so many
documents..."
3016009020040,甜花,ううん……！,It's fine......!
3016009020050,甜花,"にへへ……
甜花、ここ……大好き……","Nihehe......
Tenka... likes it here......"
3016009020060,甜花,"だから……
来れたの、嬉しい……！",So... Tenka's happy... that she came......!
3016009020070,千雪,わ……！,Really?
3016009020071,甜花＆千雪,ふふ……！,Fufu......
3016009020080,甜花,"なんか……
お部屋も、千雪さんみたい……",Tenka feels like... your room... feels like you......
3016009020090,千雪,そう……？,Really?
3016009020100,甜花,"家具とか……小物とか……
なんか……","The furniture...... and the accessories......
Everything......"
3016009020110,甜花,"千雪さんと……
お話……してるみたい……！","Everything kinda feels like... Tenka's... talking to
you......!"
3016009020120,千雪,"ええっ、ちょっと恥ずかしくなっちゃう……！
そうなの……？","Really? You're going to embarrass me...
Are you sure...?"
3016009020130,甜花,うん……！,Yeah......!
3016009020140,甜花,"──その……一人暮らしって……
どんな……感じ……？",──So um...... what does... living alone... feel like......?
3016009020150,千雪,うーん、そうね……,Hmmm... good question...
3016009020160,千雪,"このお部屋に初めて来た時は、
まっさらな場所に絵を描くみたいで……","When I first arrived to this room,
It was like painting a picture in a blank space."
3016009020170,千雪,とっても楽しかったなぁ,It was quite fun.
3016009020180,千雪,"わりと急に引っ越してきたから……
荷物も少なめだったんだけどね","But I moved in rather suddenly... and I didn't have
much of any luggage."
3016009020190,甜花,ま、まっさらな……場所……,I-It's a pretty... clean space......
3016009020200,甜花,────寂しく、なかった……？,──Do you ever... get lonely......?
3016009020210,千雪,"ふふ、どうだっけ……
毎日とにかく必死で……","Fufu, well... I was working really hard every day..."
3016009020220,千雪,"しばらくはがらんとしてたけど、
あんまり寂しいって思わなかったかも","And it felt pretty empty for a while, but I don't think
I've ever really felt lonely."
3016009020230,千雪,"そのあと……ふふふ
髪飾りとか、色んなものが増えて──","But also... Fufufu, my collection of hairpieces and
things has grown quite a bit──"
3016009020240,甜花,あっ……,Oh......
3016009020250,千雪,"ありがとう
大事にしまってあるの","Thank you.
I take good care of it."
3016009020260,甜花,"にへへ……
甜花たちもお部屋に……絵、描けた……？","Nihehe......
Did we... help paint your room a little......?"
3016009020270,千雪,"うん……！
だから、今はとってもにぎやか","Yeah...!
Now, it feels a lot more lively."
3016009020280,千雪,"小物たちの声が聞こえたら、
きっとうるさいくらい……！","If you could hear all of my little accessories' voices,
I'm sure it'd get quite noisy...!"
3016009020290,甜花,"……！
それなら……一人暮らし、楽しそう……！","......!
So then... living alone... seems fun......!"
3016009020300,千雪,そうね、悪くないって思うわ,"Well, I guess it's not too bad."
3016009020310,千雪,──あぁ、でも……,"──Ah, but..."
3016009020320,千雪,時々、テレビの音が寂しかったり……,"Sometimes, I miss the sounds from the TV..."
3016009020330,千雪,野菜を刻んでる音が寂しかったり……,And I miss the sound of chopping vegetables as well...
3016009020340,千雪,"……声や音がするからって
寂しくないわけじゃ、ないかな……","...I guess, when I think of these sounds... I guess I
can't really say I don't feel lonely..."
3016009020350,甜花,……そ、そっか……！,...O-Oh okay......!
3016009020360,甜花,"そうなったら……
ど……どうするの……？",W-What do you do...... When that happens......?
3016009020370,千雪,うーん──,Hmm──
3016009020380,千雪,────我慢……！,──I endure it...!
3016009020390,甜花,が……我慢……！,E...... Endure it......!
3016009020400,千雪,そう,Yes.
3016009020410,甜花,"……っ
ひ、一人暮らし……大変……！","......
L-Living alone... seems really hard......!"
3016009020420,千雪,ふふっ、ううん,"Fufu, I guess so."
3016009020430,千雪,"ひとりで考えなきゃいけない時もあるし、
寂しいの我慢しなきゃいけない時もあるし──","Sometimes you have to think on your own. And
sometimes, you have to endure the loneliness──"
3016009020440,千雪,"それは、誰かと暮らしてても
きっと一緒","I'm sure it'd feel the same, even if you were living
with someone else."
3016009020450,甜花,あ……,Oh......
3016009020460,甜花,"──
うん……",──Yeah......
3016009020470,千雪,"──いつか甜花ちゃんも、
一人暮らししたりするかもね……？","──And one day, you may have to live by yourself
too..."
3016009020480,甜花,"えっ……！？
て、甜花は……──！",Huh......!? T-Tenka might......!?
3016009020490,甜花,──にへへ……,──Nihehe......
3016009020500,甜花,わかんない……けど……,Tenka doesn't know... but......
3016009020510,甜花,"大人に……
なったら……──",Maybe when... Tenka's an adult......
3016009020520,千雪,うん,Right.
3016009020530,千雪,"──さ、じゃあ行こっか
甘奈ちゃん、ラテのこと待ちきれないかも……！","──Okay then, let's get going, I'm sure Amana-chan
can't wait for her latte...!"
3016009020540,甜花,"うん……！　え、と……
なーちゃんは……ベリーカスタードラテに……","Yeah......! Umm...... Naa-chan will... have a berry custard
latte..."
3016009020550,甜花,トッピング……ピスタチオ……！,And pistachios... for toppings......!
3016009020560,千雪,"ふふっ。きっとお店、行列だから……
マフラーをしっかり巻いておきましょう！","Fufu. I'm sure the store will have a line...
Wrap your scarf nice and tight!"
3016009020570,甜花,はい……！,Okay......!
3016009020580,甜花,──わ……！,──Waa......!
3016009020590,千雪,甜花ちゃん……！？,Tenka-chan...!?
3016009020600,甜花,"ご、ごめんなさい……！
段ボール……！　つまずいちゃった……！",S-Sorry......! Tenka... tripped over the cardboard......!
3016009020610,甜花,"こ、これ……
大事なの……だった……？",W-Was it... something important......?
3016009020620,千雪,"あぁ……ううん！
実家に送る荷物なの──","Oh... don't worry! Just something I was going to send
back home."
3016009020630,千雪,"全然、大丈夫よ
私こそ、こんなとこにごめんなさい","No worries, it's all okay.
I'm sorry if the place felt a little cramped."
3016009020640,甜花,お、おっきい箱……,A-A big box......
3016009020650,千雪,"……
『アプリコット』、送っちゃおうって────","......
I felt like... saying goodbye to Apricot────"
3016009020660,甜花,…………えっ,............Huh?
3016009020670,千雪,"ふふっ……
卒業","Fufu......
It's my graduation."
3016009020680,甜花,"──
千雪さん……","──
Chiyuki-san......"
3016009020690,千雪,私も大人にならなくちゃ──,I have to be an adult too──
3016009020700,千雪,ね？,Right?
3016009020710,甜花,……──,......──
