id,name,text,trans
1018001001010010,冬優子,"おはよーございまーす……
はー、疲れた","Good morniing...
Haaー tired..."
0000000000000,プロデューサー,"おはよ――
すごい荷物だな……","Morningーー
That's quite a baggage..."
1018001001010020,冬優子,"事務所に来る前に、
ちょっとショップに寄ってきたの","Before coming to the office,
Fuyu stopped by the shop for a bit."
0000000000000,プロデューサー,（フィギュアやDVDが袋から見えるな……）,(You can see figures and DVDs from the bag...)
select,,どんなのを買ったんだ？,What did you buy?
select,,俺も見ていいか？,Can I see it too?
select,,"事務所は
荷物置きじゃないんだぞ","The office
isn't storage, you know."
1018001001010030,冬優子,あんたに説明しても、どーせわかんないでしょ,"Even if I explain it to you, you wouldn't understand anyway."
1018001001010040,冬優子,"でも、ちゃんと話聞くつもりあるなら……
教えてあげないわけでもないけど……","But, if you intend to listen in carefully...
Fuyu didn't say she wouldn't want to tell you about it..."
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1018001001010050,冬優子,"適当なこと言って、
あんた、どうせ話わかんないでしょ","Say what you want,
you wouldn't understand it anyway."
1018001001010060,冬優子,"別にいいけど
ふゆの邪魔はしないでよね","Do what you want,
just don't bother Fuyu, okay?"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1018001001010070,冬優子,"しょーがないじゃない
今買わなかったらもう会えないかもしれないんだから","What can you do about it?
If I didn't buy it now, I might not be able to get it anymore."
1018001001010080,冬優子,"そのくらいいいじゃない
融通利かないわね","It should be okay if it's just that.
You can't be more flexible, can you?"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/101800100101.json,
Translator,Autumn Cloud,
