id,name,text,trans
4901101080010,羽那,じゃーん──！,Tadaaa!
4901101080020,羽那,"これ──
鈴木羽那サンタからプレゼントですっ",Thiiis is a present from Hana Claus.
0000000000000,プロデューサー,はは、サンタさんか……！,"Haha, now you're Santa...!"
0000000000000,プロデューサー,"わざわざありがとうな、羽那
嬉しいよ","Thank you for going out of your way, Hana.
I'm very happy."
0000000000000,プロデューサー,プレゼント、ここで開けてもいいか？,May I open my present here?
4901101080030,羽那,うんっ,Sure.
0000000000000,プロデューサー,おお、パジャマか！,"Oh, pajamas!"
4901101080040,羽那,"なんか、布がいいみたいで
ぐっすり眠れて、いい夢が見られるパジャマなんだって","I heard the fabric is very nice.
They said it's the kind of pajamas that will make you 
sleep well and have sweet dreams."
0000000000000,プロデューサー,いい夢か……,Sweet dreams...
4901101080050,羽那,"プロデューサーにとっての
いい夢って、何？","What is a sweet dream to you, Producer?"
0000000000000,プロデューサー,"──えっ、難しい質問だな……
うーん……","──Eh, that's a difficult one...
Hmm......"
4901101080060,羽那,あはっ、思いつかないんだ？,"Aha, can't think of any?"
4901101080070,羽那,"……それじゃあ
夢であたしと会おっか──！","......Then, let's meet up in your dreams!"
info,special_communications/490110108.json,
Translator,Burbur,
