id,name,text,trans
0000000000000000,プロデューサー,羽那、やったじゃないか！,"You did it, Hana!"
5027001000210010,羽那,"うんっ
ありがとう──！","Yeah.
Thank yooou!"
0000000000000000,プロデューサー,"今日は盛大にお祝いしないとな
事務所で合格パーティーでもやるか？","We need to celebrate in a big way today.
Should we hold a party at the office?"
5027001000210020,羽那,えーっ、嬉しい──！,"Eeeh, I'm sooo glad!"
5027001000210030,羽那,……あ、でも──,"...Ah, but──"
0000000000000000,プロデューサー,……？,...?
5027001000210040,羽那,"パーティーの前に、プロデューサーに
お願いがあるんだけど……いいかな？","Before the party, is it okay to ask you a favor, 
Producer?"
0000000000000000,プロデューサー,"おう、俺にできることなら
なんでも言ってくれ！","Sure, tell me if there's anything I can do!"
5027001000210050,羽那,ふふっ……！,Fufu...!
5027001000210060,羽那,"それじゃあ、プロデューサー
合格したあたしのこと、めいっぱい褒めてくれる？","Okay then, Producer.
Will you praise me lots for passing the audition?"
info,produce_communication_auditions/502700100021.json,
Translator,Burbur,
