id,name,text,trans
5028001000110010,はるき,"わぁっ……！
合格……！　合格できました、プロデューサーさん！","Waa...! I passed...! 
I really passed, Producer-san!"
0000000000000000,プロデューサー,ああ、よかったな……！,"Aah, I'm so glad!"
5028001000110020,はるき,"あ、ありがとうございます……
少しまだ、信じられなくて……","T-Thank you very much...
I still can't quite believe it..."
5028001000110030,はるき,"たまたま、
運がよかったのもあると思うんですけど……！","I thought it might have been
because I was lucky...!"
0000000000000000,プロデューサー,いやいや、はるきの実力だよ,"Oh no no, it's because of your skill."
0000000000000000,プロデューサー,"レッスンいっぱい頑張ったから
いい結果に繋がったな","You worked really hard during lessons.
In the end, it led to good results."
0000000000000000,プロデューサー,これからも、この調子で行こう……！,Let's keep going like this...!
5028001000110040,はるき,はい……！,Yes...!
5028001000110050,はるき,"わたし……もっとうまくなりたいです
プロデューサーさん","I want to keep getting better and better,
Producer-san."
info,produce_communication_auditions/502800100011.json,
Translator,Burbur,
