id,name,text,trans
3028002010010,はるき,羽那ちゃん、湿気とりあったよ～,"Hana-chan, there's a dehumidifier here～"
3028002010020,羽那,わーっ、ありがとう──！,"Waa, thank you──!"
3028002010030,羽那,"はるきちゃん
見つけるの早いねーっ","You found it so quickly, Haruki-chan."
3028002010040,羽那,このお店、来たことあるの？,Have you been to this store before?
3028002010050,はるき,うん、事務所のおつかいでたまに来るよ,"Yeah, I come here once in a while for office errands."
3028002010060,羽那,"そうなんだ
事務所のこと、手伝ったりしてるんだね","I see.
So you help out with things at the office sometimes."
3028002010070,はるき,"ううん、わたしが
理由を付けて来たいだけなんだぁ","Ah no,
I just wanted to come here for a reason."
3028002010080,羽那,100均、好きなの？,Do you like 100 yen stores?
3028002010090,はるき,ふふ～、うん……！,"Fufu～, sure do...!"
3028002010100,羽那,"あとは──
何かいるもの、あったかなー","Then──
Is there anything else I need──?"
3028002010110,はるき,"なんだろねぇ
何かなくて困ってるものとかない？","I wonder...
Is anything you're having trouble finding?"
3028002010120,羽那,"うーん……
……ないかも？","Hrm...
... Maybe not?"
3028002010130,はるき,"そっかぁ
じゃあ今日はこれだけにしてまたこよっか！","I see.
Then, let's stop here for today and come again!"
3028002010140,羽那,"うんっ、それじゃあ
お会計してくるね","Alright then,
I'll go and pay the bill."
3028002010150,はるき,"今度はもうひとつの100均のお店も教えるね
置いてるもの違うから使い分けるといいよ～","I'll tell you about the other 100 yen stores next time.
They all have different products so it's a good idea
to check them separately～"
3028002010160,羽那,あはっ、詳しい──！,"Aha, you're well-informed──!"
3028002010170,羽那,はるきちゃん、本当に100均が好きなんだね？,"You really love 100 yen stores, don't you, 
Haruki-chan?"
3028002010180,はるき,"ふふっ……。そう言われると──
かなり好きなのかも……！","Fufu... If you put it that way──
I guess I really like them...!"
3028002010190,羽那,──そうだ,──That's right.
3028002010200,羽那,"はるきちゃん、今日の自主練の後
あたしの部屋に来れる？","Haruki-chan, can you come visit my room after 
training today?"
3028002010210,羽那,"それで、
部屋に必要なもの、考えてくれたらなーって",That way you can see if I need anything for my room.
3028002010220,はるき,"わぁ……！
いいの？　楽しそう～！","Wa...!
Is that okay? Sounds like fun!"
3028002010230,はるき,…………わたしでお役に立てるかな？,...Can I actually help you though?
3028002010240,羽那,"はるきちゃん、いろんなこと知ってるし
大丈夫だと思うよ？","You know a lot of things, Haruki-chan.
So I think you'll be fine."
3028002010250,はるき,えっ……そうかな,Eh... I guess so.
3028002010260,はるき,"でも、そういうの考えるの楽しいから
がんばるね……！","But it's so fun to think about things like that.
I'll do my best...!"
3028002010270,はるき,"まずは、この後のレッスンに向けて
栄養補給しよっか……！","More importantly, let's get something to eat
before we start our lesson...!"
3028002010280,羽那,うんっ、そうだね,"Yeah, you're right."
3028002010281,羽那＆はるき,"１、２、３、４
１、２、３、４────","1, 2, 3, 4.
1, 2, 3, 4──"
3028002010290,はるき,──っと,──Toh.
3028002010300,はるき,できたっ……！,I did it...!
3028002010310,羽那,あたしも多分できた──！,I can do it too probably──!
3028002010320,羽那,……動画、撮れたかな？,...Did we get it on video?
3028002010330,はるき,"ふふ～
確認してみよっか","Fufu～
Let me check."
3028002010331,羽那＆はるき,────……,────……
3028002010340,羽那,……できてはいるけど──,...We did it but──
3028002010350,はるき,"わたしたち……
揃ってないね……","We are...
We're not together..."
3028002010351,羽那＆はるき,ふふっ,Fufu.
3028002010360,はるき,"次は、わたしたちふたりが揃うように
練習だね──","Next time, we should practice together."
3028002010370,羽那,"そうだね
でも──","You're right.
But──"
3028002010380,羽那,時間、来ちゃったね,"Time's up, isn't it?"
3028002010390,はるき,"そっかぁ
早くここ空けないとね……！","You're right.
We need to get out quickly...!"
3028002010400,はるき,"はぁ～
疲れたね～","Haah～
I'm tired～"
3028002010410,はるき,心地いい疲れだけど……！,"Comfortably tired, though...!"
3028002010420,羽那,うん,Yeah.
3028002010430,はるき,"羽那ちゃんの部屋に着いたら
眠っちゃいそう～","Hana-chan, when I get to your room, I'm going to 
fall asleep～"
3028002010440,羽那,あはっ、それでもいいよ？,"Aha, that's fine though?"
3028002010450,羽那,"それで、そのまま寮に住んじゃっても
いいと思う──！","Then you could live in the dormitory!
I think that'd be fine──!"
3028002010460,はるき,え～？,Eh～?
3028002010470,はるき,それも楽しそうだなぁ～,That sounds like fun too～
3028002010480,はるき,"ん～……
でも、寮に住んじゃったら──","Hmm～...
But if I were to live in the dormitory──"
3028002010490,はるき,"羽那ちゃんとおしゃべりして
夜更かしばっかりしちゃいそう……",I'd probably stay up late talking with Hana-chan...
3028002010500,羽那,"あー……
それは──そうかも？","Ahー...
Maybe that's──?"
3028002010510,はるき,"なので……お互いの健康と美容のためにも
寮暮らしは遠慮させていただきます……！","So... For the sake of our health and beauty,
I'll refrain from living in the dormitory with you...!"
3028002010520,羽那,えーっ、そっかー,"Ehh, okay."
3028002010521,羽那＆はるき,──ふふふっ,──Fufufu.
info,produce_events/302800201.json,
Translator,Burbur,
