id,name,text,trans
1023001001410010,雛菜,"プロデューサー、見て～～～？
かわいいでしょ～～～","Producer, see～～～?
Isn't it cute～～～"
0000000000000,プロデューサー,"ん？
ストラップか",Hm? A strap?
0000000000000,プロデューサー,透とお揃いで付けるのか？,Is it to match with Toru?
1023001001410020,雛菜,"ん～？
これは雛菜と、プロデューサーの～！",Hm～? This one's for Hinana... and Producer～!
select,,ありがとう！,Thanks!
select,,"貰って
いいのか？","Is it alright
to take it?"
select,,"ちょっと
可愛すぎないか？","Hey, isn't this
too cute?"
1023001001410030,雛菜,"あは～、プロデューサー
カバンに付ける？　スマホに付ける？","Aha～, Producer, gonna put it on your bag? On your phone?"
1023001001410040,雛菜,ちゃんと付けてね～～～？,"Put it somewhere good, okay～～～?"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1023001001410050,雛菜,"うん～
そのために持ってきたんだよ～？",Mhm～ That's why I brought it～!
1023001001410060,雛菜,お揃い～～～！,Twinsies～～～!
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1023001001410070,雛菜,"え～～～……
だからいいのに～","Eh～～～
But that's why it's good～"
1023001001410080,雛菜,いらないならいいけど～,It's fine if you don't want it though～
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/102300100141.json,
Translator,,
