id,name,text,trans
4023001000110010,雛菜,"ん～、なんか待ってる時間長いね～？
早く始まらないかな～","Mn~, it kinda feels like we've been waiting forever~
I wonder if it will start soon~?"
0000000000000,プロデューサー,（あまりにも緊張感がないな……）,(It looks like she isn't feeling the pressure...)
select,,待つ時間も楽しもう！,"Let's enjoy
the wait!"
select,,準備は完璧か？,"Are you
prepared?"
select,,緊張感を持ってくれ！,"Feel the
tension!"
4023001000110020,雛菜,"あは～！　そうかも～
いつでも楽しくいなきゃだもんね～","Aha~! You might be right~
I have to be happy at all times, after all~"
0000000000000,プロデューサー,（よし、いい笑顔になったな……！）,"(Good, she has a nice smile...!)"
4023001000110030,雛菜,"ん～？　そっか～
ね、プロデューサー！　雛菜かわいい～？","Mn~? I think so~
Hey producer, is Hinana looking cute~?"
0000000000000,プロデューサー,（少しでもいい状態で送り出そう……！）,"(Even if it's just a bit, let's send her out in good condition...!)"
4023001000110040,雛菜,"へ～？　緊張感って、
持てって言われても持てないんじゃない～……？","Eh~? Even if you say that to me,
it's not like I'll immediately start feeling it, right~...?"
0000000000000,プロデューサー,（う……確かに、そうかもしれないが……）,"(Uhh... that might be the case, but...)"
info,produce_communication_cheers/402300100011.json,
译者,,
