id,name,text,trans
6023002020010,雛菜,"プロデューサー！
リハーサル終わったよ～","Producer!
The rehearsal just ended～"
0000000000000,プロデューサー,見てたよ、お疲れ様,I saw you out there. Good work.
6023002020020,雛菜,"あは～
雛菜、どうだった～？","Aha～
How was Hinana～?"
0000000000000,プロデューサー,"よかったぞ！
ステージに合わせてよく動けていたと思う","You were really good!
You moved with the space of the stage in mind."
6023002020030,雛菜,"やは～！
そうだよね～","Yaha～!
That's right～"
6023002020040,雛菜,"ステージすっごい広いから
すっごい走った！","The stage was reaaally huge,
so Hinana ran a lot!"
0000000000000,プロデューサー,ああ、頑張ってたな,"Yeah, you did really well."
0000000000000,プロデューサー,"この調子でしっかり準備していけば
きっといいステージになる","Keep it up and I'm sure you'll
put up a good performance."
0000000000000,プロデューサー,"本番がますます
楽しみになってきたな","I'm really looking forward
to the actual performance now."
6023002020050,雛菜,うん～！,Yep～!
6023002020060,雛菜,"歌もダンスも、セットも衣装も
全部楽しみだな～！","From the songs to the dance, the set and the costumes,
Hinana's excited for all of them～!"
info,produce_events/602300202.json,
Translator,OrangeKabocha,
