id,name,text,trans
6023001040010,雛菜,決勝か～～～……,The final huh～…
0000000000000,プロデューサー,……雛菜、\n何かあったか？,"Hinana…
Something happened ?"
6023001040020,雛菜,ん～～～？\nなんにもないけど、なんで～？,"Mn～?
Nothing special, why～?"
0000000000000,プロデューサー,いや、いつもと少し……\n様子が違うような気がしてさ,"No, compared than usual…
I feel like something is different."
6023001040030,雛菜,あは～、そうだった～？\nん～～～、なんか～,"Aha～ you think?
Mn～ you see～"
6023001040040,雛菜,終わっちゃうな～って思って,I was thinking～ it’s gonna end～
6023001040050,雛菜,勝っても、負けても終わっちゃうから\n楽しかった分ちょっと～、残念？,"Winning or losing, it’s gonna end anyway
All the fun, it's kind of a shame?"
0000000000000,プロデューサー,それは違うぞ、雛菜,"You’re wrong, Hinana."
0000000000000,プロデューサー,勝っても、負けても終わらない\n──始まるんだよ,"Winning or losing, it’s not the end
It’s the beginning."
6023001040060,雛菜,……あ～、そっか～～～\nうん、そうかもね～,"...Ah～ I see～
Yeah, you may be right～"
info,produce_events/602300104.json,
Translator,Realta,
