id,name,text,trans
3023014020010,雛菜,……暑い～,......It's so hot～
3023014020020,小糸,"そうだね……！
でも、風もあるし、ちょっと過ごしやすくなったね","Yeah, it is......!
But there's wind, so it's a little tolerable."
3023014020030,雛菜,うん～,Yea～
3023014020040,雛菜,"あれ～
なんか、浴衣着てる人、多いね～","Huh～
There sure are a lot of people in yukatas～"
3023014020050,円香,近所でお祭りとか……？,Maybe there's a festival nearby......?
3023014020060,雛菜,"あっ、そうだった～
雛菜が行きたかったやつ～！","Ah, there sure is～
It's the one that Hinana wanted to go to～!"
3023014020070,雛菜,まだやってるかな～,I wonder if it's still open～
3023014020080,円香,"この時間だと
さすがに終わってそうじゃない？","It's so late,
surely they would be closed by now?"
3023014020090,雛菜,"でも、やってるかもしれないし
雛菜行ってみる～","But they might still be open,
so Hinana's gonna go check it out～"
3023014020100,小糸,"じゃあ、わたしも……！
透ちゃんと円香ちゃんは？","Then, I'll go with you......!
How about you, Toru-chan, Madoka-chan?"
3023014020110,雛菜,やっぱり終わっちゃった～,"Sure enough, they're closed already～"
3023014020120,小糸,そうだね……けど……,"Yeah, they are...... but......"
3023014020130,小糸,"ついさっきまで、
たくさん人がいたんだなって、感じがするね","It does feel like a ton of people were just here, huh."
3023014020140,雛菜,あは～、そうかも～,Aha～ Maybe～
3023014020150,円香,"……それで、どうする？
もうここに用はないでしょ","......So, what do we do now?
There's nothing left for us here, is there?"
3023014020160,雛菜,うん……そうだね～,Yea...... You're right～
0000000000000,夏祭りスタッフ,こんばんはー,Good eveningー
0000000000000,夏祭りスタッフ,よかったらアイスどうぞー,Feel free to help yourselves to the ice-creamー
3023014020170,円香,え……,Eh......
0000000000000,夏祭りスタッフ,"余らせてもって感じですので
もらっていただけるとありがたいんですけど……","We might have stocked too much, so we'd be glad
that you can have some of it......"
3023014020180,円香,"……そういうことでしたら
いただきます","......If that's the case, we‘ll help ourselves then."
3023014020181,透＆雛菜＆小糸,あざす,Thanks.
3023014020190,円香,"このアイス……
子どもの頃、同じやつもらわなかった？","This ice-cream......
I remember this taste from back when we were kids."
3023014020200,小糸,あ、わたし覚えてるよ！,"Ah, I remember too!"
3023014020210,小糸,"ここのお祭りって、
福引大会終わったら子どもにアイス配ってたよね","This festival, always gave out ice-cream to kids
after the ruffle giveaway."
3023014020220,雛菜,あは～、雛菜も思い出した～,Aha～ Hinana remembers too～
3023014020230,透,そうだっけ,Was it like that?
3023014020240,円香,"ん……
食べよ、溶ける前に","Uhm......
Let's eat, before they all melt."
3023014020250,小糸,う、うん……！,Y-Yeah......!
3023014020260,雛菜,……おいしい～,......Yummy～
3023014020261,透＆円香,うまい,It's delicious.
3023014020270,小糸,えへへ……,Ehehe......
3023014020280,雛菜,なんかちょっと変な感じかも～……,It feels weird somehow～......
3023014020290,円香,……,......
3023014020300,雛菜,"撮影の時もお祭りだったのに、
今の方が、なんかお祭りって感じがする～","Even though we were also in the festival during the
shoot, this feels more like being in a festival～"
3023014020310,円香,"ここにはもう
屋台も提灯もないけどね","Not to mention there aren't any stalls nor
decorations, even."
3023014020320,小糸,…………,......
3023014020330,小糸,……──,......──
3023014020340,円香,……小糸？,......Koito?
3023014020350,小糸,"そうなのかもって、わたしも思ったんだけど……
理由がわからなくて","I did think so to myself, too......
but I couldn't think of why that's the case."
3023014020360,円香,"……あっちは、あくまでもセットだから……
仕事だったし","......Perhaps because that place is after-all, just a
set...... And it was work."
3023014020370,円香,"寄せて作ったものでは
本物には及ばないのかもしれない……","When something is made to resemble another, maybe
it's just incomparable with the real thing......"
3023014020380,雛菜,…………,......
3023014020390,小糸,な、なんでだろうね……,"W-Why is that, I wonder......"
3023014020400,透,宿題？　それ,Wanna make it? Our homework.
3023014020410,雛菜,"あは～
透先輩も一緒に考えてくれる～？","Aha～
Toru-senpai, wanna think about it together～?"
3023014020420,透,あー,Ahhー
3023014020430,雛菜,へ～,Huh～
3023014020440,雛菜,わかんないけど……,"I don't really get it, though......"
3023014020441,一同,あははっ,Ahaha
3023014020450,雛菜,…………,......
info,produce_events/302301402.json,
Translator,Mycstea,
