id,name,text,trans
4901008110010,樹里,プ、プロデューサー……,P-Producer…
0000000000000,プロデューサー,ん？ どうかしたか、樹里,"Hmm? What's the matter, Juri?"
4901008110020,樹里,"あー……
なんかさ、最近疲れてたりしねーか？","Ah…
Don't you feel kinda tired recently?"
0000000000000,プロデューサー,"え？　うーん、そうだな
確かに年度末も近付いて忙しくなってきたからな","Eh? Umm, I guess so.
The end of fiscal year is so close, so i'm getting busier."
4901008110030,樹里,そ、そっか……,I-I see…
4901008110040,樹里,じゃあさ、これ……,"Then, take this…"
0000000000000,プロデューサー,"うん？　これチョコか……
貰っていいのか？","Huh? This chocolate…
Is it okay for me to take it?"
4901008110050,樹里,"ん、なんかこれ
ストレスに効くらしいし……やる","Yea, I got this for you
Because you seemed stressed out during work."
0000000000000,プロデューサー,"はは、ありがとう樹里
……ああ、そういえば丁度バレンタインだなあ","Haha, thank you, Juri.
By the way, Valentine's Day is just right there, isn't it?"
4901008110060,樹里,"ば……！
そ、そういうんじゃ、ねーし……！","Ugh!
That's exactly what it was for!"
info,special_communications/490100811.json,
译者,,
