id,name,text,trans
2011006010010,樹里,（いぬ、ねこ、くま……）,"(Dogs, Cats, Bear...)"
2011006010020,樹里,…………,……
2011006010030,樹里,（……これは──タマネギか……？）,(Maybe it's onion...?)
0000000000000,プロデューサー,"……お、樹里
そのストラップ、もらってくれるのか！　助かるよ……","Oh, Juri!
You going to take those straps? that will be helpful!"
2011006010040,樹里,"ちっ……げーーよ！！
なんでそうなるんだよ！","I AM... NOT!!
Why are you assume that!?"
0000000000000,プロデューサー,"え？　そうなのか……？
ずっと見てたから、欲しいのかと……","Eh? It's not?
You've been staring at it for quite a time and maybe you want those..."
2011006010050,樹里,"や、別にアタシはなんでタマネギなのか
気になっただけだし──","I-I'm just curious why there are onion straps
there..."
2011006010060,樹里,…………まぁいいか……,...Well...
2011006010070,樹里,"つーか、こんなものなんでアンタが持ってんだよ
しかも、こんなにたくさん……","In the first place, 
why are these things here, and this many?"
0000000000000,プロデューサー,"コンビニで買った
栄養ドリンクのおまけについてきたんだよ","I bought them from the convinience store.
They're a bonus from energy drinks."
0000000000000,プロデューサー,"事務所に置いておいたら
誰かが持っていってくれるかと思ったんだが──","If I put it in the office maybe someone
can take those away, I thought."
0000000000000,プロデューサー,実は、３日もここに放置されてるんだ,But it has been there for 3 days...
2011006010080,樹里,……お、おー,O-Oh...
0000000000000,プロデューサー,"というわけで樹里
遠慮せず好きなのを持っていっていいんだぞ","That's why Juri, no need to hold back.
Just take whichever you want."
2011006010090,樹里,え、や……だからいいって,Huh? Nah... I'm good.
2011006010100,樹里,"それにこういうキャラクターもののストラップとか……
アタシには似合わねーし……","Especially these kinds of character straps
won't fit with me anyway."
0000000000000,プロデューサー,いやいや、そんなことはないぞ,"No no no, that's not the case!"
0000000000000,プロデューサー,"……でも、そうか
樹里もいらないとなると……","...But hmm...
If you said you don't need it, then..."
select,,"もう捨てるしか
ないのか……","So I have to
throw it away huh..."
select,,樹里にアテはないか？,Maybe you can give it to someone else?
select,,責任を持って俺が使おう,I'm going to take responsibility and bring it home.
2011006010110,樹里,"えっ
捨てるって……マジかよ","Eh?
Are you seriously going to throw it away?"
0000000000000,プロデューサー,"ああ。もったいないが……
みんな興味がないみたいだし……","Well, it'd be a waste but...
no one is interested in it so..."
2011006010120,樹里,…………！,……!
2011006010130,樹里,"そんな目で見つめてくるな……！
タマネギ……っ！","Don't look at me with that eyes...!
Onioonn!!"
0000000000000,プロデューサー,樹里……？,Juri?
2011006010140,樹里,"あー……！
もうっ、仕方ねー！","AAAGGHHH!
Can't be helped!"
2011006010150,樹里,こいつら全員まとめて、アタシが面倒を見る！！,I'm going to take them all!!
0000000000000,プロデューサー,"えっ……！
樹里、本当か！？","Eh?
Juri, you're serious!?"
0000000000000,プロデューサー,しかし、なんでそんな心変わりを……,What's with the change of heart...?
2011006010160,樹里,"困ってるやつらを
このまま見捨てるのは性に合わねーんだよ！","I can't ignore
those who in need, geez!"
0000000000000,プロデューサー,困ってる『やつら』……,Those in need...
2011006010170,樹里,……な、なんだよ,"...So, So what?"
0000000000000,プロデューサー,あぁいや……気にしないでくれ,"No, nothing..."
0000000000000,プロデューサー,"（樹里は本当に、
優しくて純粋な子だよなぁ……）","(Juri is actually
a kind and pure kid huh...)"
0000000000000,プロデューサー,学校の友達とかで、こういうのが好きな子とか……,"Maybe with your friends at school, is there someone that like this kind of things?"
2011006010180,樹里,き、急に言われてもな……,E-Even if you ask suddenly like that...
2011006010190,樹里,"大体、アタシから
こんな可愛いもん急に渡されたら……怖いだろ","More like, if I gave this cutesy thing
to someone else... It's scary."
0000000000000,プロデューサー,"そんなことないだろう
俺は樹里からもらえたら、普通に嬉しいぞ","I don't think that's true.
If I receive something like this from you, I will feel happy."
2011006010200,樹里,……それ、マジで言ってんのか……？,Are you seriously saying that?
0000000000000,プロデューサー,ああ、もちろん,Yep! Of course.
2011006010210,樹里,ふ、ふーん。そっか……,"Hn... Hmhm, I see."
2011006010220,樹里,"まぁ……
探せばいないこともないだろうし","Well...
Maybe I can look for someone..."
2011006010230,樹里,"アンタがそう言うなら
ちょっとだけ頑張ってみるか","If you say that then,
I will try my best to look for one."
0000000000000,プロデューサー,"本当か！？
た、助かるよ……","Really!?
I owe you one..."
0000000000000,プロデューサー,頼んだぞ、樹里……！,"That will be great, Juri!"
2011006010240,樹里,お、おー……！,Oooh...!
2011006010250,樹里,結局プロデューサーが使うのかよ！,SO YOU GONNA TAKE IT IN THE END!?
0000000000000,プロデューサー,"ああ……
捨てるのはかわいそうだしな……","Well...
I can't just throw it away..."
0000000000000,プロデューサー,"しかし……こんなにストラップを
つけるところ、あったかな……","But... do I even have a place
to put this strap on...?"
2011006010260,樹里,"…………
アンタがその、可愛いやつを……","……
You know, those cuties..."
2011006010270,樹里,…………,…………
2011006010280,樹里,"──やっぱり……
アタシがもらう！","I guess
I'll take it then!"
0000000000000,プロデューサー,……えっ,Eh?
0000000000000,プロデューサー,"それは……すごく助かるが……
急にどうしたんだ……？","That's really helpful but...
What happened all of a sudden...?"
2011006010290,樹里,"別に……アンタがこんな可愛いストラップを
じゃらじゃらつけてたら","Nothing...
If someone like you walking around with this cute strap on."
2011006010300,樹里,"おもしろプロデューサーとして
有名になっちまうと思っただけだよ","You are gonna get known as
an interesting producer, you know!"
0000000000000,プロデューサー,"おもしろって……
そ、そうか……！？","Interesting...
I guess?"
2011006010310,樹里,そーだよ,It is!
2011006010320,樹里,"……アンタの代わりに、アタシが責任を持って使うから
安心しろよな","So instead, I will take the responsibilty
and take those home."
info,produce_events/201100601.json,
译者,,
