id,name,text,trans
0,スタッフ,"──放課後クライマックスガールズさん
入られます！",Houkago Climax Girls! Please come in!
0,スタッフ,今日はよろしくお願いします！,Good luck out there!
3011009010010,果穂,せーのっ,"Alright, together now."
3011009010011,一同,放課後クライマックスガールズです！,We're Houkago Climax Girls!
3011009010012,一同,よろしくお願いします……！,Thanks for having us today!
3011009010020,樹里,──それにしても,But seriously though.
3011009010030,樹里,"今回のCM撮影、
衣装……すごいな……",The costumes for the commercial are... really something else.
3011009010040,樹里,"これ……
どういうコンセプトなんだよ……",What kind of concept were they going for anyways...
3011009010050,果穂,"あたしは宇宙ヒーローです！
カッコいいですっ！","Juri-chan, look! I'm a space hero! Don't you think I look cool!?"
3011009010060,樹里,お、おう……！,"Oh, yeah."
3011009010070,樹里,"いや、確かにかっこいいし
すげー似合ってるんだけどさ……！","I mean, yeah, it's definitely cool. And it really fits you well!"
3011009010080,夏葉,"今回は『宇宙』がテーマなのね
私は宇宙海賊だもの","I think they were trying to go for a space theme. Like I'm a space pirate for example. "
3011009010090,夏葉,樹里だって、宇宙カウボーイって……,"Juri, you're probably a space cowboy."
3011009010100,夏葉,ほら、資料にも書かれてるわよ,"See, it says so right here."
3011009010110,樹里,まぁ、そうなんだけど……,I guess so...
3011009010120,智代子,３人は、衣装、かっこいい感じだよね！,Your costumes just give off this cool vibe!
3011009010130,智代子,"私はえっと、宇宙チアガール？　で、
凛世ちゃんが──",Me on the other hand... I think I'm a space cheerleader? And Rinze-chan's probably a──
3011009010140,凛世,"はい……
宇宙ヒロイン……",I am... a space heroine...
3011009010150,果穂,"はいっ！
ふたりともスッゴく可愛いですっ！",Oh! You two look really cute!
3011009010160,夏葉,"ええ、
とっても似合っているわ",Yes. Those costumes look really good on you two.
3011009010170,智代子,"本当！？
嬉しいなぁ……！",Really!? Thanks!
3011009010180,凛世,"ふふ……
『宇宙規模の感動！』でございます……","Fufu... You could say that the costumes are ""astronomically moving..."""
3011009010190,果穂,"あっ、それ！
今日のセリフですっ！",Woah! Wasn't that was the slogan from earlier today!?
3011009010200,夏葉,"うふふ、もう使いこなしているなんて
やるじゃない、凛世","Ufufu, so you've already gotten that line down. Not bad at all, Rinze!"
3011009010210,智代子,"うんうんっ！　だから凛世ちゃんは──
『銀河級にスゴい！』","Yeah, yeah! After all, Rinze-chan's ""galactically great!"""
3011009010220,果穂,"……！
ちょこ先輩も……！",Oooo! Choco-senpai too!
3011009010230,果穂,あ、あたしも使いたいです……っ！,"I, I want to try too!"
3011009010240,樹里,"──って、
いやいやいや","Wait, hold up, hold up."
3011009010250,樹里,みんな順応力高すぎだろ……！,Aren't you guys getting into this too fast!?
3011009010260,夏葉,あら、そうかしら……？,What's wrong with that?
3011009010270,智代子,"こういうのは楽しんだ者勝ちだよ
樹里ちゃん！",Don't you know? Those who enjoy what they do are successful!
3011009010280,樹里,そ、そういうもんか……？,I guess so...
3011009010290,凛世,"凛世は……
楽しんでおります……",I am... enjoying the experience...
3011009010300,智代子,"せっかく衣装もスッゴく似合ってるんだから！
ね、果穂？","And it's especially great since these costumes suit us so well! Right, Kaho?"
3011009010310,果穂,はいっ！,Right!
3011009010320,果穂,"…………あっ！
『銀河級にスゴい！』です……っ！","Oh! Don't you mean ""galactically great!?"""
3011009010330,夏葉,"……うふふ
言えたわね、果穂",Ufufu. You got it Kaho!
3011009010340,果穂,"えへへ、はいっ！
ちょこ先輩、ありがとうございます……！","Ehehe, yup! Thanks to you Choco-senpai!"
3011009010341,一同,…………,......
0,スタッフ,"──放課後クライマックスガールズさん
まずはキメのセリフ、撮らせていただきます！",Houkago Climax Girls. Can we get a shot of everyone saying their lines?
0,スタッフ,準備お願いします！,Is everyone ready?
3011009010350,果穂,はいっ！,Ready!
3011009010360,果穂,……いきましょう！,Let's do this guys!
3011009010361,一同,うん！,Alright!
0,スタッフ,──では回していきますねー！,"Can everyone turn this way, please?"
0,スタッフ,"５秒前……
４、３、２──……","Counting down. In 5, 4, 3, 2..."
3011009010370,樹里,………………,......
3011009010380,樹里,………………,......
3011009010381,off,『宇宙規模の感動！』,"""Astronomically moving!"""
3011009010382,off,『銀河級にスゴい！』,"""Galactically great!"""
3011009010390,樹里,…………はは,Haha.
3011009010400,樹里,"これ、結局
どういう意味なんだよ……！",What do those lines even mean anyways!?
info,produce_events/301100901.json,
Translator,,
