id,name,text,trans
1009001000310010,果穂,"プロデューサーさん、
おっはようございまーす！","Producer, good morning!"
0000000000000,プロデューサー,お、いつもより元気だな,"Oh, you're more energetic than usual."
1009001000310020,果穂,"はい！　朝見てきた特撮番組が、
スッゴく面白かったんです！",Yes! The tokusatsu show I watched this morning was so cool!
0000000000000,プロデューサー,"（はじけるような笑顔だ……
よっぽど面白かったんだな）",(She's smiling from ear to ear... it must have been very cool.)
select,,どんな内容だった？,What happened in it?
select,,俺も観たかったな,"I wanted to watch
it, too."
select,,それは良かったな,That's good.
1009001000310030,果穂,"ヒーローも怪人もアクションが激しくて、
戦闘がスゴかったんです！","The hero, mystery person, and action were all fierce, and the fight was amazing too!"
1009001000310040,果穂,"ううー、思い出しただけで、
身体を動かしたくなっちゃいますっ！","Oh, just remembering it makes me have to move around!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,(Alright! That went really well.)
1009001000310050,果穂,プロデューサーさんも観たいですか！？,"You want to watch, too?!"
1009001000310060,果穂,"それなら、あたし録画してますから、
今度持ってきますね！","I record it, so I'll bring it next time!"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went OK.)"
1009001000310070,果穂,えへへ、だから朝のテレビチェックは欠かせません！,"Ehehe, that's why it's important to check what's on morning TV shows!"
1009001000310080,果穂,"……あっ、プロデューサーさんは、
あんまり興味なかったですか？","...Ah, are you not really interested in it?"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I screwed up. I should have said something else...)
info,produce_communications/100900100031.json,
译者,,
