id,name,text,trans
0000000000000,プロデューサー,……よし、じゃあ打ち合わせを始めるか,"...Alright then, shall we begin the briefing session?"
0000000000000,果穂,はいっ！　よろしくお願いしますっ,Yes! I'll be your care.
0000000000000,プロデューサー,"アイドルバラエティ番組に出ることになったんだから、
質問された時の受け答え、練習をしておこうか","You'll be on an idol variety show, so how about we practice for when you'll have to answer questions?"
0000000000000,果穂,"シミュレーションですねっ
わかりました！",A simulation? Got it!
0000000000000,プロデューサー,"じゃあ俺が番組の司会者のつもりで質問するからな
……小宮さんはどこの出身なの？","Then I'll ask you questions like the host will.
...Komiya-san, where are you from?"
0000000000000,果穂,"はいっ。……じゃなかった「ああ！　あたしは、はるか
遠い宇宙からやってきま……あ、来たんだ！」","Yes.
...Wait. ""Yeah! I came from a galaxy far a way... ah, away!""."
0000000000000,プロデューサー,"ん……？
え、えーと、じゃあ特技はなんですか？","Huh...?
U-um, then what is your speciality?"
0000000000000,果穂,"「必殺技は、宇宙の力を借りて敵を倒す、
スーパースペクタクルビームだ！」","""My special move which I gather power from the galaxy to defeat my enemies with is called super spectacle beam!"""
0000000000000,プロデューサー,……ちょっと一回、ストップしよう,...Let's pause for just a moment.
0000000000000,果穂,えっ、もう終わりですか？,"What, we're done already?"
0000000000000,プロデューサー,"うん……。果穂、今の受け答えはどうしたんだ？
……ヒーローの口調みたいな……","Yes... Kaho, what were with your answers just now?
...You sounded like a hero..."
0000000000000,果穂,"わかりましたか？
えへへ！　あたし気づいたんです！",You got it? Ehehe! I figured it out!
0000000000000,果穂,"ヒーローの真似をしてみたら、
アイドルとしても活躍できるって！","If I  pretend I'm a hero, I can do well even as an idol!"
0000000000000,プロデューサー,"なるほど
そういうことだったのか……",I see. That's what it was...
0000000000000,果穂,"はいっ！
これであたしも、人気者になれますよね！？","Yes! If I do that, I can get popular, right?!"
0000000000000,プロデューサー,"そうだなぁ……
果穂、ちょっと作戦会議をしようか","Well...
Kaho, how about we have a strategy meeting?"
0000000000000,果穂,"さ、作戦会議っ！？
……はい、司令！","S-strategy meeting?!
...Yes, sir!"
0000000000000,プロデューサー,"果穂の言う通り、たしかにヒーローもアイドルも、
みんなの憧れの存在で、そこは一緒なんだけどな","Like you say, we all agree that both heroes and idols are people that others look up to."
0000000000000,プロデューサー,"ヒーローになりきったら
アイドルの果穂とはキャラが違ってきちゃうんじゃないか",Wouldn't the hero version of you have a different persona than you as an idol?
0000000000000,果穂,"えっと……あのっ！　いろんな人を笑顔にするってことは、
アイドルもヒーローも一緒ですよね","Uh... um! Idols and heroes both make lots of people smile, right?"
0000000000000,プロデューサー,うん。そうだな,Yeah. That's true.
0000000000000,果穂,"あたしもそう思って、ヒーローを真似するのが
いいんじゃないかって思ったんですっ",That's why I thought I should pretend that I'm a hero.
select,,"笑顔にする方法が
違うんじゃないか","Isn't the way they
make others smile
different?"
select,,"ヒーローにも、
いろんなヒーローが
いるだろ","Aren't there lots of
different kind of
heroes?"
select,,"果穂には果穂の
カッコよさがある","You're cool in your
own way."
0000000000000,プロデューサー,例えばヒーローは、どうやってみんなを笑顔にしてるんだ？,"For example, what do heroes do to make everyone smile?"
0000000000000,果穂,"悪い怪人とか悪の組織をやっつけて、
街の平和を守って、ですっ","They beat bad guys and groups, and protect the peace of the town."
0000000000000,プロデューサー,なるほど。じゃあ、アイドルはどうだと思う？,"I see. Then, what do you think idols do?"
0000000000000,果穂,"えっと……
歌とダンスをお客さんに見せて、ですっ","Um...
They show the audience their singing and dancing."
0000000000000,プロデューサー,"そうだな。だから同じ人気者でも、
アイドルとヒーローは違うんだ","That's right. So even though they're both popular, idols and heroes are different."
0000000000000,プロデューサー,"アイドルとして人気者になるなら、
アイドルらしい方法にしないとな","To become a popular idol, you have to act like an idol."
0000000000000,果穂,"そっか……
アイドルにはアイドルの、戦い方があるんですね！","Okay...
Idols have their own ways of fighting!"
0000000000000,果穂,わかりました！,Got it!
0000000000000,果穂,"あたしは、あたしらしいやり方で、
お仕事をしますっ",I'm going to do work in my own way.
0000000000000,果穂,"はいっ。れんけい技で戦うヒーローとか、
100万馬力で戦うヒーローとか……いっぱいいます！","Yes. There's heroes that work together, heroes that have the strength of one million men... and lots more!"
0000000000000,プロデューサー,"ヒーローにもいろんなタイプがあって
それぞれ戦い方が違うように……",Just like there's many different kinds of heroes that each fight in their own way...
0000000000000,プロデューサー,"アイドルだって、たくさんのタイプがあって
お仕事のスタイルも違うんだ","There are many different kind of idols, too. Their style of work is also different."
0000000000000,プロデューサー,"果穂は、ヒーローらしさを押していく
アイドルじゃないと思うぞ",I don't think you're the kind of idol who will push forward acting like a hero.
0000000000000,果穂,"えっ！　じゃああたし、ヒーローみたいに
なれないんですか？","What! Then, I can't become hero-like?"
0000000000000,プロデューサー,"そんなことはない。果穂はヒーローの真似じゃなくて、
果穂らしい方法で人気者になれるんだ","That's not what I'm saying. You can become popular not by mimicking heroes, but by doing things your own way."
0000000000000,果穂,あたしらしく……わかりましたっ,My own way... got it.
0000000000000,プロデューサー,だから番組でも果穂の良さを出していこう,So let's so your good qualities on the show.
0000000000000,果穂,"はい！！
あ、でも、あたしのいいところってどこなんでしょう……？","Yes!! Ah, but, what are my good qualities...?"
0000000000000,プロデューサー,"よし、それをバッチリ見つけるために
今から作戦会議だ！","Alright, let's start our strategy meeting so we can pinpoint what those are!"
0000000000000,果穂,"あたしがカッコいい……
それってヒーローみたいにですか？",I'm cool... you mean like a hero?
0000000000000,プロデューサー,そういう部分もあるだろうな,That is true too.
0000000000000,プロデューサー,"アイドルとヒーローはたしかに似てるかもしれない
けどその前に、果穂には果穂だけの良さがあるだろう","Idols and heroes definitely might be alike, but more importantly, you have your own good qualities."
0000000000000,プロデューサー,"その良さをしっかりと出すことが、
ヒーローみたいに憧れてもらうには必要なんだ","In order to be more like a hero, you need to properly bring out those qualities."
0000000000000,果穂,あたしのいいところ……,My good qualities...
0000000000000,果穂,……わかりました！,...Got it!
0000000000000,果穂,"あたし、ヒーローみたいなアイドルになれるように、
頑張ります！",I'm going to do my best to become a hero-like idol!
info,produce_events/100900103.json,
译者,,
