id,name,text,trans
4009001000220010,果穂,"プロデューサーさん！
あたしの全力、審査員のみなさんに見せてきますっ！","Producer-san! I want to show off my full might to
all the judges!"
0,プロデューサー,"（充分に気合が入ってるな
送り出す言葉は……）","(She's feeling super motivated. I should send her some
words of encourgement.)"
select,,闘志を燃やせ！,"Set your fighting
spirit ablaze! "
select,,失敗しないように！,Don't mess up!
select,,頑張れ、ヒーロー！,"Do your best, hero!"
4009001000220020,果穂,"はいっ！　燃えてこそヒーローです！
みんなの笑顔のために……頑張ってきますっ！","Yeah! A hero has to get fired up!
For the sake of everyone's smiles... I'll do my best!"
0,プロデューサー,（燃えるようなやる気が見える……！）,"(I can really see her fiery determination!) "
4009001000220030,果穂,"そうですねっ！失敗してたら、ヒーローにはなれません！
みんなに、カッコいいところを見せてきますっ！","You're right! If I mess up, I won't be able to become a
hero! I want to show everyone how cool I am!"
0,プロデューサー,（ステージをばっちり盛り上げてくれそうだ）,(That's right get the whole stage fired up.)
4009001000220040,果穂,"任せてください！　みんなが笑顔になれるように、
頑張りますっ！","Leave it to me!
I'll make sure to do my best so that everyone
can smile!"
0,プロデューサー,（順調にいけそうだな）,(Looks like that went pretty well.)
info,produce_communication_cheers/400900100022.json,
Translator,六しっくすP,
