id,name,text,trans
0000000000000,プロデューサー,"霧子、何読んでるんだ？
あれ……その本、この間も読んでいなかったか？","Kiriko, what's that you're reading?
Oh, huh... didn't you read the same book before?"
1008001001110010,霧子,"何か読みたくて……
でもほかにいい本が……思いつかなくて……","I felt like reading something... but, um...
I couldn't think of any other book..."
1008001001110020,霧子,おすすめの本はありませんか……？,D-Do you have... any recomendations...?
0000000000000,プロデューサー,（おすすめの本か、そうだな）,"(A good book, huh. Well...)"
select,,"このミステリーとか
おすすめだな！","I really enjoyed this
mystery novel!"
select,,アイドルの自伝は？,"What about an
idol's memoirs?"
select,,植物図鑑もいいかも,"What about 
botanical
field guides?"
1008001001110030,霧子,"わぁ……
か、貸してくださるんですか……！",Wow... C-Can you let me borrow it...?!
1008001001110040,霧子,"ポ、ポケットに入ってたんですね……
まだ……あったかいです……","Ah, you had it in your pocket... it's still so warm..."
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1008001001110050,霧子,"じ、自伝……ですか……
アイドルの勉強に……なりますね……","M-Memoirs... yeah...
It might work, for reference... as an idol..."
1008001001110060,霧子,"最近の人のだけ……じゃなくて……
昔の人のも……読んでみたいです……","I like reading about... the people today...
but I'm also curious... about what it was all like...
back then..."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1008001001110070,霧子,"わ、わたしも……
植物図鑑は……いくつか持ってます……！",I-I also...have a lot...of those...!
1008001001110080,霧子,"本当のお花さんたちのほうが……
綺麗……ですけど………","But um... actually looking at the flowers in person...
is so much better..."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah… I should've said something else instead…)
info,produce_communications/100800100111.json,
Translator,萌え豚,
