id,name,text,trans
0000000000000,プロデューサー,"今日はいつもより表情が明るいな
何かいいことでもあったのか？","You have a pretty good look in your face today, Kiriko. Did something good happen?"
1008001001210010,霧子,"あ……え、と……
献血をしてきました……！","Ah, u-um...
I donated some blood today...!"
1008001001210020,霧子,"少しでも……患者さんたちのお役に立てれば……
うれしいなって……","E-Even if it's just a little...I'm really happy...to be able to help the patients, and all those who need it..."
0000000000000,プロデューサー,（献血か……）,"(Donating blood, huh...)"
select,,よく行くのか？,"Do you do 
it a lot?"
select,,うれしそうな表情だ,"You look so 
happy."
select,,"献血後のジュースは
結構美味しいよな","The juice they give you 
after is so good, right?."
1008001001210030,霧子,"はい……おうちが大学病院の寮で……近くなので……
よく、献血するんです……","Yes...I live in the dorms...of a teaching hospital, so...I donate blood when I can..."
1008001001210040,霧子,ちょっと……楽しいかもしれませんよ……,It might...even be a bit fun...
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1008001001210050,霧子,は、はい……,Y-Yeah...
1008001001210060,霧子,"だって……自分の血で……
誰かの命が、強くなるって思うと……嬉しいです",I mean...when I think...my blood is helping someone else be stronger...I get really happy...
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1008001001210070,霧子,"たしかに……献血したら……
ジュースをもらえるところ、ありますよね……",Yeah...after donating blood...sometimes you get a juice...
1008001001210080,霧子,"でも、献血後は……
鉄分やたんぱく質、とってくださいね……！","But, um...after donating...please don't forget to take some protein...and iron...!"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah… I should've said something else instead…)
info,produce_communications/100800100121.json,
Translator,,
