id,name,text,trans
6008002010010,霧子,──ん、しょ……,──Like this...
0000000000000,プロデューサー,"──あれ、霧子
それ……救急箱か？","...Hm? Kiriko.
Is that... a first aid kit?"
6008002010020,霧子,は、はい……！,Y-yeah...!
0000000000000,プロデューサー,"こんなとこまで……
みんなのこと、心配なんだな",I'm... worried about you all so far...
6008002010030,霧子,"い、いえ……
あの……お守りみたいなものなんです……！","I-it's not like that...
I... treat them like lucky charms...!"
6008002010040,霧子,"摩美々ちゃんも……
まだ少し……咳してるし……","Mamimi-chan too...
She's still... coughing..."
0000000000000,プロデューサー,"お守りか……
出会った頃も、そんな風に言ってたっけ","Lucky charms, huh...
Sounds like the ones you were talking about
when we met."
6008002010050,霧子,"……はい
でも……今は……","...Right.
But... now..."
6008002010060,霧子,"何があっても……
自分が……しっかりしてられるようにって……",I'd like to... stay strong... no matter what happens...
0000000000000,プロデューサー,"そうか……
強くなったな、霧子は","I see...
You've grown, Kiriko."
6008002010070,霧子,"そ、そんなのじゃ……
あ、あの……いってきます……！","S-so then... u-um...
I'll be leaving now...!"
info,produce_events/600800201.json,
Translator,,
