id,name,text,trans
6902001070010,社長,お前、担当アイドルのことをどう思っている？,"So, what do you think of the idol you're responsible for?"
0000000000000,プロデューサー,"……たしかに負けてしまいましたけど、
彼女こそが最高のアイドルだと思っています","...Well, we may have failed, but I think she's the most incredible idol she can be."
6902001070020,社長,……！　そうか……,"...! Really, now..."
6901001070010,はづき,"ふふ
社長が聞きたかった言葉、そのまま出てきましたね","Eheh. You told the president exactly what he was
hoping to hear."
6901001070020,はづき,"もし違う言葉が出てきたら、
説教してやるって言って聞かなかったのに","If you said anything else, he had quite the lecture
prepared for you. "
6902001070030,社長,"……うるさいぞ。とにかく、
そういうことなら私から言うことはない","...Quiet, you. Anyway, in that case there's nothing I
need to say to you. "
6902001070040,社長,"さあ、早くその最高のアイドルに
会いに行ってこい","What you need to do now is go and meet with that
incredible idol of yours."
0000000000000,プロデューサー,……はい！,"...Of course!
"
0000000000000,プロデューサー,"お疲れさま、霧子
惜しかったな……","Hey, Kiriko.
We were so close..."
6008001070010,霧子,は、はい……,Y-Yeah...
0000000000000,プロデューサー,霧子……？,Kiriko...?
6008001070020,霧子,……プロデューサーさん,...Producer-san.
6008001070030,霧子,"わたし、誰かに楽しんでもらえれば……って
思ってて……","I, thought about...how nice it would be if someone... 
anyone...had a great time while watching me...but..."
6008001070040,霧子,"でも他の方たちのステージを見て……
みんなに楽しんでもらわなきゃ……って……","...But, seeing all the other idols perform...
Made me think about...how I want to make everyone have fun, instead..."
6008001070050,霧子,"も……目標が……
もう一個……できたかもです……","I...I think...
...I have another goal, now..."
6008001070060,霧子,"……だから、
これからも……お願いします……っ！","...So, um...
Let's keep trying, from now on...!"
0000000000000,プロデューサー,霧子……,Kiriko...
0000000000000,プロデューサー,"（霧子は、『W.I.N.G.』よりも遠いところを
見ているのかもしれないな……）","(Kiriko might be looking at a podium far, far greater
than W.I.N.G. itself...)"
0000000000000,プロデューサー,"もちろんだ
俺が、全力で霧子を支えるからな……！","Of course!
I'll always be here to support you with everything I have...!"
info,produce_events/600800107.json,
Translator,萌え豚,
