id,name,text,trans
2008006110010,霧子,"『白くて、綺麗で』
『でも、それで当然だって思われていて』","""White and beautiful.""
""However, it seems natural to think of it like that."""
2008006110020,霧子,『きっと、とっても緊張して降ってくると思います』,"""But I believe that it was really nervous as it flies down from the sky."""
2008006110030,霧子,『雪はとっても偉いです』,"""Snow is very impressive."""
0000000000000,プロデューサー,"──かぁ
うん、霧子らしいインタビュー記事だよな……","Yes, this is exactly what an interview
with Kiriko would be like."
0000000000000,プロデューサー,"霧子……？
どうしたんだ、上向いて……","Kiriko?
What's the matter? You seem focused looking at the skies."
2008006110040,霧子,……あ、プロデューサーさん,"Oh, Producer."
2008006110041,,……ふふ,Fufu.
2008006110050,霧子,"今日は……
雪が……降るみたいです……！","It seems that...
snow is coming down... today.
"
0000000000000,プロデューサー,"ああー、そういえば予報で言ってたな
……めちゃくちゃ冷え込んでるもんなぁ……！","Yes. Now that you mentioned it, the weather report did say something like this. Looks like it's going to be really cold!"
2008006110060,霧子,"はい……
空が……ざわざわ……って……","Yes.
It even said... that the sky... will be quite bustling."
0000000000000,プロデューサー,"ざわざわ、かぁ
……そうやって言われると、そんな感じもするなぁ","Bustling, huh.
Now that you mention it, it kinda seems that way."
2008006110070,霧子,"……ふふ
はい……","Fufu.
It will."
2008006110080,霧子,"ひとつめに落ちてくる……
雪が……見たくって……","I want to see... the first snow... 
That drops from the sky."
0000000000000,プロデューサー,……え？,Huh?
2008006110090,霧子,"……あ……す、すみません……
ゆ、雪が……見たくて……！","Oh... I-I'm so sorry.
I-I just want... to see the snow."
0000000000000,プロデューサー,"そうか。今日はスタジオ収録だけど……
きっと待ち時間も長いから、ちょっとなら抜け出せるぞ？","I see. Our schedule for today is a recording inside a studio. But there's bound to be some waiting time in between, so we could sneak out a bit and see it later on."
2008006110100,霧子,"わぁ……！
は、はい……ありがとうございます……！","Aah!
Y-Yes... Thank you so much!"
2008006110110,霧子,"ぷ、プロデューサーさん、
少し……屋上に行ってきてもいいですか……？","P-Producer, is it alright... 
If we go to the rooftop for a while?"
0000000000000,プロデューサー,"ん？　……あ、そうか、雪だったな
でも、まだ降ってないんじゃないか……？","Hmm? Oh, right, the snow.
But, it hasn't started to snow yet."
2008006110120,霧子,"は、はい……！
でも……匂いがするんです……","Y-Yes.
But... I could smell it."
0000000000000,プロデューサー,"ははっ、わかったぞ
15分くらいなら平気だ","Haha, okay.
It'll be fine if we limit ourselves to just 15 minutes."
2008006110130,霧子,"はい……！
ありがとうございます……！","Yes.
Thank you."
0000000000000,プロデューサー,"あ、ちょ、ちょっと待ってくれ！
そんな恰好じゃ風邪を引くぞ！","H-Hey, don't go yet!
You're gonna catch a cold if you go out like that!"
2008006110140,霧子,"い、いえ……早く……行きたくて……
寒いのは……な、慣れてます……！","I-It's alright... I want to go... as soon as possible.
And also... I-I'm used to the cold."
0000000000000,プロデューサー,"ダメだ──っても聞かなさそうだな
これ……俺のコートでよければ、こっちにあるから","No but I don't think you'd listen to me.
Take this. If you don't mind wearing my coat, then you could use it."
2008006110150,霧子,"ぷ、プロデューサーさん……
……ありがとうございます……！","P-Producer...
Thank you so much!"
0000000000000,プロデューサー,ああ。マフラーも持ってってくれ,Right. Don't forget to bring a muffler with you.
2008006110160,霧子,"はい……！
ふふ……","Okay.
Fufu..."
2008006110170,霧子,行ってきます……！,I'll be going now!
0000000000000,プロデューサー,"はは……
言い出したら、意外に聞かないんだよな……","Haha,
She was surprisingly insistent back there."
0000000000000,プロデューサー,"…………
…………──あ","......
Ah..."
2008006110180,霧子,"『雪
プロデューサーさんも　よかったら』","""If it's alright with you,
Please see the snow too, Producer."""
0000000000000,プロデューサー,霧子……,Kiriko...
0000000000000,プロデューサー,"『白くて、綺麗で』
『でも、みんなにそれで当然だって思われていて』","""White and beautiful.""
""However, it seems natural to think of it like that."""
0000000000000,プロデューサー,『きっと、とっても緊張して降ってくると思います』,"""But I believe that it was really nervous as it flies down from the sky."""
0000000000000,プロデューサー,雪か……,The snow...
0000000000000,プロデューサー,──……！,......!
2008006110190,霧子,『雪はとっても偉いです』,"""Snow is very impressive."""
0000000000000,プロデューサー,（……なんか）,(It feels like...)
2008006110200,霧子,──プロデューサーさん……！,Producer...!
0000000000000,プロデューサー,"（なんか、こんなこと──
前にも……）","(It feels like
this has happened before.)"
2008006110210,霧子,"ふふ……
雪です──","Fufu.
It's snow."
0000000000000,プロデューサー,"……ほんとに降ってきたな
わぁ……はは、綺麗だ……","It really did start snowing.
Aah... Haha, It's so beautiful."
2008006110220,霧子,"はい……
綺麗です……","Yes.
It really is beautiful."
2008006110230,霧子,"空で生まれて……
地面に着くまで……とっても、とっても長いのに……","Born from the skies... Even though the journey to reach the ground... takes a very, very long time..."
0000000000000,プロデューサー,……うん,Yes.
2008006110240,霧子,ずっと真っ白で……綺麗なまま……,The snow was very white... and beautiful throughout...
0000000000000,プロデューサー,"霧子……
……雪が偉いって、言ってたな","Kiriko, you mentioned that
snow is impressive before, right?"
2008006110250,霧子,"はい……
わたし……","Yes, I did...
And..."
2008006110260,霧子,"一番最初に……降りてくる雪に……
頑張ったねって……伝えたくて……","I wanted to tell... the first snow that falls... 
That I'm proud of it... for doing its best."
2008006110270,霧子,"他のみんなも……
きっと励まされたんだよって……","That everyone else... 
Must've been inspired by it."
0000000000000,プロデューサー,霧子……,Kiriko...
0000000000000,プロデューサー,（あぁ、そうだ──）,"(Oh, that reminds me.)"
0000000000000,プロデューサー,……霧子もそうだよ,"That same could be said to you, Kiriko."
0000000000000,プロデューサー,"（初めて見かけた時も……
こんな感じだった）","(Even in that moment I saw
you, it was like this.)"
2008006110280,霧子,……え？,Eh?
0000000000000,プロデューサー,"霧子も頑張ってる
みんな励まされてるんだ","Kiriko, you've been doing your best and I'm proud of you for that.
You've been inspiring everyone."
0000000000000,プロデューサー,──俺だってな,Even me.
2008006110290,霧子,……プ、プロデューサーさん……！,P-Producer...
2008006110300,霧子,"あ、あの……わたし……
わたし……","U-Umm... I...
I'm..."
