id,name,text,trans
0000000000000,プロデューサー,──あれ……,Hmm?
2008007110010,霧子,……？,...?
0000000000000,プロデューサー,"ここさ、ビル壊されたんだな
……更地になってる","The building here before is now gone.
It's now an empty lot."
2008007110020,霧子,"……わ……
ほんとです……","Ah.
You're right."
2008007110030,霧子,"解体してたのは……
覚えてて……","I think I remember...
it being demolished."
0000000000000,プロデューサー,"うん、確かに
でも前って……何が建ってたっけな","Yeah.
But... What kind of building was this again?"
2008007110040,霧子,"──えっと……
…………","Umm...
......"
0000000000000,プロデューサー,えーと…………,Let's see...
2008007110050,霧子,"……ふふっ……
思い出せないです……","Fufu...
I can't remember it."
0000000000000,プロデューサー,"俺もだ、はは
──茶色っぽいビル……は、あっちだしなぁ……","That goes the same for me. Haha
A brown-ish building... Wait, it's the one over there."
2008007110060,霧子,"……
そういう……妖怪さんがいるって……","......
Come to think of it... there was a youkai..."
0000000000000,プロデューサー,ん？,Huh?
2008007110070,霧子,"あの……
みんなが……知らないうちに……","Well... before everyone... 
Would notice it..."
2008007110080,霧子,"町の中の……建物を……
どこかに動かしちゃう……","The youkai... would move one of
the buildings... somewhere else."
2008007110090,霧子,"そんな妖怪さんの……
お話があって……","There was this kind of story... 
Being told around."
0000000000000,プロデューサー,"ええっ
それは……困るよな……！","Eh?
That would be quite problematic!"
2008007110100,霧子,"は、はい……
とっても……いたずらさんです……","Y-Yes.
The youkai... is quite a prankster..."
0000000000000,プロデューサー,"動いちゃった建物に住んでた人とかは、
驚くんじゃないか……？","Wouldn't that startle the people
living in those moved buildings?"
2008007110110,霧子,それは……,Well...
2008007110120,霧子,"……ずっと前から……
『ここにいた』って……","It seems that... along with changing
the location of the building..."
2008007110130,霧子,"人の記憶も……
一緒に……変わっちゃうみたいで……",the memories of the people living inside them... is also changed so that... they think that they have always been there...
0000000000000,プロデューサー,──ああ……,Oh...
0000000000000,プロデューサー,"なるほどな
……何か忘れる時って、そんな感じかもしれないな",I get it. It's probably one of those times that you feel like you're forgetting something.
0000000000000,プロデューサー,…………,......
2008007110140,霧子,…………,......
0000000000000,プロデューサー,"霧子だって……
どこかからさ、ひょいっと移されてきたのかもな？","Kiriko, you might even get yourself
whisked away to somewhere."
2008007110150,霧子,"ふふ……！
どこかから……","Fufu.
From somewhere?"
0000000000000,プロデューサー,"うん
──移される前の記憶は忘れちゃってるけど","Yeah.
Although your memories prior to being whisked away is gone."
2008007110160,霧子,"ふふふっ……
南の……島とか……！","Fufufu.
Like... from a southern island."
0000000000000,プロデューサー,"ははっ、おう
北の国かもしれないぞ！","Haha. Yeah.
Or maybe even from a northern country!"
2008007110170,霧子,すごい……！　それじゃ──,That would be amazing!
2008007110180,霧子,"みんなのことも……プロデューサーさんのことも……
覚えたままにしてくれて……","It would be nice... if I could still
keep my memories of everyone..."
2008007110190,霧子,よかった……,And of you...
0000000000000,プロデューサー,"……
霧子……","......
Kiriko..."
2008007110200,霧子,──一緒にいられたら……,"If we get whisked away together instead... "
2008007110210,霧子,"この場所じゃなくっても……
いいから……","Then I wouldn't mind...
No matter where we'll end up."
0000000000000,プロデューサー,……うん,Yeah.
2008007110220,霧子,でも……あの……,But... umm...
2008007110230,霧子,"妖怪さんが……
もし……ひょいってしちゃっても……","Even if... the youkai...
Whisked me away..."
2008007110240,霧子,"ここの事務所のこと……
覚えてたいです……","I would like to remember... 
About this agency."
0000000000000,プロデューサー,うん。それじゃ伝言しておこうな,Yeah. I'll leave a message then.
2008007110250,霧子,──……えっ,Huh?
0000000000000,プロデューサー,"ゼラニウムさんとか、あと、ユキノシタさんとかにもさ
──誰もいない時に妖怪が来たら、困るだろ？","Like for the geranium and the saxifrage. If no one's around when the youkai comes, that would be problematic, wouldn't it?"
2008007110260,霧子,プロデューサーさん……,Producer...
2008007110270,霧子,はい……,That's right...
0000000000000,プロデューサー,"うん。──風が出てきちゃったな
入ろう、霧子","The wind's getting up again.
Let's get in, Kiriko."
0000000000000,プロデューサー,伝言しなきゃ,We still have that message to work on.
2008007110280,霧子,"はい……
ふふっ……","Yes.
Fufu..."
2008007110290,霧子,伝言……しなきゃ……,We still have... that message.
info,produce_events/200800711.json,
译者,,
