id,name,text,trans
0000000000000,プロデューサー,"──３キロ増、だな
…………いや、２.８キロだけど","Raised 3 kilos, nope...
...Maybe 2.8 kilos?"
2008010030010,霧子,わたしも……,Me too...
2008010030020,霧子,"え、と……
その半分くらい……増えてて……","Ummm...
I increased around... half... of that..."
0000000000000,プロデューサー,"……いや、それは誤差内って言えるよ
水分でさ、1、２キロは平気で増減するんだ","...That can't be right, maybe it's an error. My water content in my body could be taken up 1.2 kilos."
0000000000000,プロデューサー,"俺は、餅とかおせちとかいろいろ食べて……
というか、年末から運動してない",After all I eat a lot of mochi and osechi in new year... I haven't exercise in a long time.
2008010030030,霧子,"……
それは……","……
That's..."
0000000000000,プロデューサー,"うん……
２.８キロはちょっとやばいだろ……","Yeah...
That's why I gained 2.8 kilos..."
2008010030040,霧子,"…………
はい……","……
I see..."
2008010030050,霧子,"あの……
スクワット……とか……","Umm...
How about... squatting...?"
0000000000000,プロデューサー,"──……
16……17……","……
16... 17..."
2008010030060,霧子,18……19……,18... 19...
0000000000000,プロデューサー,"20……──
はぁっ……っ……","20...
Phew..."
2008010030070,霧子,"っ……ふっ……
ふぅ……","...Gasp...
gasp..."
0000000000000,プロデューサー,"──よく……っ
頑張った……霧子……っ","You really... work hard...
Kiriko..."
2008010030080,霧子,"い、いえ……っ
フォームが……なってなくて……","N-No...
I lost... my form..."
0000000000000,プロデューサー,"いや、形は……ちゃんと……してたよ……！
──これ……結構くるな……","No, I think you did... your form... Perfectly...! This is... really exhausting..."
select,,"膝が……
笑ってる……","My knees...
feels funny..."
select,,"よし……っ
あと１セット……！","Alright...
Another set...!"
select,,"ちょっと……
タイムだ……！","Take...
a break!"
2008010030090,霧子,"──ふふっ……
ふふふっ……","Fufu...
Fufufu..."
0000000000000,プロデューサー,"ん？
霧子は平気か……？","Hm?
Kiriko are you okay…?"
2008010030100,霧子,"い、いえ……
ガクガク……って……","N-No...
I'm... shaking..."
2008010030110,霧子,"でも……
ふふふっ……","But...
Fufufu..."
2008010030120,霧子,"わたしの膝も……
笑ってるのかも……","My knees...
also feel funny..."
0000000000000,プロデューサー,"ははっ、ごめんな
俺だけでよかったのに","Haha, sorry.
For dragging you like this."
2008010030130,霧子,いえ……,No...
2008010030140,霧子,"体重……
ちゃんと戻した方が……いいから……","I also...
want... to do this..."
0000000000000,プロデューサー,"うん。心がけてくれるの、嬉しいよ
でも俺は続けなきゃなぁ……！","Okay, I'll be glad if you don't force yourself.
But I have to continue!"
2008010030150,霧子,ふふ……,Fufu...
2008010030160,霧子,"もしもし……
プロデューサーさんの……膝さん……","Excuse me...
Producer... Knees..."
2008010030170,霧子,"スクワット……
楽しいですか……","Is squatting...
Fun...?"
0000000000000,プロデューサー,霧子……,Kiriko...
2008010030180,霧子,──なんて……聞こえますか……？,Excuse me... can you hear me...?
0000000000000,プロデューサー,"え？　ああ……──
────────","Eh?
Ahh..."
0000000000000,プロデューサー,"──えっと
『楽しい』……かな","Umm...
""It's fun"", I guess?"
