id,name,text,trans
3008022020010,咲耶,──いい天気だ,"──What nice weather. "
3008022020020,咲耶,風も……暖かくて気持ちがいい,"And with that breeze... it feels so warm and pleasant. "
3008022020030,霧子,うん……とっても……,Yes... it's very nice......
3008022020040,霧子,あ……ハルジオンさん……,Ah... Philadelphia fleabanes......
3008022020050,咲耶,やあ、可憐だね,"Wow, how lovely. "
3008022020060,咲耶,その白い花……そんな名前なんだね,So that's what these white flowers are called......
3008022020070,霧子,"ヒメジョオンさんっていう……
よく似たお花もあるんだ……","There's another very similar-looking flower... 
Called a daisy fleabane, too......"
3008022020080,咲耶,"へぇ
よく見かけるけど、知らなかったよ","Oh? I see these flowers all the time, 
but I never knew that. "
3008022020090,咲耶,"──ここは霧子とも何度も通ったのに
この話をしたのも初めてだね","──We've been here countless times together,
but this is the first time we've talked about this, 
you know."
3008022020100,霧子,"ふふ……
そうかも……？","Hehe......
Is that so......?"
3008022020110,咲耶,やぁ、心臓破りの階段がおいでだ,"Oh, here comes the Staircase of Death. "
3008022020120,霧子,"……
いつも……ここに来るとね……","............
Every time... we reach this part......"
3008022020130,霧子,心の中で……えいえいおーって……,"I always say a little... ""Hey, hey, hoh!"" in my heart......"
3008022020140,咲耶,そんなに可愛らしいことをしてたの？,You've been doing something that cute all this time?
3008022020150,霧子,え……,Huh......?
3008022020160,咲耶,じゃあ、今日は一緒にやろうか,"Then, today let's do it together. "
3008022020161,咲耶＆霧子,えい、えい、おー！,"Hey, hey, hoh—!"
3008022020170,霧子,……,......
3008022020180,咲耶,最初にためた気合いは、切れちゃったみたいだね,"It appears that the fighting spirit we 
started with has all worn off, now."
3008022020190,咲耶,"急ぐ必要はない
ゆっくりいこう","There's no need to rush. 
Let's take it slow. "
3008022020200,霧子,"何度も……上ったのに……
すいすい……行けなくて……","No matter how many times... we climb these steps...
We can never... make it smoothly......"
3008022020210,咲耶,"仕方ないさ
結構な段数だから","There's no helping that. 
There are quite a few steps here, after all. "
3008022020220,咲耶,…………何度、この階段を上り下りしただろう,"............I wonder how many times 
we've gone up and down these stairs. "
3008022020230,霧子,"────たくさん……
数えきれないかも……","────A lot...... 
Maybe too many to count......"
3008022020240,霧子,"アンティーカのみんなとも……
上ったね……","We've climbed them with... 
the rest of L'antica, too......"
3008022020250,咲耶,"ああ。ひとりでも上ったこともあるし
みんなと出会う前にも","Yes. And there were times we climbed alone, too. 
Before we'd met everyone else. "
3008022020260,咲耶,"でも、一番に思い出すとしたら
みんなと笑いながらここを通った時だろうな","But, the time I remember the best is when we 
passed through here with everyone, laughing. "
3008022020270,霧子,わたしも……,Me too......
3008022020280,咲耶,────ねぇ、霧子,"────Say, Kiriko. "
3008022020290,咲耶,"私たちは、きっとすごく濃い時間を過ごしてる……
そう思わないかい","The time we spend together is incredibly 
deep and fulfilling...... don't you think?"
3008022020300,咲耶,家族とも……学校の友人ともまた違う時間を,"It's different from the kind of time you spend 
with family... or with friends from school. "
3008022020310,霧子,"うん──
そうだね……","Yes──
I think so......"
3008022020320,咲耶,…………かつて、私たちがここにいなかったように,"............Just like how, once, 
there was a time when we weren't here. "
3008022020330,咲耶,"いつか、ふたりとも
ここを通らなくなる日が来るだろうか","Will there come a day when neither 
of us pass through here anymore?"
3008022020340,霧子,………………,.....................
3008022020350,霧子,"咲耶さん……
この階段を上った……先の景色……","Sakuya-san......
The view we see... from atop these stairs......"
3008022020360,霧子,覚えてる……？,Do you remember it?
3008022020370,咲耶,ああ、覚えているよ,"Yeah, I do. "
3008022020380,咲耶,……いや、細部は少し曖昧な気もするな,"......Although, the details are a bit fuzzy. "
3008022020390,霧子,"そうだね……忘れちゃう……
でも──","Yeah... we forget......
But──"
3008022020400,霧子,"カーブの先に……
海が見えたみたいに……","Just beyond the curve... 
it's like seeing the ocean......"
3008022020410,霧子,"この階段を上りきったら……
開けた景色が……あって……","Once we reach the top of the stairs... 
there's a wide, open view......"
3008022020420,霧子,"わぁって……思う瞬間が……
いつも……待っててくれてる────","That moment... that makes you think ""wow""......
It's always... waiting for us────"
3008022020430,咲耶,──ああ、そうだね,"──Yeah, you're right."
3008022020440,咲耶,"それは────きっと私を
今とは少し違う場所に……輝ける場所に連れていってくれる","I'm sure────that will bring me to a place a little 
different from this one... one where I can shine."
3008022020450,咲耶,そう……思えるようになったんだ,"That... is what I believe now. "
3008022020460,咲耶,霧子と……みんなに出会ってから,"Because I met you... and all the others. "
3008022020470,霧子,わたしも……,Me too...
3008022020480,霧子,考えたこともなかった……,I'd never thought about it before......
3008022020490,霧子,"こんなふうに……咲耶さんと……
階段を……何度も上ったりすること……","Climbing these stairs with you... 
countless times... just like this......"
3008022020500,咲耶,ああ,"Yeah. "
3008022020510,咲耶,"ほんの数年前には
想像もしていなかった","Just a few years ago, 
this was unimaginable to me. "
3008022020520,咲耶,でも、そんなふうに,But in that same vein...
3008022020530,咲耶,"私たちのこれからは
ほんの数年でがらりと変わったりするのかもしれないね","Our futures may completely change 
in the next few years alone. "
3008022020540,霧子,………………,.....................
3008022020550,霧子,大丈夫……,It's okay......
3008022020560,霧子,"咲耶さんは……どんな時も……
この瞬間を……",No matter what... you can always......
3008022020570,霧子,ポケットから……取り出せる……,Just take this moment... out of your pocket......
