id,name,text,trans
6004001020010,恋鐘,うちの『W.I.N.G.』はここまでやったばい……,My W.I.N.G. stops here...
0000000000000,プロデューサー,恋鐘……,Kogane...
6004001020020,恋鐘,"ここまできたアイドルだけあって
やっぱりみんな強かねー","It was only idols who had come this far, so 'course 
everyone was strongー"
6004001020030,恋鐘,"うちも自信あったんやけど、上には上がおるってことやね
みんなすごかー……うちもまだまだたい……","I had confidence in myself but, it was the best of 
the best. Everyone's amazin'... I still want..."
0000000000000,プロデューサー,"上には上…か、だけどそんなアイドルたちと
同じステージに立った恋鐘も十分すごいアイドルだ","The best of the best... but you stood on that stage 
and held your own as an amazing idol."
6004001020040,恋鐘,プロデューサー……,Producer...
6004001020050,恋鐘,"でも、せっかくここまで来れたんやけん
やっぱり勝ち上がりたかったばい……","Still, after comin' this far I wanted to win, of 
course..."
0000000000000,プロデューサー,"恋鐘……今日はステージで全力を出して疲れただろう
事務所に帰って、今は休もう","Kogane... I'm sure you're worn out after giving 
everything you had on stage today. Let's go back 
to the office and rest for now."
6004001020060,恋鐘,"うん、ありがとー
ちょっと休憩したら、うち、また頑張るけんね！","Mhm, thanksー A little break, an' then, I'll keep givin' 
mah best!"
info,produce_events/600400102.json,
Translator,,
