id,name,text,trans
6004001040010,恋鐘,うちの出番、もうすぐやね……！,It’s almost my turn...!
6004001040020,恋鐘,"よし、うちの最高のパフォーマンスば見せて
完全優勝するたい！"," ‘kay, Imma show ‘em what I can do and get a total victory!"
0000000000000,プロデューサー,やる気充分だな、恋鐘,"You’re quite fired up, Kogane."
6004001040030,恋鐘,"うん！
見てる人みんなに最っ高のうちを届けるけん……",Yeah! I’ll show the people seein' me the best side of myself...
6004001040040,恋鐘,"プロデューサーも
一瞬でもうちから目を離したらいかんよ！","An' ya gotta keep an eye on me all the time too, Producer!"
0000000000000,プロデューサー,ああ、ちゃんと見てるよ,"Sure, I’ll watch you closely."
0000000000000,プロデューサー,"ここまできた恋鐘なら、きっと決勝も勝てる
俺は恋鐘の実力を信じてるよ","I’m sure you’ll win the finals the way you’re now, Kogane. I believe in your true potential."
6004001040050,恋鐘,"んふふ、当たり前っちゃよ
うち、出し切ってくるけんね！","Fufu, ain’t it obvious?! Imma give a blast!"
6004001040060,恋鐘,よぉーし、やったるばい！,"‘kay, I’m going!"
info,produce_events/600400104.json,
Translator,,,Takeshi97 (For JonnyPlent)
