id,name,text,trans
6022002030010,小糸,…………,......
0000000000000,プロデューサー,それ、いつも持ち歩いてるのか？,Do you always carry those around with you?
0000000000000,プロデューサー,"……ファンレターだよな？
小糸宛の","...It's all the letters from your fans, 
isn't that right?"
6022002030020,小糸,え、あ……はい,"E-Eh, ah...yeah."
6022002030030,小糸,"こ、こうやって送ってくれた気持ちに
ちゃんと応えられるような","I-If I carry them around with me like this,
I feel like I can respond properly to their feelings...or something like that."
6022002030040,小糸,そんなステージにしたいなって……,I want to stand on stage...with those feelings in mind...
0000000000000,プロデューサー,……うん、そうだな,"...I see, that's right."
0000000000000,プロデューサー,"この先、小糸が抱えきれないくらいの
ファンレターをもらって、全部持ち歩けなくなったとしても","I'm sure there will come a time you'll get so many letters you 
won't be able to carry them all at once."
0000000000000,プロデューサー,その気持ちは、ずっと持っていような,"I hope even when that time comes, you can always hold onto those feelings."
6022002030050,小糸,"…………
何言ってるんですか、プロデューサーさん","...
What're you saying, Producer-san!"
6022002030060,小糸,そんなの、当たり前じゃないですか……！,"O-Of course, that much is obvious...!"
info,produce_events/602200203.json,
Translator,ema,
