id,name,text,trans
0000000000000,プロデューサー,──小糸、そろそろ上がろう\nだいぶ疲れも溜まってるだろ……？,"──Koito, let's stop soon. Aren't you feeling very tired by now...?"
1022001050010,小糸,いえ、今日はもう少しだけ……\n帰り、遅くなるって言ってあるので,"No, I'll do just a bit more today...
I said that I'd be getting home late."
0000000000000,プロデューサー,……じゃあ、\n終わるまでここにいていいか,"...Then, is it okay if I stay here until you're done?"
1022001050020,小糸,はい、もちろん\nいいですよー！,"Yes, of course that's fine!"
1022001050030,小糸,……見てても退屈かもしれないですけ──,...Watching might be boring thou──
1022001050040,小糸,わっ……！,Wah...!
0000000000000,プロデューサー,小糸！　だ、大丈夫か！？,Koito! A-Are you alright!?
1022001050050,小糸,えへへ……転んだだけですから！\nわたしは平気ですよー,"Ehehe... I fell down, that's all! I'm alright."
0000000000000,プロデューサー,けど──,But──
1022001050060,小糸,止めないでくださいね、プロデューサーさん,"Please don't stop me, Producer."
0000000000000,プロデューサー,…………,...
1022001050070,小糸,──『努力ができるってことも、\n特別な才能のひとつだ』,"──""Putting forth effort is an extraordinary talent in itself."""
1022001050080,小糸,プロデューサーさんがそう言ってくれて\nわたし……嬉しかったです,"When you told me that, I... was happy."
0000000000000,プロデューサー,……うん,...Yeah.
1022001050090,小糸,もしプロデューサーさんが\n言ってくれたとおりなら……,If it's like you said...
1022001050100,小糸,わたし、できるところまでやってみたいです,I want to do everything I can.
1022001050110,小糸,……本当に、わたしまだ、頑張れます\nお願いします,...I really can keep working hard. Please.
0000000000000,プロデューサー,…………わかった\nだけど、無理だけはしないように,"...Understood. But, make sure you don't push yourself to hard."
1022001050120,小糸,はい……！\nえへへ、ありがとうございます,"Yes...! Ehehe, thank you."
0000000000000,プロデューサー,…………やっぱり、小糸はすごいな,...You really are amazing.
1022001050130,小糸,ぴぇ……！？\nな、何がですか……,Pyeh...!? Wh-What about me...
0000000000000,プロデューサー,そこまで頑張れるのが、だよ,The fact that you work that hard.
1022001050140,小糸,………………,...
1022001050150,小糸,プロデューサーさんも知ってのとおり……\nわたし、勉強ばっかりしてきました,As you know... all I did was study.
1022001050160,小糸,昔……もっと小さい頃は、みんなが遊んでる時\nどうして自分だけって思ったりもしたんですけど,"Back then... when I was younger, I had moments when I wondered why it's just me when everyone else was playing."
1022001050170,小糸,でももしかしたらそれは、今こうやって\n誰よりも頑張るための練習だったのかもしれないなって,But maybe that was practice for what I'm doing now and working harder than anyone else.
0000000000000,プロデューサー,…………うん,...Yeah.
1022001050180,小糸,レッスン室に来る時とか、帰りのバスとか\n夜寝る前とか……考えて……,"When I come to the lesson room, take the bus home, and before I sleep at night... I think..."
1022001050190,小糸,きっと無駄なことなんてなかったんだって……\n──えへ……そう思いたいだけなんですけど,"I'm sure that all wasn't for nothing...
──Ehe... I just want to believe that."
0000000000000,プロデューサー,いや、きっと\n小糸の言うとおりだよ,"No, it's definitely as you say."
0000000000000,プロデューサー,今までのことも、こうして練習してることも\nこうやって話してくれたことも,"Everything up until now, when you're practicing like this, and when we're talking like this."
0000000000000,プロデューサー,無駄なことなんてひとつも無い,Not a single one of those is for nothing.
1022001050200,小糸,……そうですよね,...You're right.
select,,ああ、\n間違いないよ,"Yes, there's no
doubt about it."
select,,さあ、レッスン\n再開しよう,"Now let's resume
the lesson."
select,,小糸は\n大丈夫だよ,You're alright.
0000000000000,プロデューサー,プロデューサーの保証付きだ,It's a producer's guarantee.
1022001050210,小糸,……えへへ、なんですかそれ……,"...Ehehe, what the heck's that mean..."
0000000000000,プロデューサー,そうだな……小糸が迷ったり、\n不安に思った時があったらさ,Let's see... whenever you're ever worried that you've lost your way.
0000000000000,プロデューサー,いつでも『無駄なことなんてひとつも無い』\nって、小糸に伝えるよ,"I'll tell you that ""not a single thing is useless"", every time."
1022001050220,小糸,それは……,That's...
1022001050230,小糸,それは、とっても素敵ですね……！,That's so wonderful...!
0000000000000,プロデューサー,小糸が頑張れるところまで\n付き合うからさ,"I'll walk along with you, where you can work hard."
1022001050240,小糸,……はい,...Okay.
0000000000000,プロデューサー,それで、小糸が納得できる……\n一番いい姿を披露できたら、嬉しいよ,"In addition, if I can understand you... and you can show your best self, it'd make me happy."
1022001050250,小糸,はい、わたしも……\nそうなったら、とっても嬉しいなって……,"Yes, me too... that would make me really happy..."
1022001050260,小糸,あ、……いえ！\nよゆーですよ、任せてください！,"Ah... no! This is nothing, leave it to me!"
0000000000000,プロデューサー,はは、そうだったな,"Haha, that's right."
1022001050270,小糸,ちょっとー！　笑いましたね！？\nプロデューサーさんってばー！,"Hey! You're laughing, aren't you!? C'mon, Producer!"
0000000000000,プロデューサー,でも、もし小糸がそう思えない時は\nいつでも相談してくれ,"But if there's ever a time when you don't think so, please discuss it with me."
1022001050280,小糸,プロデューサーさん\nわたし……頑張ってるって思いますか？,Producer. Do... you think I'm working hard?
0000000000000,プロデューサー,ああ、もちろん,"Yes, of course."
1022001050290,小糸,わたしも、ちょっとだけ……,"I think so too, just a little..."
1022001050300,小糸,いつもより、ちょっとだけ\n……すごく、頑張ってるなって思います,"I've started to work a lot... more than usual, I think."
0000000000000,プロデューサー,……ああ,...Yes.
1022001050310,小糸,ま、まあ！\nこのくらいなんてことないんですけどね！,"W-Well! This much is nothing, though!"
info,produce_events/102200105.json,
译者,,
