id,name,text,trans
2022005110010,小糸,"──プロデューサーさん
遅いですよー！","Producer,
You are so slowー!"
0000000000000,プロデューサー,ま、待ってくれ……！,W-Wait for me...!
0000000000000,プロデューサー,"運動不足に
この階段は……結構キツイ……！","For someone out of shape...,
These stairs are really making me tired...!"
2022005110020,小糸,"もう、プロデューサーさんが初詣まだだから
付き合ってくれって言ったんですよ？","Geez...Wasn't it you who asked me to tag along
because you haven't made your New Year's shrine 
visit?"
0000000000000,プロデューサー,そうだけどさ……！,"Yeah, I know, but still...!"
2022005110030,小糸,"そ、そんなんじゃ
わたし、先に行っちゃいますよ……！","W-Well if that's how it is,
I am going to go ahead without you."
0000000000000,プロデューサー,"……小糸、体力づくりの
結果が出てきたみたいだな……","...Koito, seems like your training is starting to pay off..."
2022005110040,小糸,"えっへん！
このくらいよゆーですよ！","Ehehe!
This much is nothing!"
2022005110050,小糸,"ほら、あと10段で到着です！
もう見えてますよ……！","Come on, just 10 more steps and we're here!
You  can already see it...!"
0000000000000,プロデューサー,お、おう……！,Oh...!
0000000000000,プロデューサー,………………,...............
2022005110060,小糸,"……？
どうしたんですか、プロデューサーさん","...?
What's wrong, Producer?"
2022005110070,小糸,な、なんかきょろきょろしてますけど……,Y-you're kind of looking around everywhere though...
2022005110080,小糸,"あ、そっか……
お、お手洗いなら確か──","Ah, I see...
I-If it's the restroom, then I think──"
0000000000000,プロデューサー,いや、そうじゃなくて……,"No, it's not that..."
0000000000000,プロデューサー,"──お、あった
ここだ","Oh, there it is. Look at this"
2022005110090,小糸,……！,...!
2022005110100,小糸,"こ、これ……
わたしの載ってる、パンフレット……！","T-this is...
The pamphlet I appeared in...!"
0000000000000,プロデューサー,"ああ、事務所にも届いてたんだけど
実際にこうやって貰いに来るのも、いいかと思って","Yeah, they sent some to the office too, but I 
thought it'd be nice to actually come and see it in 
person like this."
2022005110110,小糸,"わ……！
ちょ、ちょっと中見てもいいですか……！",Whoa...! C-Can I take a quick look?
0000000000000,プロデューサー,"おう、小糸のコメントも載ってるし
……あの子のも、載ってるよ","Yeah, go ahead, 
your comment and that girl's too are in here"
2022005110120,小糸,…………！,...!
2022005110130,小糸,"……『──13歳、かつて子役として活躍
現在はモデルとしても活動中』","""──At 13 years old. Once active as a child actress, now 
also working as a model."""
2022005110140,小糸,"『子役の頃からずっと小さな目標をいくつも立てて、
ひとつずつクリアしていくようにしています』","""Ever since my child actress days, I've always set 
many small goals and worked my way on clearing them 
one by one"""
2022005110150,小糸,"『モデルとしての活動もその連続
もちろん、演技のレッスンも続けています』","""My work as a model is also a part of that same 
process.
Of course, I'm also continuing my acting lessons."""
2022005110160,小糸,『いつか世代を代表する女優になる』,"""Someday, I'll become an actress who will represent 
my generation"""
2022005110170,小糸,"『今は大きな目標ですが、それも
いつか小さな目標のひとつになると思っています』","""Right now, it seems like a big goal, but I believe 
that someday it will just become one of the small 
goals along the way."""
2022005110180,小糸,"『だからこれは、
神様にお願いする必要は無さそうですね』","""So it looks like this isn't something I need to ask God 
to help with"""
0000000000000,プロデューサー,……だそうだ,That's what it says
2022005110190,小糸,──なんだ…………,Well...
2022005110200,小糸,"やっぱり
……すごいなぁ","As I thought, she really is amazing."
0000000000000,プロデューサー,小糸が知りたがってたこと、知れたか？,"Did you find out what you wanted to know, Koito?"
2022005110210,小糸,…………はい,...Yes.
2022005110220,小糸,"ありがとうございます
プロデューサーさん","Thank you so much, Producer."
0000000000000,プロデューサー,"──よし、
じゃあお参り行くか！","Okay,
Let's go visit the shrine and pray!"
2022005110230,小糸,"あ、そ、そうでした
お参りしないと……！","Ah, r-right!
We need to go and pray!"
0000000000000,プロデューサー,小糸は何をお願いするんだ？,What are you going to wish for?
2022005110240,小糸,"え、えっと……
み、みんなの健康は前にもお願いしたので","U-Um, s-since I already prayed for everyone's health 
before..."
2022005110250,小糸,べ、別のがいいんですかね……！,I-I don't really need anything else...!
0000000000000,プロデューサー,うーん、そうだな,"Hmm, well."
0000000000000,プロデューサー,"せっかく来たんだし、
別のことをお願いしてもいいんじゃないか？","Since we already came all this way, why not
make another wish?"
2022005110260,小糸,…………じゃ、じゃあ,...Th-Then.
2022005110270,小糸,"世界中のみんなに元気を
あげられるアイドルになれますように……とか……","I-I hope I can become an idol who can cheer up 
people all around the world... or, something..."
2022005110280,小糸,で、ですかね……,"S-something like that, maybe..."
0000000000000,プロデューサー,…………！,...!
0000000000000,プロデューサー,"はは、そうか
そうだなぁ……！","Haha, I see.
Is that so...!
"
2022005110290,小糸,"え……あ……や、やっぱり
大きいこと言い過ぎましたかね……","Eh... ah... D-Did I end up wishing something too big 
after all?"
0000000000000,プロデューサー,"いいや
すごく大きな目標ではあるけど……","Not at all. It is a really big goal, but..."
0000000000000,プロデューサー,神様に願う必要は、無いかもな,You might not need to ask God for that.
info,produce_events/202200511.json,
Translator,lei,
