id,name,text,trans
3022003020010,小糸,"ひ、雛菜ちゃん
まだかな……！","H-Hinana-chan
isn't here yet…?"
3022003020020,円香,遅れてくるでしょ、どうせ,We'll definitely be late now.
3022003020030,小糸,な、何か連絡来てた？,H-Have you heard anything from her?
3022003020040,円香,来てない,Nothing.
3022003020050,小糸,"そ、そっか
でも約束の時間までもうちょっとあるし……！","R-Right…
It's not the time we promised to meet yet, she'll show up…!"
3022003020060,円香,……,…...
3022003020070,透,うん,Mhm.
3022003020080,小糸,プ、プール楽しみだね！,I-I'm so excited for the pool!
3022003020090,小糸,"室内プールなら涼しいし、
日焼けもしないしいいよね……！","Indoor pools are great...
they're cooler and you don't get sunburned…!"
3022003020100,透,ふふっ,Fufu.
3022003020110,小糸,"わたし、大きい浮き輪も
持ってきたよ！","Oh, and I brought
a big floatie!"
3022003020120,小糸,ふたりくらい入れるかも！,I bet two of us could fit on it!
3022003020130,透,"いいね
浮きたい","Awesome. 
I wanna float."
3022003020140,小糸,あはは……,Ahaha…!
3022003020150,円香,──盛り上がってるけど,ーSorry to ruin the excitement.
3022003020160,円香,"今日、臨時休業だって
プール","Looks like it's closed today, 
the pool."
3022003020170,小糸,え……！,Huh…!
3022003020180,円香,サイトに載ってた,Says so on the website.
3022003020190,円香,"まあ、出発する前に気付いて
よかったんじゃない","Good thing we noticed 
before we left."
3022003020200,小糸,そ、そうなんだ……,"A-Ah, right..."
3022003020210,雛菜,おはよ～～～！,Mooorning～!
3022003020220,雛菜,"あ、みんないる！
早くプール行こう～～～！","Ah, everyone's here!
Let's gooo, hurry～ !"
3022003020230,小糸,ひ、雛菜ちゃん……！,H-Hinana-chan…!
3022003020240,透,"今日
プールやってないって","Looks like we can't. 
Go to the pool today."
3022003020250,雛菜,へ～？,Ehhh～?
3022003020260,透,臨時休業で,Closed temporarily.
3022003020270,雛菜,"え～～～！
そうなの～～～！？","Huh～!
No way, really～!?"
3022003020280,雛菜,"雛菜、もう中に水着
着てきたのに～……","Hinana's already wearing a swimming
costume and everything～..."
3022003020290,小糸,"ざ、残念だけど
仕方ないよね……","I-It's a shame but…
I guess there's not much we can do."
3022003020300,雛菜,じゃあ他のプールは～？,What about a different pool～?
3022003020310,小糸,"えっと……
屋外プールならあるかも？","Let's see…
there might be an outdoor pool open?"
3022003020320,円香,……小糸は日焼けしてもいいの？,"...Is it really okay if you get burnt, Koito?"
3022003020330,小糸,あ、そっか……,O-Oh yeah...
3022003020340,小糸,"日焼けしたら、プロデューサーさんに
怒られちゃうかな……","If I get sunburned...
Producer-san might be angry with me..."
3022003020350,小糸,…………,…...
3022003020360,円香,別に今日行かなくたって,It doesn't have to be today.
3022003020370,円香,"……また
いつでも行ける","...We can go again
any time."
3022003020380,小糸,う、うん……,Y-Yeah...
3022003020390,雛菜,"え～～～！
雛菜今日がプールの気分だった～","Ehhhh～! 
But Hinana was in the mood for the pool today～"
3022003020400,円香,…………,......
3022003020410,透,……室内か,"...Inside, huh."
3022003020420,透,やる？,How's this?
3022003020430,小糸,え……──！,Eh...─!
3022003020440,小糸,こ、これ……！,T-This is…!
3022003020450,透,"とってあった
物置に","We had these. 
In storage."
3022003020460,円香,……はぁ,…*sigh*
3022003020470,雛菜,"あは～
透先輩さいこ～♡","Aha～
You're the best, Toru-senpai～♡"
3022003020480,小糸,"と、透ちゃんいいの！？
お部屋の中でこんな……！","T-Toru-chan, is this okay!? 
Using these in your room like this…!"
3022003020490,透,え、だって,"Eh, well."
3022003020500,透,室内プールでしょ？,"It's an indoor pool, right?"
info,produce_events/302200302.json,
Translator,ema,
