id,name,text,trans
3022006010010,小糸,──ま、円香ちゃん……！,M-Madoka-chan...!
3022006010020,円香,…………？,...?
3022006010030,小糸,円香ちゃん、おはよう……！,"Madoka-chan, good morning!"
3022006010040,小糸,"歩いてたら、
後ろ姿……見つけたから……！","I was walking 
and spotted you from back there...!"
3022006010050,円香,"おはよう
走ってこなくてもいいのに","Morning. 
Though you really didn't have to run."
3022006010060,小糸,"あ……
そ、そうだよね……ごめんね","Ah...
R-right...sorry!"
3022006010070,小糸,"円香ちゃんがいるって思って
つい……！","I just thought you might be here
so...!"
3022006010080,円香,…………,......
3022006010090,小糸,"今日、透ちゃんと
一緒じゃないんだね……！","You're not with 
Toru-chan today?
"
3022006010100,円香,……コンビニ寄ってくって,She had to go to the store.
3022006010110,小糸,そっか……！,Oh right...!
3022006010120,円香,"そもそも
一緒に行ってる訳じゃないし","It's not like we're always together
anyway."
3022006010130,円香,"家が隣で同じような時間に出発するから
一緒になるってだけ","We're next-door neighbours so we leave at the same time. 
That's all."
3022006010140,小糸,"そうなの？
……や、約束してるんじゃないんだ……","Oh, really?
...S-So it wasn't like you'd promised something then..."
3022006010150,小糸,……でも、いいな……,"...But still, that sounds nice..."
3022006010160,円香,…………,......
3022006010170,小糸,ま、円香ちゃんはいつもこの時間？,A-Are you always here around this time?
3022006010180,円香,まあ、大体はね,"Yeah, pretty much."
3022006010190,小糸,"そうだよね……
あ、あの……","R-Right...!
U-Um..."
3022006010200,小糸,"わたしも今度から
同じくらいの時間に来ようかなー……とか","I-I was thinking...
Maybe I should start coming here around this time too..."
3022006010210,小糸,お、思ってたりして……,or something...?
3022006010220,円香,……何、許可が欲しいの？,...Are you asking for my permission?
3022006010230,円香,小糸の好きにしたら,"You can do what you like, Koito."
3022006010240,小糸,ほ、ほんと……！,R-really...?!
3022006010250,円香,"……でも、小糸は
いつももっと早く出てるでしょ","...But, 
Don't you always leave a lot earlier?"
3022006010260,小糸,え、あ……うん,"U-Uh, y...yeah."
3022006010270,円香,無理して合わせなくてもいいと思うけど,I don't think you should force it though.
3022006010280,小糸,"う、うん……
そうなんだけど","Y-yeah...
I know, but..."
3022006010290,小糸,………………,......
3022006010300,小糸,"……中学の時は、学校遠かったから
早く行ってて","I started leaving earlier in middle school, 
since I was living pretty far away."
3022006010310,小糸,"高校に入ったのに
つい、その時間に家を出ちゃうから","I got so used to it that now I'm in high school, 
I still leave at the same time..."
3022006010320,小糸,"そ、それだと……
ちょっと、早く着きすぎちゃうし……","S-So now...
I end up arriving way too early..."
3022006010330,小糸,"だ、だからその、もうちょっと
ゆっくり行こうかなって思ってて……","I-I was thinking of maybe
taking it a little slower from now on..."
3022006010340,円香,…………,......
3022006010350,小糸,"や、約束とかじゃなくて
円香ちゃんたちみたいに……","N-Not like a promise or anything, but
kinda like all of you..."
3022006010360,小糸,その、一緒に…………,Y'know...together......
3022006010370,円香,……ふうん,...Hm.
3022006010380,円香,"じゃ、いいんじゃない？
このくらいの時間で","Then, it's fine isn't it?
To meet around this time. "
3022006010390,円香,遅くも早くも無いくらいだし,It's not too late or too early anyway.
3022006010400,小糸,……！,...!
3022006010410,小糸,"う、うん……！
そうしようかな","Y-Yeah...!
Let's do that then!"
3022006010420,小糸,"えへへ……
ありがとう……！","Ehe...
Thanks...!"
3022006010430,円香,別に、私は何もしないんだけど,I didn't really do anything though.
3022006010440,小糸,それは……！,That's...!
3022006010450,小糸,そう、かもしれないけど……,"W-Well, that might be true but..."
3022006010460,小糸,…………,......
3022006010470,円香,…………,......
3022006010480,小糸,え、あ……えっと……,A-Ah...U-Um...
3022006010490,小糸,"さ、桜……！
満開だね！","T-The cherry blossoms!
They're in full bloom already huh!
"
3022006010500,小糸,昨日より、よく咲いてる気がする！,They look even better than yesterday!
3022006010510,円香,そう？,Really?
3022006010520,円香,"そんなちゃんと見てないし
よくわかんないけど","I don't pay much attention to them
so I wouldn't know..."
3022006010530,小糸,…………,......
3022006010540,円香,……けど,...But
3022006010550,円香,小糸がそう言うなら、そうなのかもね,"If you say so, Koito, then it must be true."
3022006010560,小糸,"……！
うん……！","...! 
Y-Yeah...!"
3022006010570,小糸,絶対そうだよ……！,I'm pretty sure of it...!
info,produce_events/302200601.json,
Translator,ema,
