id,name,text,trans
3022009030010,小糸,…………,....
3022009030020,小糸,……すごいなぁ……,... This is amazing...
3022009030030,小糸,"…………
わたしのは…………",".......
Mine is...."
3022009030040,透,……あれ,... Hm?
3022009030050,透,小糸ちゃん,Koito-chan.
3022009030060,小糸,…………！,......!
3022009030070,小糸,透ちゃん……！,Toru-chan...!
3022009030080,小糸,ま、まだ帰ってなかったんだ……！,Y-you haven't gone home yet...!?
3022009030090,透,うん,Yeah.
3022009030100,透,小糸ちゃんも,You too.
3022009030110,小糸,"う、うん……
ちょっと……これ見てて","Y-yeah...
Could you look at this for a moment?"
3022009030120,透,……？,...?
3022009030130,小糸,"この間描いてた……美術の課題のやつ
今日、貼り出されたから","The art assignments we were working on the other 
day...
They are displayed now."
3022009030140,透,……おー,Ohー
3022009030150,透,"やばいね
これ",That's kinda cool.
3022009030160,小糸,う、うん……,"Y-yeah. "
3022009030170,小糸,"ひ、雛菜ちゃんが描いた透ちゃん
すごい目立ってるよね……","T-The drawing Hinana made with you in it, Toru-chan
It really stands out, doesn't it...?"
3022009030180,小糸,"風景って言ったのに
結局透ちゃんのアップだし……","Even though it is supposed to be a landscape 
drawing, she ended up drawing a close-up portrait of
you...."
3022009030190,小糸,い、いいのかな……,I wonder if it's actually okay at all to do that.
3022009030200,透,……ふふっ,...Fufuー
3022009030210,透,どうだろ,Who knows?
3022009030220,小糸,で、でも絵、上手だし……,"But the drawing is really good, so...."
3022009030230,小糸,"…………
他の人とは違うっていうか……","......
It's kind of different from everyone else's."
3022009030240,小糸,す、すごいよね……,It looks amazing....
3022009030250,透,……,...
3022009030260,透,『浅倉透／市川雛菜』だって,"The title here says ""Asakura Toru / Ichikawa Hinana"""
3022009030270,小糸,"……ど、どっちがタイトルでどっちが名前か
わかんないね",I-I can't tell which is the title and which is the author's name.
3022009030280,透,んー,Hmmー
3022009030290,透,小糸ちゃんは？,"What about you, Koito-chan?"
3022009030300,小糸,え……？,Huh...?
3022009030310,透,どれ？,Which one is yours?
3022009030320,小糸,……え、えっと…………,U-Uhmm....
3022009030330,小糸,そ、そこの……,T-that one....
3022009030340,透,……？,....?
3022009030350,小糸,"……あ、あの
ご、ごめんね……！","U-uhmm....
I-I'm sorry...!"
3022009030360,小糸,"せ、せっかく
みんなを描かせてもらったのに……",E-even though you all let me draw you...
3022009030370,小糸,"……全然
上手く描けなくて……",I couldn't do it well at all...
3022009030380,透,……,.....
3022009030390,小糸,"か、描いてる時は、ちょっと
雰囲気とかは……表現できたかなって思ったんだけど","When I was drawing, I thought maybe
I'd managed to capture a bit of the atmosphere, but..."
3022009030400,小糸,"こうやってみんなの絵と並んでると
全然、上手じゃないっていうか……","When the painting is up with everyone else's here.
It really doesn't look good at all..."
3022009030410,小糸,"わたしのは
普通で、ありきたりだなって……","My painting is just
ordinary and kind of bland..."
3022009030420,透,……,.....
3022009030430,透,『みんなと／福丸小糸』,"""Together with Everyone / Fukumaru Koito"""
3022009030440,小糸,…………,.....
3022009030450,透,ふふっ,Fufu-
3022009030460,透,いいよ,It's nice.
3022009030470,小糸,……！,....!
3022009030480,透,グー,Good-
3022009030490,小糸,"……！
そ、そうかな……？","....!
You really think so....?"
3022009030500,透,うん,Yeah.
3022009030510,小糸,……そ、そっか……,I-I see....
3022009030520,小糸,…………,.......
3022009030530,小糸,"透ちゃんがそう言うなら
そうなのかも……！","If you say so, Toru-chan
then maybe it really is...!"
info,produce_events/302200903.json,
Translator,lei,
