id,name,text,trans
0000000000000,プロデューサー,"円香、これ……いつもお世話になってるからさ
クリスマスプレゼントとして受け取ってくれ","Hey Madoka, This... is a Christmas present to thank
you for always working so hard. Please accept it."
4901035820010,円香,"相変わらずまめですね
あなたも──……","Can't change your spots? Committed as ever, huh.
You should just──......"
0000000000000,円香,………………,.........
4901035820030,円香,"────なんで、手ぬぐい……？
……どのあたりがクリスマス……？","────A hand towel? Why......?
...How exactly is this for Christmas......?"
4901035820040,円香,"いや別になんでもいいけど……
だからってなんで……豆しぼりの手ぬぐい……豆……","It doesn't really matter what I receive, but......
Of all things, why a hand towel with... a spotted
design...... spotted......"
4901035820050,円香,"……あ、『まめだから』とかそういう駄洒落？
まさかツッコミ待ち？　うわ、めんど…………","...Ah, because you ""can't change your spots”?
Were you expecting me to call you out?
Argh, what a pain......"
4901035820060,円香,……とりあえず、ありがとうございます,"......Anyways, thank you."
0000000000000,プロデューサー,はは、気軽に使ってくれ！,"Haha, feel free to use it!"
info,special_communications/490103582.json,
Translator,Mycstea,
