id,name,text,trans
0000000000000,プロデューサー,ただいま戻りました──,"Hello everyone, I'm back──"
4901043210010,円香,…………,.........
0000000000000,プロデューサー,"（円香……寝ちゃってるのか…… 
こんなところで寝るなんて、珍しいな）","(Madoka's...... dozed off, huh......
It's not often she'd nap here)"
0000000000000,プロデューサー,（起こそうか、どうしたものか……）,(Should I wake her? What should I do......)
0000000000000,プロデューサー,……円香,......Madoka.
4901043210020,円香,…………,............
0000000000000,プロデューサー,あっ、虫──！,"Oh no, a bug──!"
0000000000000,プロデューサー,（円香の方に────）,(And it's flying towards Madoka────)
4901043210030,円香,…………っ！,.........gh!
0000000000000,プロデューサー,円香、起きて────,"Madoka, wake up────"
4901043210040,円香,虫は……,Did the bug......
0000000000000,プロデューサー,"あ、ああ……
どこかへ行ったみたいだ","Ah, ahhh......
I think it flew somewhere else."
4901043210050,円香,"やっぱり、こんなところで寝るなんて
どうかしてました","I knew that sleeping here would invite trouble like
this."
4901043210060,円香,……それでは,......I'll head back.
info,mypage_communications/490104321.json,
Translator,Mycstea,
