id,name,text,trans
6021003010010,円香,……今、話すことでも無いんですが,"...Even though there's nothing to talk about,"
6021003010020,円香,"聞かなくていいんですか？
なぜ、私がエントリーしたのか","aren't you going to ask?
Why I entered, or something."
0,プロデューサー,"……
聞いてもいいのか？","...
Can I ask?"
6021003010030,円香,質問に質問で返すのはどうかと,"I'm not sure about answering a question with a
question."
0,プロデューサー,"ああ……
じゃあ教えてくれるかな","Ah...
You'll tell me then."
6021003010040,円香,嫌です,No.
0,プロデューサー,うぐ…………,Ugh......
6021003010050,円香,…………,......
6021003010060,円香,ま、なんとかなりますよ,I'll get through it somehow.
6021003010070,円香,笑っていれば,As long as I smile.
info,produce_events/602100301.json,
Translator,Mycstea,
