id,name,text,trans
0000000000000,番組MC,『────デビュー直前！　新星アイドル大集合！』,"『─Right before their debut!  An asterism of
new idols!』"
0000000000000,番組MC,"『次世代を担うスター候補、
まず紹介するのはこの子です！』","『These girls are candidates for the next generation
of stars! Let us welcome the first of many of them!』"
1021005010010,透,『……２８３プロダクションの浅倉透です』,『......I'm Toru Asakura of 283 Production.』
0000000000000,通行人,お、かわいいじゃん,"Oh, what a looker."
0000000000000,通行人,良いね、売れる予感がする,Nice. I have a feeling she'll be raking it in.
1021005010020,円香,…………,......
1021005010030,透,『────……ありがとうございます,『─... Thank you.
0000000000000,透,えっと……応援よろしくお願いします』,I'll err... appreciate your support very much.』
1021005010040,小糸,"透ちゃん、アイドルになったんだね……
すごいな……！","Toru-chan became an idol, huh...
That's amazing...!"
1021005010050,雛菜,ね、楽しそう～,Right? It sounds fun～
1021005010060,雛菜,"透先輩が所属してる事務所って
なんていうところだっけ～？","What's the agency that Toru-senpai is affiliated with
again～?"
1021005010070,小糸,え、えっと確か……,"E-erm, I think it was..."
1021005010080,円香,────２８３プロダクション,─283 Production.
1021005010090,小糸,"……！　そう、『２８３プロダクション』
雛菜ちゃん、聞いたことある？","...! Right, ""283 PRODUCTION"" huh?
Have you heard of them, Hinana-chan?"
1021005010100,雛菜,"ん～
ないかも～","Hm～
Don't think so～"
1021005010110,小糸,"そっか……
どうしてアイドルになろうって、思ったのかな","I see...
I was just wondering why she became an idol."
1021005010120,小糸,"透ちゃん、いままではそういうの
断ってたのに……","Because  she's been rejecting stuff like this until
now..."
1021005010130,雛菜,"う～ん、興味とかはなさそうだったけど
なんか、びびっときたとか～？","No idea～ Didn't seem like she had any interest
though. Maybe, it came to her all of a sudden～?"
1021005010140,小糸,そ、そうなのかな……,I-Is that so...
1021005010150,円香,……,...
1021005010160,小糸,透ちゃんが、忙しくなったら……,If Toru-chan gets busy from now on...
1021005010170,小糸,…………,......
1021005010180,円香,……ポテト、食べないならもらうけど,...I'll have the fries if you're not eating them.
1021005010190,小糸,"ぴぇ！
い、いただきます……！","Pyeh!
I-I'll have them...!"
1021005010200,雛菜,"あは～！
円香先輩、食いしん坊～","Aha～!
Madoka-senpai's a glutton～"
0000000000000,番組MC,"『────これは、出会ってしまいましたね……！
既に新人とは思えないオーラを感じます！』","『─my, what a lovely encounter...!
You wouldn't feel like she's a newcomer with the
aura she's exuding!』"
1021005010210,透,"『え、あー……
どうもでーす』","『Eh, Ah-...
Thank yous.』"
0000000000000,円香,…………,......
1021005010230,off,私はわかっていた,I've known
1021005010240,off,浅倉透は,that Asakura Toru
1021005010250,off,飛びたがっている,wanted to fly.
0000000000000,コンビニ店員,傘はいますぐお使いになりますか？,Would you be using the umbrella right now?
1021005010260,円香,はい,Yes.
0000000000000,コンビニ店員,おにぎりは温めますか？,Would you like me to warm up the onigiri?
1021005010270,円香,いいえ,No.
1021005010280,off,日常を生きるには重過ぎる,"But they're too heavy a burden to carry while living
everyday life."
1021005010290,off,その、翼で,Those wings.
0000000000000,円香の母,"おかえり、あんた聞いた？
透ちゃんがアイドルになったって────","Welcome home. Have you heard?
Toru-chan became an idol──"
1021005010300,円香,あー……、知ってる,"Ah─ ...... Yea, I know."
0000000000000,円香の母,"なんだ、そうなの
テレビに出るのかしらね……あんたもなれば？","Oh, you do?
She might appear on TV, right?... Why don't you give
it a try too?"
0000000000000,円香の母,アイドル,Becoming an idol?
1021005010310,円香,"ないでしょ
もう……ご飯後でいい、寝る","Not a chance.
Well... I wanna take a nap, so I'll have my dinner later."
1021005010320,円香,……おにぎり,...Ah. The onigiri.
1021005010330,円香,"…………
……………無理","......
.........I can't."
1021005010340,円香,────────────……,"─────...
(Why)"
info,produce_events/102100501.json,
Translator,Mycstea,
