id,name,text,trans
2021006110010,円香,つまり、恥ずかしかったんですよね,"In other words, you were embarrassed."
0,プロデューサー,恥ずかしくない,I wasn't.
2021006110020,円香,"むきになるということは、
事実だと証明しているようなもの",Being defensive about it is proof that you were.
0,プロデューサー,"むきになんてなってないさ
断じて──","That's not being defensive.
I never──"
2021006110030,円香,耳まで真っ赤でしたが,You're all red.
0,プロデューサー,そ、そうだったか……？,N-No way...?
2021006110040,円香,"こっちは水着を着ていたのに、
ひとりで意識していたとか","Even though I've been in the swimsuit the whole time,
you've been so conscious of it."
2021006110050,円香,中学生レベル,Just like a middle school student.
0,プロデューサー,大人として当然の配慮だろう,That's basic consideration as an adult.
2021006110060,円香,その上、説教まで,"And on top of that, you're even lecturing me."
0,プロデューサー,い、いや……それは……,N-No... That's...
0,プロデューサー,"まったく……
はは……敵わないな……","Really...
Haha... I'm no match for you..."
2021006110070,円香,…………,......
2021006110080,円香,隙を見せるからです,You showed an opening.
2021006110090,円香,……一瞬の隙を見せるから,"...It was just for a moment, but you showed it."
0,プロデューサー,ん,Hm?
2021006110100,円香,恥ずかしく思っているのだと知られたら終わり,"It's all over once you made me think you're
embarrassed."
2021006110110,円香,その後、取り繕っても無駄,There's no use covering up afterwards.
0,プロデューサー,"なるほど……
俺はどうすればよかったんだ？","I see...
What should I have done then?"
2021006110120,円香,"事も無げにしていたら、
良かったんじゃないですか？","It would have been fine if you treated like it's
nothing."
2021006110130,円香,何事も、撥ねつけるくらいなら受け入れる方が楽,"Anything, even accepting it would have been way
easier than to refute it."
2021006110140,円香,"何も問題ないと、
すました顔をしていれば",Just put on a straight face like its not a problem.
0,プロデューサー,"うーむ
俺は本当に問題なかったんだけど","Hmm, even though it really wasn't a problem to me."
2021006110150,円香,まあ、それでも耳は赤いままですが,"Well, you're still flustered though."
0,プロデューサー,ほ、本当に、本当の話なのか……？,"W-Wait, you're serious...?"
2021006110160,円香,さあ？　どうでしょうね,"Who knows, I wonder."
0,プロデューサー,……,...
0,プロデューサー,"よし、そうやってからかう気なら
俺だってちょっとは反撃するぞ","Alright, if you're going to tease me that much,
I'll need to retaliate too."
0,プロデューサー,"円香の方こそ取り繕えていなかった時、
あったと思うけどなあ……？","There are times when you didn't hide your feelings
too, you know...?"
2021006110170,円香,そうでしたか,Is that so.
0,プロデューサー,………………,......
0,プロデューサー,いつのことか聞いてくれないと,It's your cue to ask me when.
2021006110180,円香,"私からは聞きませんので、
どうぞご自由にお話ください","I won't be asking, so please feel free to say what you
want."
0,プロデューサー,そ、そう言われると話しにくいが……,N-Now you're just making it hard to ask....
0,プロデューサー,"シャワー室での悲鳴はどうなんだ？
あれは円香の隙じゃないのか","What happened when you let out that cry in the
shower room? You're not trying to hide something,
are you."
2021006110190,円香,"そうですね
虫は苦手なもので","Yeah about that.
I'm not really good around bugs."
0,プロデューサー,"く……
事も無げに……","Argh...
You brushed that off easily..."
2021006110200,円香,"でも、隙を見せても、
あなたは何もしないでしょ？","But its not like you'll do anything even if you saw an
opening, right?"
2021006110210,円香,ねえ,Hey.
2021006110220,円香,ミスター・ジェントルマン,Mr. Gentleman
info,produce_events/202100611.json,
Translator,Mycstea,
