id,name,text,trans
0000000000000,映画監督,"ワークショップから今日まで
私のわがままが詰まった作品にお力添えくださって","From the start of the workshop till today, a work
filled with my selfishness was created with the help
of all of you."
0000000000000,映画監督,誠にありがとうございました,"I thank you for that, truly."
0000000000000,映画監督,"個々の表現が混ざり合って化学変化を生むことが
映画の魅力だと思っているので","I believe that the chemical reactions caused by the
mixtures of a myriad of performances, are what 
makes movies fascinating."
0000000000000,映画監督,"素晴らしい方々と作品づくりができて
光栄でした","Being able to create such work with this splendid 
group of individuals, has been my honor."
0000000000000,映画監督,"……みなさまのための場ですから
私の挨拶はこのくらいにさせていただいて……","...This event is to celebrate you, so I'll finish up 
my salutations right here..."
0000000000000,映画監督,交流を楽しんでいってください！,"Please, have a good evening mingling with everyone!"
0000000000000,プロデューサー,"どうも……お疲れ様です！
お招きいただきありがとうございます","Hello... and thank you so much for everything!
We really appreciate the invitation."
0000000000000,映画監督,プロデューサーさん,Producer-san.
0000000000000,映画監督,"私の気が回らない部分までサポートしていただいたり
色々とありがとうございました","Thank you for all your support, especially for helping
out at things I couldn't get around to."
0000000000000,プロデューサー,"いえ……そんな
大したことはしていませんが……はは","No, no... it wasn't a big deal... haha."
0000000000000,映画監督,"樋口さんも、雰囲気のあるメイド長を
演じてくださってありがとうございました","Many thanks especially to you, Higuchi-san, for
depicting a head maid with such an exquisite aura."
2000000000000021000000000000013110000000000000000000000000010000000000000,円香,……こちらこそ,...The pleasure's mine.
2000000000000021000000000000013110000000000000000000000000020000000000000,円香,"私なりの表現を探るなど
挑戦的な試みができて、いい刺激になりました","While exploring a performance that speaks of
myself, it was motivating being able to take up the
challenge."
2000000000000021000000000000013110000000000000000000000000030000000000000,円香,"ここまで拘りを持って作られた作品に
携わることができて光栄です","To play a part in a work made with such care has
been my honor."
2000000000000021000000000000013110000000000000000000000000040000000000000,円香,ありがとうございました,Thank you so much for everything.
0000000000000,映画監督,ぜひ、また一緒に作品を作りましょう,"Please, let's collaborate again some day."
0000000000000,映画監督,"……プロデューサーさん
プロモーションについてご相談したいことが……","... Oh right, Producer-san, there's something I would
like to discuss with you with regards to promotion..."
0000000000000,プロデューサー,ああ……はい……！,"Aah... yes, let's find a place...!"
