id,name,text,trans
0000000000000,プロデューサー,…………,.........
0000000000000,プロデューサー,────あ、はい,"────Ah, yes."
2021015110010,円香,こちらの支度は終わりました,I'm done packing up on my end.
0000000000000,プロデューサー,"ああ、円香か
お疲れ様","Oh, it's you Madoka.
Good job."
2021015110020,円香,それじゃ──,I'll see you later──
0000000000000,プロデューサー,待ってくれ,Wait a sec.
0000000000000,プロデューサー,その……,Erm......
0000000000000,プロデューサー,ごめん、咄嗟のことだったとはいえ……,"Sorry, I blurted that out just now......"
2021015110030,円香,"……早とちりだって気付いた後の
あなたの顔","......Your face when you realized you've jumped to
conclusions."
2021015110040,円香,"茹で上がったみたいに
真っ赤だった","Was like a boiled shrimp.
Glowing bright red."
0000000000000,プロデューサー,…………,......
2021015110050,円香,ミスター・ひょったこくん,Mr. Hyottako-kun.
2021015110060,円香,ボクニソックリダッタゾー,You'rejustlikemeー
0000000000000,プロデューサー,や、やめてくれ……,P-Please stop......
2021015110070,円香,今度は私から聞きますが,Now it's my turn to ask.
2021015110080,円香,"どうして信じて
待っていられたの","Why did you believe in me,
and waited for me."
0000000000000,プロデューサー,"こんなふうに言ったら
円香は怒るかもしれないけど……","You might get angry if I said it like this to you but,"
0000000000000,プロデューサー,わかってたんだ,I knew.
2021015110090,円香,…………,.........
0000000000000,プロデューサー,"だって諦めるだなんて
まだ思えないだろ？","The thought of giving up,
never came into your mind, right?"
2021015110100,円香,……,......
2021015110110,円香,……否定できませんね,......Can't deny that.
2021015110120,円香,"私にはまだ
そんな勇気がなかったみたい","I don't think,
I have that kind of courage."
2021015110130,円香,最善でなんて選べない,I couldn't make the best choice.
2021015110140,円香,心が,My heart
2021015110150,円香,やりたいと、言っているから,"Is telling me, that I want to do it."
0000000000000,プロデューサー,曝け出さなくていい,There's no need to expose it.
0000000000000,プロデューサー,誰にも,Don't reveal it.
0000000000000,プロデューサー,暴かせない,To no matter who it is.
0000000000000,プロデューサー,どんなに、本当は泥臭い道だって,No matter how muddy the path really is.
0000000000000,プロデューサー,だから円香は,"So, Madoka,"
0000000000000,プロデューサー,なりふり構わず、走ればいい,Just run. Without pretense.
2021015110160,円香,……なんのことだか,"......No idea what you're on about but,"
2021015110170,円香,…………,.........
2021015110180,円香,"いつまで経っても
馬が合いませんね","No matter how much time passes,
we're still like water and oil, huh."
info,produce_events/202101511.json,
Translator,Mycstea,
